District,scope,dm_stat,p_value,mean_loss_diff,n_obs
Ampara,validation_and_holdout,2.098699911253405,0.03584336251095821,1611.1985508594298,828
Ampara,holdout_only,1.2677036469013816,0.20490380195847746,171.61210112452994,104
Anuradhapura,validation_and_holdout,2.0391541279574117,0.04143464745693026,370.65188345572363,828
Anuradhapura,holdout_only,1.7592451410680512,0.07853588000716072,60.78164645554311,104
Badulla,validation_and_holdout,2.4050012325539214,0.016172411238534634,1087.4385693719444,828
Badulla,holdout_only,3.800866640411971,0.00014419089422235132,97.10324970868777,104
Batticaloa,validation_and_holdout,3.06536621215345,0.0021740361870119518,3754.6722064788983,828
Batticaloa,holdout_only,2.0644146265867147,0.038978420846669026,630.5751521633315,104
Colombo,validation_and_holdout,3.3231812015360696,0.0008899708356238101,33131.91406773125,828
Colombo,holdout_only,1.9409776156753522,0.052260992531208084,12194.436631326531,104
Galle,validation_and_holdout,3.0117474402261153,0.0025974860977961978,3235.9102178647777,828
Galle,holdout_only,1.3446171915247083,0.17874888869597005,3484.794975796356,104
Gampaha,validation_and_holdout,2.3879462590590017,0.016942819099369455,19240.43743630307,828
Gampaha,holdout_only,2.0780768200391,0.03770228425278077,10418.1454861706,104
Hambantota,validation_and_holdout,2.962652474051229,0.0030500070908301424,376.0929881834462,828
Hambantota,holdout_only,1.417216337532691,0.15641968660698602,716.3324765308932,104
Jaffna,validation_and_holdout,2.251586446925717,0.024348418328687282,15459.116716116438,828
Jaffna,holdout_only,1.3247765771657614,0.18524526574387812,415.6239108334837,104
Kalutara,validation_and_holdout,2.1321846655358776,0.03299166857223912,3673.5342530151447,828
Kalutara,holdout_only,1.0780224079522,0.28102375628005727,1767.0976608597682,104
Kandy,validation_and_holdout,2.8484275505620023,0.004393585561273561,11049.18062354116,828
Kandy,holdout_only,1.7917249742734367,0.07317703197525494,1286.7253064402253,104
Kegalle,validation_and_holdout,1.1770681809770605,0.23916829393804395,2416.478801178402,828
Kegalle,holdout_only,1.384710032495971,0.1661411501512462,119.92566857661714,104
Kilinochchi,validation_and_holdout,-0.7643798331845595,0.44464092310317316,-94.43628476981206,828
Kilinochchi,holdout_only,1.066671726640887,0.28612009867701804,24.601103485727062,104
Kurunegala,validation_and_holdout,1.892594466502595,0.0584118202095234,3614.249964591909,828
Kurunegala,holdout_only,1.1289534945503927,0.2589174523914832,635.8664856891597,104
Mannar,validation_and_holdout,-0.7814062242039217,0.4345636115087719,-116.40560997628884,777
Mannar,holdout_only,3.8024808660618405,0.00014325433348938432,14.293722251894858,104
Matale,validation_and_holdout,2.000397134647338,0.04545739755655642,2354.772366466144,828
Matale,holdout_only,1.851108379526179,0.06415396283378638,598.866235010595,104
Matara,validation_and_holdout,2.349062848105723,0.018820729753890708,1944.838672522328,828
Matara,holdout_only,1.5387944379038505,0.12385448818620404,3274.4465341457544,104
Monaragala,validation_and_holdout,2.040063875365809,0.04134396414898611,467.36532651610315,828
Monaragala,holdout_only,1.2187789613363433,0.2229280987685649,76.04092078093475,104
Mullaitivu,validation_and_holdout,0.23060781474904118,0.8176194959480003,1.7837803663041079,828
Mullaitivu,holdout_only,0.3504137596574285,0.7260282015057629,0.4224787613977213,104
Nuwara Eliya,validation_and_holdout,2.0136249537533444,0.04404892450148301,55.97552943087799,828
Nuwara Eliya,holdout_only,1.144057896348505,0.25259962720490936,76.9039538577155,104
Polonnaruwa,validation_and_holdout,2.138414985439792,0.03248307730053979,84.00744241934008,828
Polonnaruwa,holdout_only,1.5456156943646362,0.12219740859044803,41.68176599800096,104
Puttalam,validation_and_holdout,2.421924648247619,0.015438551421239177,4126.12472585522,828
Puttalam,holdout_only,2.090270775607769,0.03659348293539777,160.66521076247653,104
Ratnapura,validation_and_holdout,1.8784395374156044,0.06032106106490143,2376.901820768609,828
Ratnapura,holdout_only,1.595873814213916,0.11051696894817331,3985.3990127548295,104
Trincomalee,validation_and_holdout,1.878149879770407,0.06036066438049348,4367.49832466489,828
Trincomalee,holdout_only,1.6507090623862568,0.09879799645935416,187.29297242076652,104
Vavuniya,validation_and_holdout,1.9640585888428201,0.04952329785797893,60.258303730106086,776
Vavuniya,holdout_only,1.1231539810282143,0.2613721032908547,17.588016711907738,104
