District,scope,dm_stat,p_value,mean_loss_diff,n_obs
Ampara,validation_and_holdout,1.9406812551917,0.052296951400739644,1502.667398312088,828
Ampara,holdout_only,1.3338242653358439,0.18226145656293413,175.36824296501226,104
Anuradhapura,validation_and_holdout,1.7176529018004019,0.08585994485683779,327.57161917867785,828
Anuradhapura,holdout_only,1.6767970356578026,0.0935821776170227,56.04150015358526,104
Badulla,validation_and_holdout,2.388749373729616,0.016905830725842952,1053.576622843126,828
Badulla,holdout_only,3.791429087298221,0.00014978291731848614,96.61846983549655,104
Batticaloa,validation_and_holdout,3.041956275436584,0.0023504603457751294,3696.020468709879,828
Batticaloa,holdout_only,2.0339474821424726,0.04195689084598575,624.1789996163625,104
Colombo,validation_and_holdout,3.2837828787178203,0.0010242379731235651,31333.811650285705,828
Colombo,holdout_only,1.561039965421862,0.11851432147673746,9143.680275367124,104
Galle,validation_and_holdout,3.022997803796328,0.0025028405968758882,3277.5858381646976,828
Galle,holdout_only,1.285066064241689,0.1987691990700966,4057.492687520541,104
Gampaha,validation_and_holdout,2.5316669736435053,0.011352175324174985,17275.859844079147,828
Gampaha,holdout_only,2.569795959482633,0.010175842983809025,8413.205596475356,104
Hambantota,validation_and_holdout,2.907407666029788,0.0036443791488220967,372.3989566961583,828
Hambantota,holdout_only,1.4092382983227003,0.15876471669883063,711.4467502693532,104
Jaffna,validation_and_holdout,2.250342162644232,0.024427233422808614,15062.41169252616,828
Jaffna,holdout_only,1.3146814731190979,0.1886169756468854,411.43698724828727,104
Kalutara,validation_and_holdout,2.1814768179190414,0.02914816728060443,3404.961121054892,828
Kalutara,holdout_only,1.1803015494889284,0.23788030210363909,1269.8811783715105,104
Kandy,validation_and_holdout,2.8563668578272927,0.004285196866873564,10623.039720774854,828
Kandy,holdout_only,2.018334480786599,0.04355643796000486,865.7534741733566,104
Kegalle,validation_and_holdout,1.141168925659706,0.2537996329276728,2120.1404082743265,828
Kegalle,holdout_only,1.4264359381905873,0.15374254621647254,129.22647185645,104
Kilinochchi,validation_and_holdout,-0.964552335156566,0.3347690831894108,-192.77311299963085,828
Kilinochchi,holdout_only,-0.8704821171120181,0.3840369878336163,-158.80590461467807,104
Kurunegala,validation_and_holdout,1.9880076056178266,0.046810848821603024,3446.263023282441,828
Kurunegala,holdout_only,1.0992872741462865,0.2716427813865536,704.2701157608625,104
Mannar,validation_and_holdout,-0.9736206054992054,0.33024495139405685,-242.0506426620713,777
Mannar,holdout_only,-0.8346933152556262,0.40389040639949947,-192.01376356669067,104
Matale,validation_and_holdout,1.8837478481434844,0.05959909089611881,2267.3682142354905,828
Matale,holdout_only,-0.45823850097641383,0.6467811020320964,-345.5336999228688,104
Matara,validation_and_holdout,2.4432568262678656,0.014555375022329509,1848.0668038162307,828
Matara,holdout_only,1.5519487746174438,0.12067448102928591,3220.834432529024,104
Monaragala,validation_and_holdout,1.8464798005832386,0.06482256966312283,434.76090638926473,828
Monaragala,holdout_only,1.283618490280982,0.19927547683699354,74.20064002141523,104
Mullaitivu,validation_and_holdout,-0.5874989690182951,0.5568686426788447,-14.126870918291361,828
Mullaitivu,holdout_only,0.7337684818886502,0.4630898528790308,0.6669168607196894,104
Nuwara Eliya,validation_and_holdout,2.081838110522431,0.03735725939342882,57.524787385210836,828
Nuwara Eliya,holdout_only,1.1493633597961053,0.2504061818846326,79.2787203054245,104
Polonnaruwa,validation_and_holdout,2.0832264390139876,0.03723058824369341,80.03815438274533,828
Polonnaruwa,holdout_only,1.5027722911085624,0.13289777355969545,42.13362984973511,104
Puttalam,validation_and_holdout,2.409711832501197,0.015965124944662623,4043.069076756628,828
Puttalam,holdout_only,2.170336390523049,0.029981371741153673,153.54010396551917,104
Ratnapura,validation_and_holdout,1.949800190202853,0.05119993889553265,2165.1121610247565,828
Ratnapura,holdout_only,1.5947428457523496,0.11076975259857225,3998.5196098369925,104
Trincomalee,validation_and_holdout,1.8660611658653097,0.06203280838293468,4273.633892542075,828
Trincomalee,holdout_only,1.6471555911596507,0.09952606912427009,185.34657746000525,104
Vavuniya,validation_and_holdout,1.5096775102601787,0.1311257326002857,49.3103284263437,776
Vavuniya,holdout_only,0.9597086472276766,0.33720186999309365,9.837862173280724,104
