District,split,fold_id,rmse,mae,smape,mase,n_obs_scored,n_obs_total,ljung_box_stat_lag26,ljung_box_pvalue_lag26,ljung_box_stat_lag52,ljung_box_pvalue_lag52
Ampara,validation,1,12.325015678651924,9.228632162658101,94.0404833430098,2.3875068281503546,52,52,,,,
Ampara,validation,2,3.644993945816307,2.2952439475011515,78.52493989296721,0.3858384222092453,52,52,,,,
Ampara,validation,3,5.804785273695043,5.095878181095291,114.99581664355235,0.7469645254882455,52,52,,,,
Ampara,validation,4,10.3864287939592,5.83794430114628,91.64011756242361,0.9204763603990496,52,52,,,,
Ampara,validation,5,14.780678838614069,6.382025438181523,74.53243904272978,1.013845181625578,52,52,,,,
Ampara,validation,6,14.669086158814421,11.069821245151525,112.85913057921199,1.6300222221825063,51,52,,,,
Ampara,validation,7,6.8624431970579955,5.355287873927029,82.17230178049142,0.7215728791167912,52,52,,,,
Ampara,validation,8,150.89813727220178,101.15140964238722,153.23531598022672,13.726428914779396,52,52,,,,
Ampara,validation,9,79.24584610287211,76.36090169440646,111.19402159971258,4.523150037473132,52,52,,,,
Ampara,validation,10,27.88646354037214,19.05893217313399,63.739879362669306,0.7979134292094289,52,52,,,,
Ampara,validation,11,86.4857968769065,83.47341945214045,151.61256364973218,3.3835429716019134,51,52,,,,
Ampara,validation,12,200.20004842102588,34.259285640903435,119.82500945649855,1.3345198377222904,51,52,,,,
Ampara,validation,13,20.2767996506737,17.03294194464149,83.78879459615638,0.6593220380113394,51,52,,,,
Ampara,validation,14,39.24990220944379,23.45498422331403,60.57236084078923,0.8608661889094414,52,52,,,,
Ampara,validation_aggregate,aggregate,17.528739244643884,14.051381594896508,92.8403004527167,0.9671607710123138,724,728,845.4771848840334,1.786337294291083e-161,952.5243787705977,8.726301740826437e-166
Ampara,holdout,holdout,17.217573622540257,11.6647744194693,65.05295804757958,0.42812980942825274,104,104,,,,
Anuradhapura,validation,1,21.638497747314865,12.499472831210019,75.72363094730969,1.7014989194317305,52,52,,,,
Anuradhapura,validation,2,3.030397466051054,2.3009174075805414,56.183111762934026,0.22198090017474612,52,52,,,,
Anuradhapura,validation,3,6.036885106939891,3.2277389438567705,68.23485054318846,0.28975817881838944,52,52,,,,
Anuradhapura,validation,4,6.136278452954902,5.126329077055729,66.57955109047454,0.524329488605228,52,52,,,,
Anuradhapura,validation,5,5.298036058733841,4.219568482595124,60.22116089842503,0.4633950603905944,52,52,,,,
Anuradhapura,validation,6,12.55881610893926,11.814363149495254,125.5553483961292,1.363483889161786,51,52,,,,
Anuradhapura,validation,7,7.132914814138397,5.062859465524664,85.32154568071053,0.6134559644358352,52,52,,,,
Anuradhapura,validation,8,66.64242005922469,48.50181706162849,169.93266079015916,6.108607229924021,52,52,,,,
Anuradhapura,validation,9,32.24120859688475,30.572296541988706,101.38022845137262,2.6420503184434683,52,52,,,,
Anuradhapura,validation,10,17.067227483069843,10.198426413301219,55.68454850607913,0.7275473160928279,52,52,,,,
Anuradhapura,validation,11,41.46310011586292,39.8691411074192,155.40955499829698,2.830244894865869,51,52,,,,
Anuradhapura,validation,12,65.05161952788325,12.338157567886503,102.44051142073825,0.8617247865491507,51,52,,,,
Anuradhapura,validation,13,5.828967170140473,4.172681367698628,65.36555361566892,0.2987570438548334,51,52,,,,
Anuradhapura,validation,14,17.337947849454252,12.06989433065058,103.75894122161684,0.862773101312456,52,52,,,,
Anuradhapura,validation_aggregate,aggregate,14.813021796004552,11.006394781398235,80.52258831401011,0.7946360513209894,724,728,1728.8392686722082,0.0,1939.7195493692484,0.0
Anuradhapura,holdout,holdout,10.70782878188389,7.413734590130006,67.46928243633015,0.5261040575730928,104,104,,,,
Badulla,validation,1,25.08197260748984,14.389028357344275,93.66322251731312,4.955162083323857,52,52,,,,
Badulla,validation,2,15.094648683209906,9.514525365067875,154.62895617816744,1.4299286675824552,52,52,,,,
Badulla,validation,3,5.509096382423548,4.968155771593368,102.01667727584905,0.6154713522879217,52,52,,,,
Badulla,validation,4,4.250084271661969,3.087313216059542,48.39044221085726,0.38461975858911396,52,52,,,,
Badulla,validation,5,19.356559159180645,12.546219460692914,96.17802630759182,1.6621742979771503,52,52,,,,
Badulla,validation,6,29.430843752303304,28.47169911578276,137.79951122911973,3.502432740163881,51,52,,,,
Badulla,validation,7,17.00782810493358,11.63058537753068,80.24886472123016,1.3002944320245775,52,52,,,,
Badulla,validation,8,90.70655167271917,56.56844370439039,130.79825084840033,5.889386676998642,52,52,,,,
Badulla,validation,9,20.055454924599392,19.25919783296798,94.65603182912515,1.4146716502378636,52,52,,,,
Badulla,validation,10,36.2313390813708,21.99293105573402,64.53498475639141,1.2774860594892887,52,52,,,,
Badulla,validation,11,95.93206598836794,94.42387416446296,169.1835919928699,5.3295507922228635,51,52,,,,
Badulla,validation,12,33.411737366975046,14.937822121925524,108.65494655241616,0.7878647561172318,51,52,,,,
Badulla,validation,13,23.67579468324396,18.028464994472287,67.43320286306613,0.9499038180296941,51,52,,,,
Badulla,validation,14,32.52545516446676,15.022190334792695,49.47874448237278,0.785985726871176,52,52,,,,
Badulla,validation_aggregate,aggregate,24.378883645366898,14.980006228359109,95.41702906835849,1.3574830411312204,724,728,3545.9494677343846,0.0,3675.0640240489274,0.0
Badulla,holdout,holdout,14.362886751257879,10.52015204328856,53.629361922161664,0.5500817689957723,104,104,,,,
Batticaloa,validation,1,26.414118038387898,16.554502003620044,111.67116217668016,2.973520221721044,52,52,,,,
Batticaloa,validation,2,35.145435592420164,21.600537562128395,118.96324360066211,2.459623255249656,52,52,,,,
Batticaloa,validation,3,85.91895097735784,84.46082412700488,161.21093302984045,6.285456679218968,52,52,,,,
Batticaloa,validation,4,5.999580763909817,4.543730939639229,63.21509985031221,0.2841881270883328,52,52,,,,
Batticaloa,validation,5,15.06750427496552,10.831967770351044,82.93372687249489,0.717988940800834,52,52,,,,
Batticaloa,validation,6,25.32763917691195,23.10606248924294,101.19762824756504,1.6090695898382306,51,52,,,,
Batticaloa,validation,7,6.817884455293944,5.639139290375562,75.64510573079872,0.38554247207674763,52,52,,,,
Batticaloa,validation,8,120.97739739790592,87.546335917902,146.53384646287836,5.962670642756844,52,52,,,,
Batticaloa,validation,9,59.14996440357935,49.469457783480934,57.786448368927324,2.2374206873171327,52,52,,,,
Batticaloa,validation,10,42.589380973069765,33.55538100328352,70.27348233987605,1.352848151921885,52,52,,,,
Batticaloa,validation,11,135.3098919896137,124.51896578490856,119.58132582666086,4.281178305135875,51,52,,,,
Batticaloa,validation,12,151.65802173474233,143.3559032626945,136.1083755202846,4.710175408670283,51,52,,,,
Batticaloa,validation,13,15.63020773022647,12.755410522098444,59.18395486521485,0.405334116010776,51,52,,,,
Batticaloa,validation,14,51.08959852087634,39.44917021216923,105.73448247276151,1.1784290518223448,52,52,,,,
