horizon,District,vs_recursive_dm_stat,vs_recursive_p_value,vs_recursive_mean_loss_diff,vs_recursive_n_obs,vs_sarima_dm_stat,vs_sarima_p_value,vs_sarima_mean_loss_diff,vs_sarima_n_obs
2,Ampara,-0.7024163558341225,0.48241954819271227,-161.6581960032359,773,-0.46020794527927755,0.6453669685566215,-44.636299487725,773
2,Anuradhapura,-0.325683314485124,0.7446639696488522,-16.25094870713006,773,-0.6504430179625948,0.5154060977059172,-16.49816697100124,773
2,Badulla,2.7536109099372155,0.005894179526674259,135.64178936186593,773,0.28937294799900043,0.772295994244069,4.8679211210743425,773
2,Batticaloa,-0.1430209555884492,0.886273631161429,-10.053591391462772,773,1.811372051168571,0.07008327930573732,144.44830346177386,773
2,Colombo,-1.2443245036418211,0.21338015620019446,-2754.7957221031197,773,1.5769032594242,0.11481778645697993,1077.4440810904741,773
2,Galle,1.0087435188067255,0.31309765491583663,45.32272364066351,773,-0.005445979295083301,0.9956547586810394,-0.15772323112199318,773
2,Gampaha,-0.43915387668631345,0.6605500428705893,-980.0408324406324,773,-0.2447440896995931,0.8066545873352498,-170.4816064100509,773
2,Hambantota,1.6108173939751993,0.10721952878570917,20.49123358066649,773,-0.7779034598820701,0.4366259284376486,-12.55461782183457,773
2,Jaffna,-0.24781519812540623,0.8042773952527866,-69.88759172596737,773,-0.38181823141691373,0.7025961947679975,-28.13324473780346,773
2,Kalutara,-0.9245231007068532,0.3552140298101891,-623.5165206408491,773,-0.07494228509009938,0.9402606324959066,-8.829376586904745,773
2,Kandy,-1.2427777165491123,0.21394975612911193,-977.1152320724085,773,1.149775261494599,0.25023644685453195,236.41067452759495,773
2,Kegalle,1.0649193378524142,0.28691243326689975,211.21716438144642,773,-0.44116798710630223,0.6590913870991808,-111.07709075501452,773
2,Kilinochchi,1.0517167143318815,0.2929295401425045,26.233476871827357,773,1.1743420597655878,0.24025804283282426,2.566546842669236,773
2,Kurunegala,-0.4171357400126653,0.6765791244298773,-117.28223338912869,773,-0.4076560274300301,0.6835262247671428,-101.26604884897937,773
2,Mannar,-0.15511812336435138,0.876728194740438,-1.0161833767817743,722,2.344926258072773,0.019030843117017637,21.23910145648589,722
2,Matale,-0.9500987741882805,0.3420620660175677,-42.31554607244857,773,1.4648118418362097,0.14297226015210351,34.26048017569406,773
2,Matara,-0.08654221109919889,0.9310354023140688,-4.617824648653372,773,0.90455603018557,0.3657006383242909,48.79401514058846,773
2,Monaragala,-1.1089237531039065,0.26746307588103857,-31.52970841400088,773,-1.3001808739919094,0.19353898421663418,-24.463003799892448,773
2,Mullaitivu,1.07172708337,0.28384263241705376,3.414162474788661,773,1.6718599690781457,0.09455193811913998,0.36894634930248965,773
2,Nuwara Eliya,0.17287116514904127,0.8627526972611024,1.0013956031598077,773,0.8447993763504931,0.39822286287902564,2.4810832766784836,773
2,Polonnaruwa,1.987382492439575,0.04688002631778021,13.841349006470324,773,0.8623345674905533,0.38850343587888014,1.9172883794359648,773
2,Puttalam,-1.0770778032556918,0.2814455085348566,-138.09363664888826,773,-2030911154.6146877,0.0,-74.24745081946543,773
2,Ratnapura,1.8262507530275993,0.0678124995814704,306.2542254090229,773,1.2288501975632664,0.21912797684664032,167.0063504850736,773
2,Trincomalee,-0.28563372629859135,0.7751586692852701,-56.79076609752391,773,1.0133310451901685,0.31090206352069893,148.25387157846947,773
2,Vavuniya,0.9653350545237351,0.3343770193418152,12.449819605657158,773,0.32557058119773696,0.7447492732723053,1.2788836294839736,773
3,Ampara,-0.8121738851166289,0.41669186215765275,-173.2642739725232,773,-0.5724183650887088,0.5670385768890562,-91.25419757627614,773
3,Anuradhapura,-0.5839879969584735,0.5592283876149615,-23.10561740340105,773,-0.3124574088046218,0.7546929266724087,-9.453463697243707,773
3,Badulla,1.3254198332742375,0.1850319424170621,190.31825254988854,773,0.8214233157579656,0.41140518727626985,44.02955358211662,773
3,Batticaloa,0.029580834031462992,0.9764013508517169,4.763444449837622,773,1.5755391184660823,0.11513205640354407,234.97393520339753,773
3,Colombo,-1.6069919170773352,0.10805614123389051,-3925.059574324103,773,0.4712309167690405,0.6374758428402512,624.3526976964772,773
3,Galle,1.0903891406475612,0.2755417633657222,74.58289978755037,773,1.2426548814036897,0.21399503678518794,75.45649953392754,773
3,Gampaha,-0.37540105256033757,0.7073622222153608,-833.7761977035125,773,-0.35975041698547827,0.7190337854193793,-453.7971829637592,773
3,Hambantota,-0.6491710626993178,0.5162278135004095,-15.562260034878701,773,-0.5259803154445925,0.5989018838996845,-18.044712233801107,773
3,Jaffna,-1.023194038117203,0.3062161112256221,-413.4262316980285,773,-0.2518845315490221,0.801130316221349,-30.57802295474487,773
3,Kalutara,-0.8716571720802622,0.3833954310625107,-710.5796378194151,773,-0.4251225034590057,0.6707473740356282,-90.5273693779583,773
3,Kandy,-1.1775654153215978,0.238969904360113,-1348.3119197769809,773,1.036806614354042,0.29982599235864216,220.9560219286398,773
3,Kegalle,0.9682539091083352,0.33291757742642325,294.7434790595073,773,-0.13423651505438783,0.8932155523611456,-52.07692378079593,773
3,Kilinochchi,1.04211246383924,0.29735954064790016,12.2698141824822,773,1.7723299986572756,0.07633979432942084,5.873587888742628,773
3,Kurunegala,-0.5462938579712633,0.5848639575547336,-207.2569336416392,773,-0.4012595513197337,0.6882290404025806,-185.22288722160903,773
3,Mannar,-0.26266176476446484,0.7928112895176207,-1.3490545036943928,722,2.1311714949212957,0.03307501643733968,19.873038525113714,722
3,Matale,-1.2233524807431337,0.2211965931198958,-63.74983550640106,773,1.610863037566783,0.1072095778283575,41.960867739442975,773
3,Matara,-0.6500454185158528,0.5156628841943167,-91.7099873423957,773,0.3316947381537672,0.7401197743041039,36.36898889655556,773
3,Monaragala,-0.8290603380595863,0.4070702652985263,-37.80746607382277,773,-1.0498949349136337,0.2937664205902044,-37.42005614460815,773
3,Mullaitivu,0.5240228155427252,0.6002626710353804,0.938581931371302,773,0.149475158615939,0.881178709696367,0.06459866724463065,773
3,Nuwara Eliya,-0.7038443003257872,0.48152974193948284,-2.2945477416075235,773,0.9122715522427504,0.36162578579411075,5.1921702960404525,773
3,Polonnaruwa,0.9544536943865299,0.33985403793584723,3.588549107608012,773,0.23338701915815918,0.8154608921020778,1.0017678799007568,773
3,Puttalam,-1.3878943185452242,0.16516922814727852,-331.11243576758346,773,-1.8161831039964926,0.06934228901113659,-202.13135405165258,773
3,Ratnapura,3.2732956128555646,0.0010630123854833418,304.1585967865299,773,1.2109274318206062,0.22592321811888638,293.8724398776823,773
3,Trincomalee,-0.555459267249162,0.5785805637288406,-130.0385318949081,773,1.064420330261189,0.2871383279822579,223.10120327063638,773
3,Vavuniya,0.20325647417968115,0.8389345739409302,1.5300414674967782,773,0.5866968678251259,0.5574073117546476,3.3753898206189348,773
4,Ampara,-0.386593955065951,0.6990568338179419,-48.23519155163243,773,0.14928202623456618,0.8813310973354405,19.421809164620633,773
