District,selected_weight,fold_win_fraction_vs_w1,n_folds_scored,median_mase_w0.0,median_mase_w0.25,median_mase_w0.5,median_mase_w0.75,median_mase_w1.0
Ampara,1.0,,13,0.9204763603990496,0.84713282523781,0.7991394254962528,0.7803861764864782,0.6343608300269418
Anuradhapura,1.0,,13,0.7275473160928279,0.6255279222353212,0.5442711831322288,0.5306855512923532,0.4461705793792121
Badulla,1.0,,13,1.3002944320245775,1.1116433020576986,0.8695679721918809,0.7229656008605101,0.7198983154937081
Batticaloa,1.0,,13,1.609069589838231,1.3381020858502803,1.0896566151650275,0.846684798586487,0.6798208636502644
Colombo,1.0,,13,1.5752827480887543,1.3634115841893037,1.167601886091667,1.039432027770186,0.7834192175507785
Galle,1.0,,13,1.0673278536890367,0.9779429500879293,0.8941159417426027,0.8180042778806549,0.7059130406335435
Gampaha,1.0,,13,0.9881077299385806,0.8577960383913902,0.7720611817569373,0.6751381075666827,0.5393707254575603
Hambantota,1.0,,13,0.9058678140633587,0.818105599711101,0.7264343894497787,0.5488094792509619,0.5157378712567013
Jaffna,1.0,,13,1.5785232574170618,1.3823355801346324,1.2358299206832153,0.9883923677209353,0.7093359568049199
Kalutara,1.0,,13,1.3908999556223487,1.2231947400155554,1.0373012285411252,0.8925572382982697,0.7265224299392612
Kandy,1.0,,13,1.345091599106539,1.1936574804052753,0.9879382371618796,0.7098652007865275,0.5818491552651994
Kegalle,1.0,,13,0.5928824270899513,0.5527921433123802,0.47092730031193514,0.4166950904891879,0.38250194570720764
Kilinochchi,1.0,,13,1.4484705895595722,1.6588003897745045,2.1047024420496,2.0344810055167493,1.632048574646434
Kurunegala,1.0,,13,0.9436111866840441,0.7893520004245091,0.6469168224232841,0.5163133468932941,0.3995140077007964
Mannar,1.0,,12,0.7163591654392639,0.5925133661074702,0.5517701170050977,0.5766992587419569,0.6169264802222152
Matale,1.0,,13,0.7680034624467743,0.6787688439626992,0.6104220459041559,0.5242725730023526,0.4062100062130007
Matara,1.0,,13,1.1169721622576507,0.9668310928230401,0.7786536769736102,0.5376838387135737,0.3837551018101001
Monaragala,0.75,0.5384615384615384,13,0.5879239978972536,0.5800885020557334,0.5191819430705763,0.5655301866407764,0.6464068969373272
Mullaitivu,1.0,,13,2.923436128039912,3.021805720359808,2.5992234654033175,2.4430023480599496,2.387186077121642
Nuwara Eliya,1.0,,13,0.9287178925975544,0.8244856981364233,0.7725377989423875,0.7649517134342836,0.6331477998074457
Polonnaruwa,1.0,,13,0.9274261737822982,0.8718492339948998,0.9357725913127354,0.7766095460992244,0.7385408852148024
Puttalam,1.0,,13,0.8393690900261177,0.7281917494211384,0.6097816072301876,0.5413219961339243,0.5086897745676104
Ratnapura,1.0,,13,0.8945042000383219,0.725846990609355,0.5774973734730487,0.49925943523607846,0.47954306833908183
Trincomalee,1.0,,13,0.9504136138847052,0.795404439411217,0.7173341222109628,0.6008324400028547,0.49635073934409163
Vavuniya,0.75,0.5384615384615384,13,0.37461583332701803,0.3433115769450482,0.31618997194831067,0.2960374364312661,0.3236930773620063
