District,model,fold_id,rmse,mae,smape,mase,n_obs_scored,n_obs_total
Ampara,stage1_plus_stage2,2,3.644993945816307,2.2952439475011515,78.52493989296721,0.3858384222092453,52,52
Ampara,stage1_plus_stage2,3,5.804785273695043,5.095878181095291,114.99581664355235,0.7469645254882455,52,52
Ampara,stage1_plus_stage2,4,8.675370370412754,5.107762569994231,83.26258289495986,0.8053476459663432,52,52
Ampara,stage1_plus_stage2,5,13.616555762014306,6.452716223429592,89.38011774710675,1.0250750823370838,52,52
Ampara,stage1_plus_stage2,6,14.490918023212684,10.757715785241711,111.42303992215703,1.584064945723294,51,52
Ampara,stage1_plus_stage2,7,6.03644098022347,4.4016671493340205,72.63725047686125,0.5930817749914346,52,52
Ampara,stage1_plus_stage2,8,140.87983754555225,88.24934184445632,107.86152644819676,11.975595020243636,52,52
Ampara,stage1_plus_stage2,9,74.84261702294089,71.31119404978834,108.18402032989052,4.224036422846239,52,52
Ampara,stage1_plus_stage2,10,17.27069945876241,12.69656848792524,49.138177452656834,0.5315493234019381,52,52
Ampara,stage1_plus_stage2,11,73.13280573225025,70.0373843988435,146.09616075230483,2.8389216745572274,51,52
Ampara,stage1_plus_stage2,12,202.65974880754302,39.267934558217654,87.15592344569492,1.5296243536308665,51,52
Ampara,stage1_plus_stage2,13,15.537070308625477,12.795375401146684,57.70658392684648,0.49529159519376015,51,52
Ampara,stage1_plus_stage2,14,27.291279334144033,17.0896128353018,45.221262642625945,0.6272385319637382,52,52
Anuradhapura,stage1_plus_stage2,2,3.030397466051054,2.3009174075805414,56.183111762934026,0.22198090017474612,52,52
Anuradhapura,stage1_plus_stage2,3,6.036885106939891,3.2277389438567705,68.23485054318846,0.28975817881838944,52,52
Anuradhapura,stage1_plus_stage2,4,5.474435424781929,4.34098318050589,58.222997449087735,0.44400300036645607,52,52
Anuradhapura,stage1_plus_stage2,5,4.6663901366206595,3.405121760252101,52.539908490765974,0.37395212572990344,52,52
Anuradhapura,stage1_plus_stage2,6,11.979607914393908,10.702163738624941,120.00749476326422,1.2351260624158145,51,52
Anuradhapura,stage1_plus_stage2,7,6.627563487689145,4.711489597991238,82.66507118375192,0.570881221362442,52,52
Anuradhapura,stage1_plus_stage2,8,60.904645375331235,41.6033689548417,115.04916619219956,5.239775657555739,52,52
Anuradhapura,stage1_plus_stage2,9,25.727767992635926,24.062810639509067,91.4207058716766,2.0795021540316476,52,52
Anuradhapura,stage1_plus_stage2,10,10.494244320342233,6.81222962921081,43.80271437630906,0.4859788346245509,52,52
Anuradhapura,stage1_plus_stage2,11,14.025196625870615,12.647646503157526,123.21745484525812,0.8978356682223215,51,52
Anuradhapura,stage1_plus_stage2,12,65.41633916648554,17.360595675789472,104.2264841691787,1.212503205666907,51,52
Anuradhapura,stage1_plus_stage2,13,5.086525579963501,3.4226195822539935,58.74163681163252,0.2450538678916258,51,52
Anuradhapura,stage1_plus_stage2,14,12.96211879698335,9.05741688797665,77.51777204695969,0.647436957130197,52,52
Badulla,stage1_plus_stage2,2,15.094648683209906,9.514525365067875,154.62895617816744,1.4299286675824552,52,52
Badulla,stage1_plus_stage2,3,5.509096382423548,4.968155771593368,102.01667727584905,0.6154713522879217,52,52
Badulla,stage1_plus_stage2,4,5.906721074748288,4.893343605077393,61.19137563500286,0.6096163571251184,52,52
Badulla,stage1_plus_stage2,5,12.041163646705838,8.515211007798637,61.5285830349819,1.1281298660013481,52,52
Badulla,stage1_plus_stage2,6,26.603911567263758,25.483881065444162,133.69913546991876,3.134887701190157,51,52
Badulla,stage1_plus_stage2,7,11.904767386221616,8.214746664967787,55.019022497601874,0.9184051363043189,52,52
Badulla,stage1_plus_stage2,8,80.76496090569367,42.72170518035327,71.8363578408333,4.447791468732043,52,52
Badulla,stage1_plus_stage2,9,7.694059096810005,5.362066977956331,41.62513758109182,0.39386708658272535,52,52
Badulla,stage1_plus_stage2,10,22.93857087792795,16.04366909264134,74.7044015241326,0.9319159668608544,52,52
Badulla,stage1_plus_stage2,11,68.21232339651283,66.95523395855606,162.64442722306538,3.779142969348627,51,52
Badulla,stage1_plus_stage2,12,30.051332370744728,12.363401080878889,93.97558853577902,0.6520822043441609,51,52
Badulla,stage1_plus_stage2,13,17.833351617865002,11.862273286594919,46.13580892192168,0.6250126502119316,51,52
Badulla,stage1_plus_stage2,14,28.078663838638448,14.309247732883774,47.275396392463705,0.7486833963394584,52,52
Batticaloa,stage1_plus_stage2,2,35.145435592420164,21.600537562128395,118.96324360066211,2.459623255249656,52,52
Batticaloa,stage1_plus_stage2,3,85.91895097735784,84.46082412700488,161.21093302984045,6.285456679218968,52,52
Batticaloa,stage1_plus_stage2,4,7.339285545209332,5.323998935311096,65.0809927899051,0.3329900705270351,52,52
Batticaloa,stage1_plus_stage2,5,7.604528280888315,5.435193187047918,43.37862995083155,0.3602677447119079,52,52
Batticaloa,stage1_plus_stage2,6,20.804235808549,18.763628748492486,93.87791242367618,1.3066693829063067,51,52
Batticaloa,stage1_plus_stage2,7,7.039892132185966,5.417623054252483,97.41424194548179,0.3703976223253345,52,52
Batticaloa,stage1_plus_stage2,8,120.70633081724516,87.16739626632905,144.54605943018885,5.936861540501218,52,52
Batticaloa,stage1_plus_stage2,9,27.956699825226668,19.020917344904394,22.943603510304865,0.8602842211351153,52,52
Batticaloa,stage1_plus_stage2,10,17.38818267353978,11.961553001395787,28.413669861911533,0.4822524551418587,52,52
Batticaloa,stage1_plus_stage2,11,94.63819590438177,83.99779185664075,105.47469939627527,2.887989969312395,51,52
Batticaloa,stage1_plus_stage2,12,78.11859056355499,73.92325746367871,118.83720628927013,2.4288606294515342,51,52
Batticaloa,stage1_plus_stage2,13,12.902603917740477,9.841461215689593,59.49843908840569,0.31273630709140193,51,52
Batticaloa,stage1_plus_stage2,14,36.0653292952706,26.3560343503051,59.02606374285484,0.7873097558753273,52,52
Colombo,stage1_plus_stage2,2,156.62776638297615,121.87502732889376,132.85449262776294,2.9879780391807995,52,52
Colombo,stage1_plus_stage2,3,169.36417431125176,155.02177205438198,92.62329940438921,3.022546736718359,52,52
Colombo,stage1_plus_stage2,4,57.991603431246226,51.05514157284744,38.453634631885905,0.8372334789618627,52,52
Colombo,stage1_plus_stage2,5,65.62115703037016,49.547559037975255,24.593411604381693,0.7801977601619199,52,52
Colombo,stage1_plus_stage2,6,59.39367036466382,48.078096457481514,29.88247984862367,0.6950681988451534,51,52
Colombo,stage1_plus_stage2,7,124.03801854460353,73.7627889386509,37.42651059635327,1.0018510034213752,52,52
Colombo,stage1_plus_stage2,8,568.7295865985884,364.5088446058566,56.915413019227245,4.752955442003727,52,52
Colombo,stage1_plus_stage2,9,40.030390770231016,30.23989149597816,16.19396420943814,0.26302622485335475,52,52
Colombo,stage1_plus_stage2,10,97.12125398552926,65.02911215565253,18.96276912424904,0.4458495486813566,52,52
Colombo,stage1_plus_stage2,11,430.55528548674073,418.62820292413346,150.57250852330765,2.7934595197967127,51,52
Colombo,stage1_plus_stage2,12,66.88347923395901,41.63710678087832,61.35569332228194,0.254186490176351,51,52
Colombo,stage1_plus_stage2,13,31.324288509438325,24.00494791480243,63.215939872430226,0.14982111274323784,51,52
Colombo,stage1_plus_stage2,14,257.9283094180379,228.35649914170952,160.30072826113027,1.4890260726677305,52,52
Galle,stage1_plus_stage2,2,14.98659765909094,10.959622399550929,144.98645951696682,1.3430487779496818,52,52
Galle,stage1_plus_stage2,3,10.793874404937824,8.93682335081519,78.82584895103443,1.0102495961791085,52,52
Galle,stage1_plus_stage2,4,9.036922710891965,7.441141130882404,52.507718570311745,0.7475644103668566,52,52
Galle,stage1_plus_stage2,5,9.116062808487074,7.216232008627723,63.42640945397415,0.708453236844509,52,52
Galle,stage1_plus_stage2,6,9.962531977856878,8.577720932484263,82.10640225344986,0.8472972644299245,51,52
Galle,stage1_plus_stage2,7,21.849195787123673,14.498742808858266,50.38518144319101,1.3781443576903756,52,52
Galle,stage1_plus_stage2,8,104.08109201881794,76.27083844790656,89.91846918815392,6.618661213542729,52,52
Galle,stage1_plus_stage2,9,38.76276316679268,37.87996704890035,118.94397362399944,2.0304038629273986,52,52
Galle,stage1_plus_stage2,10,56.74489527282754,39.83070137377845,37.3477038203309,1.5642482970272646,52,52
Galle,stage1_plus_stage2,11,93.70070471614615,90.90761720777785,151.1601496628634,2.844149585193794,51,52
Galle,stage1_plus_stage2,12,16.24531163908504,8.669078396878081,76.3793124590118,0.2228188879124255,51,52
Galle,stage1_plus_stage2,13,21.57487309622314,17.0612592693962,50.772673682704,0.44523697714396143,51,52
Galle,stage1_plus_stage2,14,28.334827602226355,20.809620104923006,34.25043072855264,0.552739892141622,52,52
