District,fold_id,stage2_trained,rmse,mae,smape,n_obs_scored,n_obs_total
Ampara,1,False,12.325015678651924,9.228632162658101,200.0,52,52
Ampara,10,True,17.444037455079194,10.793600303622927,77.1510079259891,52,52
Ampara,11,True,18.73965710416908,10.662572272693655,20.658666838532735,51,52
Ampara,12,True,208.8255489415574,40.927811448482096,90.88345593000571,51,52
Ampara,13,True,12.540162596835877,9.557159016439524,66.04886082200089,51,52
Ampara,14,True,29.325868018928958,17.535147540844402,112.91694274116011,52,52
Ampara,2,True,4.351386114292192,2.9641888078428855,136.38482525070245,52,52
Ampara,3,True,4.235513470547707,2.950820415909462,72.35198571979173,52,52
Ampara,4,True,8.375808140915009,4.88469584880744,122.1421761801935,52,52
Ampara,5,True,11.820437176977652,5.41028190067458,162.92340445239228,52,52
Ampara,6,True,8.55017727178043,4.076350851268721,43.68124545042243,51,52
Ampara,7,True,6.099410186581832,4.246208284336788,100.144792558604,52,52
Ampara,8,True,102.17732899393644,56.338217695068735,63.135085277428836,52,52
Ampara,9,True,17.876857174014184,13.48110061017552,24.002227259789173,52,52
Ampara,holdout,True,11.003481198356356,7.434749759884762,95.15597578251283,104,104
Ampara,validation_aggregate,True,,9.392895589548813,,724,728
Anuradhapura,1,False,21.63849774731487,12.499472831210019,200.0,52,52
Anuradhapura,10,True,9.243170130241284,6.416136731012805,109.74695308541868,52,52
Anuradhapura,11,True,5.666389460820589,4.2348709443684935,18.097437262065792,51,52
Anuradhapura,12,True,73.60298394903427,17.607746234403958,109.16827153759623,51,52
Anuradhapura,13,True,5.124772324063578,3.673468298716192,130.00008717667492,51,52
Anuradhapura,14,True,10.528481985161951,7.366044100023426,104.61083089225586,52,52
Anuradhapura,2,True,3.724208103701564,2.732203474041012,131.28164465444678,52,52
Anuradhapura,3,True,5.3795097596781085,3.012329179875635,138.44873695763314,52,52
Anuradhapura,4,True,5.137500250495737,3.96781105858317,102.07723799039667,52,52
Anuradhapura,5,True,4.464413008225805,3.285499296481016,111.01320157496556,52,52
Anuradhapura,6,True,6.336257407565533,4.016893574031431,52.93977869602675,51,52
Anuradhapura,7,True,6.038931043572554,4.374651595166825,123.91385412035088,52,52
Anuradhapura,8,True,36.06356167336862,20.05791364490963,49.2854101938076,52,52
Anuradhapura,9,True,11.204119344167905,8.055113468794808,31.92700985325526,52,52
Anuradhapura,holdout,True,7.656115011450377,5.285140658522762,111.4644331064281,104,104
Anuradhapura,validation_aggregate,True,,4.30476126976766,,724,728
Badulla,1,False,25.08197260748984,14.389028357344275,200.0,52,52
Badulla,10,True,15.300044342892757,10.663091853041923,92.19433524855415,52,52
Badulla,11,True,7.837933712786635,5.231895810689012,7.378125638283857,51,52
Badulla,12,True,33.769058451609176,13.97461385773968,111.80366552260055,51,52
Badulla,13,True,15.462013193043639,10.512866695506228,83.11315378936958,51,52
Badulla,14,True,28.90084864296748,14.395552637952683,115.67091694981586,52,52
Badulla,2,True,9.480641932505723,5.309381076619692,80.27822086079998,52,52
Badulla,3,True,4.229344417816812,3.4787632334801333,102.03285970382419,52,52
Badulla,4,True,4.3566669918673915,3.2783320355025487,138.5106390957616,52,52
Badulla,5,True,12.362451975824841,8.025027630520675,93.19744393656276,52,52
Badulla,6,True,10.342283408354794,8.117044029746603,38.024306623530634,51,52
Badulla,7,True,11.550463355616165,8.062304254124728,102.10453340020733,52,52
Badulla,8,True,62.379153653400664,29.466605084049657,54.6513226231818,52,52
Badulla,9,True,5.772788514711128,3.970534237708179,26.213471370944784,52,52
Badulla,holdout,True,10.47253770554026,6.362366341935111,87.30780445754749,104,104
Badulla,validation_aggregate,True,,8.089674141935665,,724,728
Batticaloa,1,False,26.414118038387898,16.554502003620044,200.0,52,52
Batticaloa,10,True,17.142587649263827,11.5555166122538,57.14855838789261,52,52
Batticaloa,11,True,46.67884877586131,24.61225574023235,34.48502129842752,51,52
Batticaloa,12,True,42.546483567843,25.10241349430977,28.421119799137134,51,52
Batticaloa,13,True,9.101341315049579,6.547939758390605,71.31681598103546,51,52
Batticaloa,14,True,21.760912906052695,15.397524391904783,76.16098545179715,52,52
Batticaloa,2,True,22.000427638866785,13.291262897212015,98.9073165264159,52,52
Batticaloa,3,True,65.89092875565271,64.69595613513891,120.42385175595321,52,52
Batticaloa,4,True,9.199326605809638,5.524362178366894,125.65949380740464,52,52
Batticaloa,5,True,8.440223720677727,5.832118975807333,88.79083899899217,52,52
Batticaloa,6,True,11.448700405472277,8.808354100848453,58.31336501544061,51,52
Batticaloa,7,True,5.74406697500071,4.153510249417731,90.22798645083748,52,52
Batticaloa,8,True,69.8501487927047,42.3122378104756,54.41800878514426,52,52
Batticaloa,9,True,23.239058570222454,15.804169438882209,54.73704798784005,52,52
Batticaloa,holdout,True,11.953035509786853,8.606707828335258,79.29226012756992,104,104
Batticaloa,validation_aggregate,True,,14.344393644558398,,724,728
Colombo,1,False,105.79720610451659,72.05436659458083,200.0,52,52
Colombo,10,True,80.83165984303864,55.39308155898885,63.00075629715697,52,52
Colombo,11,True,437.52496877279196,425.0610618961219,103.31842399840939,51,52
Colombo,12,True,85.42273926381667,49.20873123470164,98.92586708059437,51,52
Colombo,13,True,29.31638542944986,21.756059340800782,107.54328968958752,51,52
Colombo,14,True,147.54460400705997,110.13234407015419,58.962688751972934,52,52
Colombo,2,True,104.21522152457462,70.52335983528249,70.92386831671755,52,52
Colombo,3,True,163.91519032229408,150.8745172847633,177.91818602479833,52,52
Colombo,4,True,62.88300257375118,47.49318686880112,116.21399567286362,52,52
Colombo,5,True,84.24797653117736,64.37529567857412,89.75977033171829,52,52
Colombo,6,True,63.32767431477197,50.97398748126119,48.37384535076558,51,52
Colombo,7,True,116.7035692888146,67.53218141007486,66.732071838326,52,52
Colombo,8,True,561.6001405720026,347.97666345375427,116.36231770963236,52,52
Colombo,9,True,45.51320726298622,36.389265890752185,52.137856244280535,52,52
Colombo,holdout,True,119.74488966498899,50.81468062980136,63.73757801978447,104,104
Colombo,validation_aggregate,True,,65.9537385443245,,724,728
Galle,1,False,18.41584755076961,13.59653249930919,200.0,52,52
Galle,10,True,42.12245064049456,31.469006121118817,67.5122089156882,52,52
Galle,11,True,24.26181203940112,18.47382010658552,26.76287130334478,51,52
Galle,12,True,21.702452654176533,9.162966279795556,81.37031910416562,51,52
Galle,13,True,21.49407211312708,14.663646997720257,111.88301135245253,51,52
Galle,14,True,24.887100293617245,18.071264143528406,73.5001466168214,52,52
Galle,2,True,9.128296721212022,6.809269681958706,93.7360851318188,52,52
Galle,3,True,8.584962718026977,6.3881394445385995,97.588368504539,52,52
Galle,4,True,7.420603047998667,5.936171482579225,126.51775402289627,52,52
Galle,5,True,8.668204440349932,6.696989344910061,105.6891352749177,52,52
Galle,6,True,7.843257170033196,6.371859237234515,99.23498444028365,51,52
Galle,7,True,22.72834439722125,15.778419654464876,135.07474077171707,52,52
Galle,8,True,69.12358680411695,45.07317107786189,64.98343304180915,52,52
Galle,9,True,9.953417893702216,6.610243444308673,19.45077669139577,52,52
Galle,holdout,True,63.65705555314396,19.595867510633187,49.29453128697728,104,104
Galle,validation_aggregate,True,,11.379749389552373,,724,728
Gampaha,1,False,44.534362804113,34.339769936105284,200.0,52,52
Gampaha,10,True,93.33222669151736,62.608352766998294,60.83763923280413,52,52
Gampaha,11,True,116.23929524634107,110.97778329468161,46.02070000181028,51,52
Gampaha,12,True,53.28245285278015,27.60476016635982,98.41294570911322,51,52
Gampaha,13,True,34.094138040943626,26.672936351419118,90.36404402948224,51,52
Gampaha,14,True,102.59106107251577,74.49376409597372,55.63442601150739,52,52
Gampaha,2,True,35.18821178255618,24.794330225383707,80.57589232953102,52,52
Gampaha,3,True,40.41880779145168,28.119966294233482,104.51244307511544,52,52
Gampaha,4,True,20.585626926778218,15.31070559105885,76.5568702717196,52,52
Gampaha,5,True,51.32287992661234,35.37217684438878,83.36402970899017,52,52
Gampaha,6,True,28.24359098647343,22.506732530452997,60.91818315220888,51,52
Gampaha,7,True,117.96744504191768,34.67651582578608,111.61401343675148,52,52
Gampaha,8,True,731.0235065054557,447.5744796695612,115.57984748731485,52,52
Gampaha,9,True,31.246351746092323,21.14275115948553,55.98118842734968,52,52
