stage,corr,mae,rmse
"Stage 1 alone (Risk_0, rescaled KDE_baseline)",0.8241667393022079,20.4666735228345,48.10521174269879
"Stage 2 final (Risk, post iterative loop)",0.8204855078603983,20.833981732375328,48.52532197323229
Change (Stage 2 - Stage 1),-0.0036812314418095404,0.3673082095408269,0.4201102305334956
