config,alpha,residual_mae,residual_rmse,corr,mae,rmse
baseline_5fold,1.0,34.70895266264393,63.61095043039639,0.6670204449981068,34.70895266264393,63.61095043039639
baseline_5fold,0.5,34.70895266264393,63.61095043039639,0.7646269412316372,26.577510324399338,54.299692760821884
baseline_5fold,0.3,34.70895266264393,63.61095043039639,0.7941072057696249,23.72783811847564,51.396676282504764
baseline_5fold,0.15,34.70895266264393,63.61095043039639,0.8113483891756743,21.90213796538785,49.6095726784604
baseline_5fold,0.05,34.70895266264393,63.61095043039639,0.8203447969868775,20.907262468385213,48.625088482564564
plus_residual_lags_5fold,1.0,10.084746024878912,25.12460029330717,0.9550702176539048,10.084746024878914,25.12460029330717
plus_residual_lags_5fold,0.5,10.084746024878912,25.12460029330717,0.9297022174987212,13.620765037820812,32.81945346319712
plus_residual_lags_5fold,0.3,10.084746024878912,25.12460029330717,0.8988548369544497,16.220896626768397,38.46434113423179
plus_residual_lags_5fold,0.15,10.084746024878912,25.12460029330717,0.8658566990213818,18.336566777469557,43.18926407057572
plus_residual_lags_5fold,0.05,10.084746024878912,25.12460029330717,0.8389685749636707,19.79604675878423,46.50295093566705
winsorized_target_5fold,1.0,32.87361605365315,60.961256070937964,0.6940452719183628,32.87361605365315,60.961256070937964
winsorized_target_5fold,0.5,32.87361605365315,60.961256070937964,0.7732360835231891,25.952867099760567,53.47799321573066
winsorized_target_5fold,0.3,32.87361605365315,60.961256070937964,0.7975329065266289,23.45901477789586,51.0571894074298
winsorized_target_5fold,0.15,32.87361605365315,60.961256070937964,0.8123471744640142,21.80815624753452,49.503554149887606
winsorized_target_5fold,0.05,32.87361605365315,60.961256070937964,0.8205146154409646,20.88679883273268,48.604795914251746
loo_25fold,1.0,34.86455371813556,61.106899880214264,0.7204252109294327,34.86455371813556,61.106899880214264
loo_25fold,0.5,34.86455371813556,61.106899880214264,0.7896032313446777,26.260930185513402,51.785723733155535
loo_25fold,0.3,34.86455371813556,61.106899880214264,0.8096253802943449,23.432077300858715,49.54866426004493
loo_25fold,0.15,34.86455371813556,61.106899880214264,0.8195651689417709,21.70075737027072,48.5580734824464
loo_25fold,0.05,34.86455371813556,61.106899880214264,0.8232281603520833,20.830928799910325,48.24707851524407
combo_lags_winsor_loo,1.0,9.956450707671198,29.887640753844018,0.9391440873102003,9.956450707671198,29.887640753844018
combo_lags_winsor_loo,0.5,9.956450707671198,29.887640753844018,0.906353415218451,13.835603895544372,37.18917319366555
combo_lags_winsor_loo,0.3,9.956450707671198,29.887640753844018,0.8798963694963934,16.364716816271347,41.29205323244754
combo_lags_winsor_loo,0.15,9.956450707671198,29.887640753844018,0.8544108711098233,18.408197914142704,44.65218997641461
combo_lags_winsor_loo,0.05,9.956450707671198,29.887640753844018,0.8347181678267898,19.819669370168175,46.99848648145111
