model,corr,mae,rmse,spearman_rho,precision_at_3,precision_at_5
Stage 1 alone (Risk_0),0.8240780593493952,20.536261650151634,48.198885662692376,,,
Naive persistence (no model),0.9493050726011069,9.438645499414722,26.634276306825114,0.8486978537277567,0.7721393034825871,0.7842786069651742
"Stage 2 RF, official",0.9553590824709067,9.962115256935748,25.060059208013204,0.8124848354394201,0.751575456053068,0.7594029850746269
Blended (w*RF + (1-w)*persistence),0.9540837371929047,9.460627140281131,25.262080168938024,0.840559351906542,0.7797678275290215,0.7874626865671641
