model,corr,mae,rmse,spearman_rho,precision_at_3,precision_at_5
Stage 1 alone (Risk_0),0.8239715128198026,20.612811413714365,48.294864859700006,0.7079784058882969,0.6223776223776224,0.598001998001998
Naive persistence (no model),0.9492760922922441,9.47189782634389,26.687195990563342,0.8489370781376072,0.7732267732267732,0.7844155844155845
"Stage 2 RF, official",0.9553359226410311,9.996546028733663,25.109664741405826,0.8129191222377717,0.7515817515817516,0.7596403596403596
Relative persistence (no model),0.9433527245297467,8.166400029886253,28.23542611829039,0.8695641356890901,0.7962037962037962,0.7952047952047953
RF on relative residual,0.9592731719983878,8.071417064929316,24.01030402063449,0.8886761175858964,0.8091908091908092,0.8179820179820181
