Year,Week,model,spearman_rho,precision_at_3,precision_at_5
2007,9,Stage 1 alone (Risk_0),0.7893981736969775,0.3333333333333333,0.8
2007,9,Naive persistence (no model),0.8176217974130962,0.6666666666666666,1.0
2007,9,"Stage 2 RF, official",0.8899404474824237,0.6666666666666666,1.0
2007,10,Stage 1 alone (Risk_0),0.8528697318713709,1.0,0.8
2007,10,Naive persistence (no model),0.8783999764175675,0.3333333333333333,0.8
2007,10,"Stage 2 RF, official",0.8724163253520526,0.6666666666666666,0.8
2007,11,Stage 1 alone (Risk_0),0.8860049107649277,0.6666666666666666,0.8
2007,11,Naive persistence (no model),0.7724543243702184,0.3333333333333333,0.6
2007,11,"Stage 2 RF, official",0.9414297041103655,1.0,0.8
2007,12,Stage 1 alone (Risk_0),0.6529964698896722,1.0,0.6
2007,12,Naive persistence (no model),0.686851682449946,0.6666666666666666,0.6
2007,12,"Stage 2 RF, official",0.6917609841889768,1.0,0.8
2007,13,Stage 1 alone (Risk_0),0.7121194773684282,0.3333333333333333,0.6
2007,13,Naive persistence (no model),0.6024144966768742,0.3333333333333333,0.6
2007,13,"Stage 2 RF, official",0.7632564667102929,0.6666666666666666,0.8
2007,14,Stage 1 alone (Risk_0),0.6679339388040817,0.3333333333333333,0.6
2007,14,Naive persistence (no model),0.7164336006025946,0.6666666666666666,0.8
2007,14,"Stage 2 RF, official",0.7334510257950554,0.6666666666666666,0.8
2007,15,Stage 1 alone (Risk_0),0.6248496190637568,0.3333333333333333,0.6
2007,15,Naive persistence (no model),0.5791563206324281,0.6666666666666666,0.6
2007,15,"Stage 2 RF, official",0.7040739061434151,0.6666666666666666,0.8
2007,16,Stage 1 alone (Risk_0),0.7104665883150701,0.6666666666666666,0.4
2007,16,Naive persistence (no model),0.7973320355826556,0.3333333333333333,0.8
2007,16,"Stage 2 RF, official",0.8127214225573082,0.6666666666666666,0.6
2007,17,Stage 1 alone (Risk_0),0.5560981965251618,0.6666666666666666,0.4
2007,17,Naive persistence (no model),0.5615142369639612,0.3333333333333333,0.2
2007,17,"Stage 2 RF, official",0.7369608544859315,0.6666666666666666,0.6
2007,18,Stage 1 alone (Risk_0),0.6302072848378654,0.3333333333333333,0.4
2007,18,Naive persistence (no model),0.7088174264988477,0.3333333333333333,0.6
2007,18,"Stage 2 RF, official",0.7586678035208981,0.3333333333333333,0.8
2007,19,Stage 1 alone (Risk_0),0.7281773270381663,0.6666666666666666,0.6
2007,19,Naive persistence (no model),0.8575806120266879,0.3333333333333333,0.4
2007,19,"Stage 2 RF, official",0.8396454037228773,0.6666666666666666,0.6
2007,20,Stage 1 alone (Risk_0),0.8036206016045835,0.6666666666666666,0.8
2007,20,Naive persistence (no model),0.901661908762704,0.3333333333333333,0.6
2007,20,"Stage 2 RF, official",0.8537963088548193,0.6666666666666666,0.8
2007,21,Stage 1 alone (Risk_0),0.7986391671028721,0.6666666666666666,0.4
2007,21,Naive persistence (no model),0.6412403966250158,0.6666666666666666,0.6
2007,21,"Stage 2 RF, official",0.7892384977090576,0.6666666666666666,0.6
2007,22,Stage 1 alone (Risk_0),0.7762980358273092,0.6666666666666666,0.6
2007,22,Naive persistence (no model),0.8396148063800197,0.6666666666666666,0.6
2007,22,"Stage 2 RF, official",0.8908272005935199,0.6666666666666666,0.8
2007,23,Stage 1 alone (Risk_0),0.7402566689135465,0.6666666666666666,0.6
2007,23,Naive persistence (no model),0.7948396418097553,0.6666666666666666,0.8
2007,23,"Stage 2 RF, official",0.815158850698125,0.6666666666666666,0.8
2007,24,Stage 1 alone (Risk_0),0.7528573878258766,0.6666666666666666,0.8
2007,24,Naive persistence (no model),0.8256308809312042,1.0,0.8
