model,corr,mae,rmse
Stage 1 alone (Risk_0),0.8240780593493945,20.536261650151634,48.198885662692376
Naive persistence (no model),0.9493050726011075,9.438645499414722,26.634276306825114
"Stage 2 RF, official (predicts raw residual)",0.9553590824709077,9.962115256935748,25.060059208013204
Stacked: RF predicts correction beyond persistence,0.9487107781064513,11.008763466929658,26.956500001359412
