model,corr,mae,rmse,spearman_rho,precision_at_3,precision_at_5
Stage 1 alone (Risk_0),0.8240780593493952,20.536261650151634,48.198885662692376,0.7083260234630926,0.6228855721393035,0.5986069651741294
Naive persistence (no model),0.9493050726011069,9.438645499414722,26.634276306825114,0.8486978537277567,0.7721393034825871,0.7842786069651742
"Stage 2 RF, official",0.9553590824709067,9.962115256935748,25.060059208013204,0.8124848354394201,0.751575456053068,0.7594029850746269
"Calibrated Risk_0 (isotonic, no covariates)",0.7096579747000701,22.40951330712879,59.41107293805304,0.6900414579176769,0.5857379767827529,0.5856716417910448
"Calibrated RF output (isotonic, no covariates)",0.9041705021329001,11.063684454543086,36.594819682257594,0.7752881404416744,0.7359867330016583,0.7454726368159205
