District,Year,Week,Week_Start_Date,Week_End_Date,Number_of_Cases,is_imputed,is_reporting_anomaly,rain_sum (mm),precipitation_sum (mm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),temperature_2m_mean (°C),climate_data_source,Estimated_Population,Source_Type,cases_per_100k,cases_lag_1,cases_lag_2,cases_lag_3,cases_lag_4,rolling_mean_cases_4w,rolling_std_cases_4w,rate_of_change,weeks_since_reporting_anomaly,reporting_rebound_ratio_lag1,suspected_backfill_week,rainfall_lag_2,rainfall_lag_3,rainfall_lag_4,rainfall_lag_5,rainfall_lag_6,rainfall_lag_7,rainfall_lag_8,temperature_lag_1,temperature_lag_2,temperature_lag_3,temperature_lag_4,humidity_lag_1,humidity_lag_2,humidity_lag_3,humidity_lag_4,sin_week,cos_week,monsoon_indicator_SW,monsoon_indicator_NE
Colombo,2011,3,2011-01-15,2011-01-21,60.0,False,False,13.7,13.7,83.71428571428571,96.28571428571428,65.71428571428571,28.87142857142857,21.87142857142857,29.31428571428572,34.44285714285714,25.571428571428573,24.914285714285715,observed,2317706,interpolated,2.588766651162831,72.0,77.0,38.0,18.0,51.25,28.13509078239011,-5.0,,,0,30.6,64.0,74.1,8.0,145.6,167.0,135.0,23.885714285714283,24.685714285714287,24.5,24.942857142857143,86.85714285714286,85.14285714285714,86.28571428571429,84.57142857142857,0.3546048870425356,0.9350162426854148,0,1
Colombo,2011,4,2011-01-22,2011-01-28,72.0,False,False,14.1,14.1,76.85714285714286,87.14285714285714,61.71428571428572,29.542857142857144,22.75714285714286,28.24285714285714,33.128571428571426,24.857142857142858,25.542857142857144,observed,2317706,interpolated,3.106519981395397,60.0,72.0,77.0,38.0,61.75,17.36615482291152,-12.0,,,0,106.3,30.6,64.0,74.1,8.0,145.6,167.0,24.914285714285715,23.885714285714283,24.685714285714287,24.5,83.71428571428571,86.85714285714286,85.14285714285714,86.28571428571429,0.4647231720437685,0.8854560256532099,0,1
Colombo,2011,5,2011-01-29,2011-02-04,77.0,False,False,83.8,83.8,86.57142857142857,92.14285714285714,77.42857142857143,26.7,22.985714285714288,27.142857142857142,29.77142857142857,25.342857142857145,24.385714285714283,observed,2317706,interpolated,3.3222505356589664,72.0,60.0,72.0,77.0,70.25,7.228416147400453,12.0,,,0,13.7,106.3,30.6,64.0,74.1,8.0,145.6,25.542857142857144,24.914285714285715,23.885714285714283,24.685714285714287,76.85714285714286,83.71428571428571,86.85714285714286,85.14285714285714,0.5680647467311558,0.8229838658936564,0,1
Colombo,2011,6,2011-02-05,2011-02-11,82.0,False,False,20.2,20.2,84.14285714285714,92.0,71.85714285714286,28.085714285714285,23.1,28.228571428571428,31.642857142857142,25.9,25.11428571428572,observed,2317706,interpolated,3.5379810899225355,77.0,72.0,60.0,72.0,70.25,7.228416147400453,5.0,,,0,14.1,13.7,106.3,30.6,64.0,74.1,8.0,24.385714285714283,25.542857142857144,24.914285714285715,23.885714285714283,86.57142857142857,76.85714285714286,83.71428571428571,86.85714285714286,0.6631226582407952,0.7485107481711011,0,1
Colombo,2011,7,2011-02-12,2011-02-18,78.0,False,False,1.4,1.4,78.85714285714286,91.57142857142856,62.57142857142857,29.52857142857143,22.74285714285714,30.0,34.75714285714286,26.3,25.928571428571427,observed,2317706,interpolated,3.36539664651168,82.0,77.0,72.0,60.0,72.75,9.429563439877068,5.0,,,0,83.8,14.1,13.7,106.3,30.6,64.0,74.1,25.11428571428572,24.385714285714283,25.542857142857144,24.914285714285715,84.14285714285714,86.57142857142857,76.85714285714286,83.71428571428571,0.7485107481711011,0.6631226582407953,0,1
Colombo,2011,8,2011-02-19,2011-02-25,101.0,False,False,10.2,10.2,82.85714285714286,96.0,63.42857142857143,30.085714285714285,22.97142857142857,31.414285714285715,36.44285714285714,27.485714285714288,26.3,observed,2317706,interpolated,4.357757196124099,78.0,82.0,77.0,72.0,77.25,4.112987559750971,-4.0,,,0,20.2,83.8,14.1,13.7,106.3,30.6,64.0,25.928571428571427,25.11428571428572,24.385714285714283,25.542857142857144,78.85714285714286,84.14285714285714,86.57142857142857,76.85714285714286,0.8229838658936564,0.5680647467311559,0,1
Colombo,2011,9,2011-02-26,2011-03-04,77.0,False,False,23.1,23.1,79.14285714285714,92.71428571428572,61.0,30.585714285714285,23.457142857142856,30.685714285714287,35.9,27.6,26.4,observed,2317706,interpolated,3.3222505356589664,101.0,78.0,82.0,77.0,84.5,11.210114480533472,23.0,,,0,1.4,20.2,83.8,14.1,13.7,106.3,30.6,26.3,25.928571428571427,25.11428571428572,24.385714285714283,82.85714285714286,78.85714285714286,84.14285714285714,86.57142857142857,0.8854560256532099,0.4647231720437686,0,0
Colombo,2011,10,2011-03-05,2011-03-11,73.0,False,False,32.8,32.8,83.57142857142857,96.0,64.28571428571429,30.15714285714285,22.885714285714283,31.442857142857143,37.17142857142857,27.31428571428572,26.214285714285715,observed,2317706,interpolated,3.149666092248111,77.0,101.0,78.0,82.0,84.5,11.210114480533472,-24.0,,,0,10.2,1.4,20.2,83.8,14.1,13.7,106.3,26.4,26.3,25.928571428571427,25.11428571428572,79.14285714285714,82.85714285714286,78.85714285714286,84.14285714285714,0.9350162426854148,0.35460488704253557,0,0
Colombo,2011,11,2011-03-12,2011-03-18,69.0,False,False,5.800000000000001,5.800000000000001,77.28571428571429,92.28571428571428,57.42857142857143,31.557142857142857,23.942857142857143,31.45714285714286,36.74285714285714,27.74285714285714,27.2,observed,2317706,interpolated,2.977081648837255,73.0,77.0,101.0,78.0,82.25,12.68529332205867,-4.0,,,0,23.1,10.2,1.4,20.2,83.8,14.1,13.7,26.214285714285715,26.4,26.3,25.928571428571427,83.57142857142857,79.14285714285714,82.85714285714286,78.85714285714286,0.970941817426052,0.23931566428755804,0,0
Colombo,2011,12,2011-03-19,2011-03-25,81.0,False,False,18.4,18.4,82.57142857142857,93.85714285714286,68.14285714285714,30.085714285714285,24.385714285714283,32.142857142857146,36.5,29.4,26.971428571428568,observed,2317706,interpolated,3.4948349790698217,69.0,73.0,77.0,101.0,80.0,14.375905768565202,-4.0,,,0,32.8,23.1,10.2,1.4,20.2,83.8,14.1,27.2,26.214285714285715,26.4,26.3,77.28571428571429,83.57142857142857,79.14285714285714,82.85714285714286,0.992708874098054,0.120536680255323,0,0
Colombo,2011,13,2011-03-26,2011-04-01,99.0,False,False,13.6,13.6,84.42857142857143,95.57142857142856,69.57142857142857,30.414285714285715,24.285714285714285,32.528571428571425,37.72857142857144,29.5,26.942857142857143,observed,2317706,interpolated,4.271464974418671,81.0,69.0,73.0,77.0,75.0,5.163977794943182,12.0,,,0,5.800000000000001,32.8,23.1,10.2,1.4,20.2,83.8,26.971428571428568,27.2,26.214285714285715,26.4,82.57142857142857,77.28571428571429,83.57142857142857,79.14285714285714,1.0,-1.6081226496766366e-16,0,0
Colombo,2011,14,2011-04-02,2011-04-08,54.0,False,False,11.5,11.5,81.14285714285714,93.14285714285714,64.85714285714286,30.5,24.25714285714286,32.214285714285715,37.12857142857143,29.17142857142857,27.071428571428573,observed,2317706,interpolated,2.329889986046548,99.0,81.0,69.0,73.0,80.5,13.304134695650056,18.0,,,0,18.4,5.800000000000001,32.8,23.1,10.2,1.4,20.2,26.942857142857143,26.971428571428568,27.2,26.214285714285715,84.42857142857143,82.57142857142857,77.28571428571429,83.57142857142857,0.992708874098054,-0.12053668025532288,0,0
Colombo,2011,15,2011-04-09,2011-04-15,46.0,False,False,47.9,47.9,84.0,94.28571428571428,70.71428571428571,30.285714285714285,24.11428571428572,32.07142857142857,37.785714285714285,28.857142857142858,26.67142857142857,observed,2317706,interpolated,1.984721099224837,54.0,99.0,81.0,69.0,75.75,19.03286631067427,-45.0,,,0,13.6,18.4,5.800000000000001,32.8,23.1,10.2,1.4,27.071428571428573,26.942857142857143,26.971428571428568,27.2,81.14285714285714,84.42857142857143,82.57142857142857,77.28571428571429,0.9709418174260521,-0.2393156642875575,0,0
