District,Year,Week,rain_sum (mm),precipitation_sum (mm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),temperature_2m_mean (°C),weather_code (wmo code)
Ampara,2007,1,0.0,0.0,71.4,83.8,58.4,27.080000000000002,21.54,25.76,28.76,23.44,24.2,3
Ampara,2007,2,82.9,82.9,86.85714285714286,93.42857142857143,79.28571428571429,26.357142857142858,23.0,27.62857142857143,29.75714285714286,26.2,24.442857142857143,53
Ampara,2007,3,7.6,7.6,83.0,89.85714285714286,74.57142857142857,27.099999999999998,23.52857142857143,28.0,29.928571428571427,26.728571428571428,25.071428571428573,51
Ampara,2007,4,23.0,23.0,77.14285714285714,85.71428571428571,66.28571428571429,26.942857142857143,22.785714285714285,26.97142857142857,29.442857142857143,25.25714285714286,24.599999999999998,3
Ampara,2007,5,33.5,33.5,83.71428571428571,91.28571428571429,73.57142857142857,27.071428571428573,23.47142857142857,28.24285714285714,30.614285714285717,26.8,24.97142857142857,51
Ampara,2007,6,4.4,4.4,79.42857142857143,93.14285714285714,65.85714285714286,27.542857142857144,21.442857142857143,27.585714285714285,31.142857142857142,24.471428571428568,24.557142857142857,51
Ampara,2007,7,10.9,10.9,82.42857142857143,93.42857142857143,68.71428571428571,28.942857142857143,23.414285714285715,30.485714285714288,34.385714285714286,27.771428571428572,25.928571428571427,51
Ampara,2007,8,2.2,2.2,74.14285714285714,85.71428571428571,61.714285714285715,28.157142857142855,23.385714285714283,28.157142857142855,30.914285714285715,26.357142857142858,25.585714285714285,3
Ampara,2007,9,10.6,10.6,82.28571428571429,93.85714285714286,69.57142857142857,28.842857142857145,23.428571428571427,30.157142857142855,34.01428571428571,27.657142857142855,25.885714285714283,51
Ampara,2007,10,0.0,0.0,74.71428571428571,91.0,58.57142857142857,29.342857142857145,21.957142857142856,28.942857142857143,33.785714285714285,25.17142857142857,25.599999999999998,3
Ampara,2007,11,15.100000000000001,15.100000000000001,81.0,93.42857142857143,66.57142857142857,29.2,23.099999999999998,30.142857142857142,34.385714285714286,27.385714285714283,25.942857142857143,51
Ampara,2007,12,1.1,1.1,74.28571428571429,94.57142857142857,52.142857142857146,30.25714285714286,21.87142857142857,29.485714285714288,35.05714285714286,25.52857142857143,25.857142857142858,3
Ampara,2007,13,0.0,0.0,72.71428571428571,93.0,50.285714285714285,31.25714285714286,22.214285714285715,30.385714285714283,36.542857142857144,25.814285714285713,26.514285714285712,2
Ampara,2007,14,23.799999999999997,23.799999999999997,80.57142857142857,93.71428571428571,63.857142857142854,30.67142857142857,24.314285714285713,32.114285714285714,36.48571428571429,29.32857142857143,27.12857142857143,51
Ampara,2007,15,133.0,133.0,91.14285714285714,96.14285714285714,82.0,27.7,24.099999999999998,30.228571428571428,32.74285714285714,28.571428571428573,25.32857142857143,63
Ampara,2007,16,15.0,15.0,83.28571428571429,94.28571428571429,67.85714285714286,30.25714285714286,24.571428571428573,32.528571428571425,36.800000000000004,29.557142857142857,27.114285714285717,51
Ampara,2007,17,24.9,24.9,83.42857142857143,94.42857142857143,66.57142857142857,31.0,24.914285714285715,32.91428571428572,38.32857142857143,30.085714285714285,27.3,53
Ampara,2007,18,27.5,27.5,82.71428571428571,95.0,65.42857142857143,31.671428571428574,25.214285714285715,33.75714285714286,39.385714285714286,30.74285714285714,27.814285714285713,3
Ampara,2007,19,25.6,25.6,83.71428571428571,94.71428571428571,67.57142857142857,32.114285714285714,25.914285714285715,34.628571428571426,40.028571428571425,31.385714285714283,28.428571428571427,63
Ampara,2007,20,0.0,0.0,73.85714285714286,90.85714285714286,53.42857142857143,33.714285714285715,25.24285714285714,33.94285714285714,39.714285714285715,29.571428571428573,29.099999999999998,3
Ampara,2007,21,11.7,11.7,76.14285714285714,87.14285714285714,60.285714285714285,32.9,26.17142857142857,33.871428571428574,39.528571428571425,30.414285714285715,28.914285714285715,53
Ampara,2007,22,13.600000000000001,13.600000000000001,77.42857142857143,92.28571428571429,59.714285714285715,32.55714285714286,25.657142857142855,34.58571428571428,39.871428571428574,31.142857142857142,28.771428571428572,51
Ampara,2007,23,25.7,25.7,78.85714285714286,91.57142857142857,61.42857142857143,32.542857142857144,26.114285714285717,34.471428571428575,39.98571428571428,31.642857142857142,28.657142857142855,63
Ampara,2007,24,24.6,24.6,81.0,91.57142857142857,66.0,31.357142857142858,25.814285714285713,33.614285714285714,37.82857142857143,30.714285714285715,28.0,61
Ampara,2007,25,10.5,10.5,77.0,88.14285714285714,61.42857142857143,30.842857142857145,25.599999999999998,32.128571428571426,35.471428571428575,29.82857142857143,27.74285714285714,3
Ampara,2007,26,30.4,30.4,79.42857142857143,91.42857142857143,60.857142857142854,32.214285714285715,25.62857142857143,33.2,38.31428571428571,30.314285714285713,28.157142857142855,61
Ampara,2007,27,10.8,10.8,72.42857142857143,86.42857142857143,53.57142857142857,33.142857142857146,25.728571428571428,32.91428571428572,38.18571428571429,29.642857142857142,28.8,3
Ampara,2007,28,4.8,4.8,69.14285714285714,86.57142857142857,48.857142857142854,33.92857142857143,25.285714285714285,33.042857142857144,39.41428571428571,29.014285714285712,28.957142857142856,3
Ampara,2007,29,10.0,10.0,73.0,87.28571428571429,54.714285714285715,32.9,25.614285714285717,33.285714285714285,38.628571428571426,30.02857142857143,28.542857142857144,61
Ampara,2007,30,24.7,24.7,80.85714285714286,93.14285714285714,62.857142857142854,30.74285714285714,24.8,32.74285714285714,36.98571428571428,29.885714285714283,27.3,53
Ampara,2007,31,2.5,2.5,73.28571428571429,87.28571428571429,57.0,31.82857142857143,25.042857142857144,32.114285714285714,36.699999999999996,28.842857142857145,28.085714285714285,51
Ampara,2007,32,7.300000000000001,7.300000000000001,67.57142857142857,84.42857142857143,47.57142857142857,33.857142857142854,25.24285714285714,33.01428571428571,39.128571428571426,28.599999999999998,29.014285714285712,3
Ampara,2007,33,6.8,6.8,71.42857142857143,88.28571428571429,51.57142857142857,33.214285714285715,25.657142857142855,33.957142857142856,39.385714285714286,30.428571428571427,29.042857142857144,51
Ampara,2007,34,9.200000000000001,9.200000000000001,70.0,87.85714285714286,51.142857142857146,33.31428571428571,25.428571428571427,34.1,39.58571428571429,30.142857142857142,29.085714285714285,3
Ampara,2007,35,44.2,44.2,77.42857142857143,87.57142857142857,60.285714285714285,31.771428571428572,25.400000000000002,32.042857142857144,37.457142857142856,29.0,27.728571428571428,63
Ampara,2007,36,8.600000000000001,8.600000000000001,75.14285714285714,88.28571428571429,56.857142857142854,32.17142857142857,25.32857142857143,32.57142857142857,37.6,29.24285714285714,28.114285714285717,3
Ampara,2007,37,19.0,19.0,77.85714285714286,90.57142857142857,59.857142857142854,31.67142857142857,25.114285714285717,32.48571428571429,38.18571428571429,29.457142857142856,27.728571428571428,55
Ampara,2007,38,18.3,18.3,73.71428571428571,88.57142857142857,54.142857142857146,32.82857142857143,25.314285714285713,32.67142857142857,37.971428571428575,29.271428571428572,28.357142857142858,61
Ampara,2007,39,17.8,17.8,74.57142857142857,87.14285714285714,56.0,32.74285714285714,25.74285714285714,33.22857142857143,39.199999999999996,29.942857142857143,28.52857142857143,61
Ampara,2007,40,11.0,11.0,72.85714285714286,88.14285714285714,53.0,32.9,25.085714285714285,32.57142857142857,38.728571428571435,28.8,28.37142857142857,3
Ampara,2007,41,13.9,13.9,74.71428571428571,88.71428571428571,57.714285714285715,31.571428571428573,25.042857142857144,31.842857142857145,36.74285714285714,28.885714285714283,27.74285714285714,51
Ampara,2007,42,72.80000000000001,72.80000000000001,86.57142857142857,95.71428571428571,72.85714285714286,29.228571428571428,24.157142857142855,31.057142857142857,35.08571428571428,28.97142857142857,25.928571428571427,63
Ampara,2007,43,96.1,96.1,86.42857142857143,94.71428571428571,70.85714285714286,29.2,24.042857142857144,31.042857142857144,35.471428571428575,28.74285714285714,25.842857142857145,63
Ampara,2007,44,70.10000000000001,70.10000000000001,84.71428571428571,94.71428571428571,68.0,29.87142857142857,24.32857142857143,31.914285714285715,35.971428571428575,29.285714285714285,26.514285714285712,63
Ampara,2007,45,67.3,67.3,86.57142857142857,95.28571428571429,71.42857142857143,28.985714285714288,23.385714285714283,30.485714285714288,35.07142857142857,27.97142857142857,25.542857142857144,63
Ampara,2007,46,5.699999999999999,5.699999999999999,79.0,90.28571428571429,63.714285714285715,29.285714285714285,23.785714285714285,29.771428571428572,33.9,27.414285714285715,26.02857142857143,3
