District,Year,Week,Week_Start_Date,Week_End_Date,Number_of_Cases
Ampara,2009,2,2009-01-03,2009-01-09,0
Ampara,2009,3,2009-01-10,2009-01-16,3
Ampara,2009,4,2009-01-17,2009-01-23,11
Ampara,2009,5,2009-01-24,2009-01-30,14
Ampara,2009,6,2009-01-31,2009-02-06,9
Ampara,2009,7,2009-02-07,2009-02-13,13
Ampara,2009,8,2009-02-14,2009-02-20,2
Ampara,2009,9,2009-02-21,2009-02-27,3
Ampara,2009,10,2009-02-28,2009-03-06,14
Ampara,2009,11,2009-03-07,2009-03-13,2
Ampara,2009,12,2009-03-14,2009-03-20,0
Ampara,2009,13,2009-03-21,2009-03-27,1
Ampara,2009,14,2009-03-28,2009-04-03,2
Ampara,2009,15,2009-04-04,2009-04-10,0
Ampara,2009,16,2009-04-11,2009-04-17,3
Ampara,2009,17,2009-04-18,2009-04-25,9
Ampara,2009,18,2009-04-26,2009-05-02,0
Ampara,2009,19,2009-05-03,2009-05-09,2
Ampara,2009,20,2009-05-10,2009-05-16,2
Ampara,2009,21,2009-05-17,2009-05-23,9
Ampara,2009,22,2009-05-23,2009-05-29,17
Ampara,2009,23,2009-05-30,2009-06-05,9
Ampara,2009,24,2009-05-06,2009-05-12,5
Ampara,2009,25,2009-06-13,2009-06-19,18
Ampara,2009,26,2009-06-20,2009-06-26,28
Ampara,2009,27,2009-06-27,2009-07-03,15
Ampara,2009,28,2009-07-04,2009-07-10,12
Ampara,2009,29,2009-07-11,2009-07-17,17
Ampara,2009,30,2009-07-18,2009-07-24,4
Ampara,2009,31,2009-07-25,2009-07-31,8
Ampara,2009,32,2009-08-01,2009-08-07,2
Ampara,2009,33,2009-08-08,2009-08-14,5
Ampara,2009,34,2009-08-15,2009-08-21,4
Ampara,2009,35,2009-08-22,2009-08-28,7
Ampara,2009,36,2009-08-29,2009-09-04,7
Ampara,2009,37,2009-09-05,2009-09-11,9
Ampara,2009,38,2009-09-12,2009-09-18,2
Ampara,2009,39,2009-09-19,2009-09-25,14
Ampara,2009,40,2009-09-26,2009-10-02,2
Ampara,2009,41,2009-10-03,2009-10-09,3
Ampara,2009,42,2009-10-10,2009-10-16,12
Ampara,2009,43,2009-10-17,2009-10-23,6
Ampara,2009,44,2009-10-24,2009-10-30,5
Ampara,2009,45,2009-10-31,2009-11-06,4
Ampara,2009,46,2009-11-07,2009-11-13,8
Ampara,2009,47,2009-11-14,2009-11-20,12
Ampara,2009,48,2009-11-21,2009-11-27,14
Ampara,2009,49,2009-11-28,2009-12-04,12
Ampara,2009,50,2009-12-05,2009-12-11,18
Ampara,2009,51,2009-12-12,2009-12-18,9
Ampara,2009,52,2009-12-19,2009-12-25,1
Ampara,2009,53,2009-12-26,2010-01-01,37
Ampara,2010,1,2010-01-02,2010-01-08,38
Ampara,2010,2,2010-01-09,2010-01-15,36
Ampara,2010,3,2010-01-16,2010-01-22,11
Ampara,2010,4,2010-01-23,2010-01-29,14
Ampara,2010,5,2010-01-30,2010-02-05,61
Ampara,2010,6,2010-01-06,2010-01-12,20
Ampara,2010,7,2010-02-13,2010-02-19,38
Ampara,2010,8,2010-02-20,2010-02-26,18
Ampara,2010,9,2010-03-27,2010-03-05,17
Ampara,2010,10,2010-03-06,2010-03-12,14
Ampara,2010,11,2010-03-13,2010-03-19,23
Ampara,2010,12,2010-03-20,2010-03-26,13
Ampara,2010,13,2010-03-27,2010-04-02,15
Ampara,2010,14,2010-04-03,2010-04-09,7
Ampara,2010,15,2010-04-10,2010-04-16,5
Ampara,2010,16,2010-04-17,2010-04-23,8
Ampara,2010,17,2010-04-24,2010-04-30,13
Ampara,2010,18,2010-05-01,2010-05-07,6
Ampara,2010,19,2010-05-08,2010-05-14,3
Ampara,2010,20,2010-05-15,2010-05-21,0
Ampara,2010,21,2010-05-22,2010-05-28,3
Ampara,2010,22,2010-05-29,2010-06-04,4
Ampara,2010,23,2010-06-05,2010-06-11,0
Ampara,2010,24,2010-06-12,2010-06-18,2
Ampara,2010,25,2010-06-19,2010-06-25,4
Ampara,2010,26,2010-06-26,2010-07-02,1
Ampara,2010,27,2010-07-03,2010-07-09,3
Ampara,2010,28,2010-07-10,2010-07-16,5
Ampara,2010,29,2010-07-17,2010-07-23,9
Ampara,2010,30,2010-07-24,2010-07-30,13
Ampara,2010,31,2010-07-31,2010-08-06,8
Ampara,2010,32,2010-08-07,2010-08-13,1
Ampara,2010,33,2010-08-14,2010-08-20,5
Ampara,2010,34,2010-08-21,2010-08-27,5
Ampara,2010,35,2010-08-28,2010-09-03,5
Ampara,2010,36,2010-09-04,2010-09-10,3
Ampara,2010,37,2010-09-11,2010-09-17,4
Ampara,2010,38,2010-09-18,2010-09-24,1
Ampara,2010,39,2010-09-25,2010-10-01,1
Ampara,2010,40,2010-10-02,2010-10-08,3
Ampara,2010,41,2010-10-09,2010-10-15,2
Ampara,2010,42,2010-10-16,2010-10-22,2
Ampara,2010,43,2010-10-23,2010-10-29,4
Ampara,2010,44,2010-10-30,2010-11-05,0
Ampara,2010,45,2010-11-05,2010-11-12,6
Ampara,2010,46,2010-11-13,2010-11-19,15
Ampara,2010,47,2010-11-20,2010-11-26,2
Ampara,2010,48,2010-11-27,2010-12-03,0
Ampara,2010,49,2010-12-04,2010-12-10,6
Ampara,2010,50,2010-12-11,2010-12-17,4
Ampara,2010,51,2010-12-18,2010-12-24,1
Ampara,2010,52,2010-12-25,2010-12-31,2
Ampara,2011,1,2011-01-01,2011-01-07,4
Ampara,2011,2,2011-01-08,2011-01-14,1
Ampara,2011,3,2011-01-15,2011-01-21,1
Ampara,2011,4,2011-01-22,2011-01-28,1
Ampara,2011,5,2011-01-29,2011-02-04,0
Ampara,2011,6,2011-02-05,2011-02-11,2
Ampara,2011,7,2011-02-12,2011-02-18,2
Ampara,2011,8,2011-02-19,2011-02-25,2
Ampara,2011,9,2011-02-26,2011-03-04,2
Ampara,2011,10,2011-03-05,2011-03-11,2
Ampara,2011,11,2011-03-12,2011-03-18,3
Ampara,2011,12,2011-03-19,2011-03-25,0
Ampara,2011,13,2011-03-26,2011-04-01,1
Ampara,2011,14,2011-04-02,2011-04-08,3
Ampara,2011,15,2011-04-09,2011-04-15,0
Ampara,2011,16,2011-04-16,2011-04-22,0
Ampara,2011,17,2011-04-23,2011-04-29,6
Ampara,2011,18,2011-04-30,2011-05-06,3
Ampara,2011,19,2011-05-07,2011-05-13,0
Ampara,2011,20,2011-05-14,2011-05-20,1
Ampara,2011,21,2011-05-21,2011-05-27,3
Ampara,2011,22,2011-05-27,2011-06-03,11
Ampara,2011,23,2011-06-04,2011-06-10,5
Ampara,2011,24,2011-06-11,2011-06-17,5
Ampara,2011,25,2011-06-18,2011-06-24,1
Ampara,2011,26,2011-06-25,2011-07-01,5
Ampara,2011,27,2011-07-02,2011-07-08,2
Ampara,2011,28,2011-07-09,2011-07-15,3
Ampara,2011,29,2011-07-16,2011-07-22,4
Ampara,2011,30,2011-07-23,2011-07-29,6
Ampara,2011,31,2011-07-30,2011-08-05,0
Ampara,2011,32,2011-08-06,2011-08-12,2
Ampara,2011,33,2011-08-13,2011-08-19,2
Ampara,2011,34,2011-08-20,2011-08-26,2
Ampara,2011,35,2011-08-27,2011-09-02,1
Ampara,2011,36,2011-09-02,2011-09-09,18
Ampara,2011,37,2011-09-10,2011-09-16,1
Ampara,2011,38,2011-09-17,2011-09-23,1
Ampara,2011,39,2011-09-24,2011-09-30,3
Ampara,2011,40,2011-10-01,2011-10-07,4
Ampara,2011,41,2011-10-08,2011-10-14,4
Ampara,2011,42,2011-10-15,2011-10-21,6
Ampara,2011,43,2011-10-22,2011-10-28,2
Ampara,2011,44,2011-10-29,2011-11-04,4
Ampara,2011,45,2011-11-05,2011-11-11,0
Ampara,2011,46,2011-11-12,2011-11-19,9
Ampara,2011,47,2011-11-19,2011-11-25,6
Ampara,2011,48,2011-11-29,2011-12-02,8
Ampara,2011,49,2011-12-03,2011-12-09,5
Ampara,2011,50,2011-12-10,2011-12-16,5
Ampara,2011,51,2011-12-17,2011-12-23,13
Ampara,2011,52,2011-12-24,2011-12-30,24
Ampara,2012,1,2011-12-31,2012-01-06,5
Ampara,2012,2,2012-01-07,2012-01-13,12
Ampara,2012,3,2012-01-14,2012-01-20,9
Ampara,2012,4,2012-01-21,2012-01-27,9
Ampara,2012,5,2012-01-28,2012-02-03,9
Ampara,2012,6,2012-02-04,2012-02-10,17
