rule,pr_auc,recall,precision,f2,n_alerts,n_scored,n_outbreaks,prevalence
"M2 production (platt, tau~=0.114)",0.42278363975843314,0.625,0.3424657534246575,0.536480686695279,73,2600,40,0.015384615384615385
M1 forecast > epidemic threshold (k=3.0),0.06269334528480268,0.225,0.5625,0.2556818181818182,16,2600,40,0.015384615384615385
M1 excess score (pred - threshold) [PR-AUC only],0.2800911997442208,0.225,0.5625,0.2556818181818182,16,2600,40,0.015384615384615385
Oracle: actual cases > epidemic threshold,0.30213362354917833,1.0,1.0,1.0,40,2600,40,0.015384615384615385
M1 forecast > fixed 100 cases (naive),0.06269334528480268,0.5,0.07326007326007326,0.23094688221709006,273,2600,40,0.015384615384615385
