split,fold_id,model,variant,smote_applied,n_train,n_train_pos,pr_auc,roc_auc,precision,recall,f1,f2,brier_score,prevalence,n_obs_scored
validation,1,random_forest,baseline_class_weight,False,2573,691,0.33882315776041805,0.9012241689128482,0.41935483870967744,0.4642857142857143,0.44067796610169496,0.45454545454545453,0.04549793695846268,0.021538461538461538,1300
validation,1,random_forest,smotenc_full_no_weight,True,2573,691,0.28261846213991004,0.8693283917340522,0.375,0.42857142857142855,0.39999999999999997,0.41666666666666663,0.046754116828926495,0.021538461538461538,1300
validation,1,random_forest,smotenc_half_no_weight,True,2573,691,0.3273574124702348,0.8799415992812218,0.43478260869565216,0.35714285714285715,0.39215686274509803,0.3703703703703704,0.03465401298252315,0.021538461538461538,1300
validation,1,random_forest,smotenc_half_plus_weight,True,2573,691,0.30124971783980453,0.8813173854447439,0.3939393939393939,0.4642857142857143,0.4262295081967213,0.4482758620689655,0.04829278311097266,0.021538461538461538,1300
validation,1,xgboost,baseline_class_weight,False,2573,691,0.313822230179998,0.9086084905660378,0.32558139534883723,0.5,0.3943661971830986,0.4516129032258065,0.04430346152589879,0.021538461538461538,1300
validation,1,xgboost,smotenc_full_no_weight,True,2573,691,0.27999294935707414,0.8887297843665768,0.3157894736842105,0.42857142857142855,0.36363636363636365,0.39999999999999997,0.03845363578214239,0.021538461538461538,1300
validation,1,xgboost,smotenc_half_no_weight,True,2573,691,0.3013977125084651,0.8933906109613656,0.5333333333333333,0.2857142857142857,0.37209302325581395,0.31496062992125984,0.025678408424914055,0.021538461538461538,1300
validation,1,xgboost,smotenc_half_plus_weight,True,2573,691,0.29956796458176116,0.9039195867026055,0.32432432432432434,0.42857142857142855,0.3692307692307692,0.4026845637583893,0.04231890029447689,0.021538461538461538,1300
validation,2,random_forest,baseline_class_weight,False,3873,719,0.2827317178211369,0.8633539077487696,0.25,0.47368421052631576,0.32727272727272727,0.4017857142857143,0.058739761358750246,0.02923076923076923,1300
validation,2,random_forest,smotenc_full_no_weight,True,3873,719,0.26766676201291223,0.8464842772541497,0.2222222222222222,0.3684210526315789,0.27722772277227725,0.3255813953488372,0.05753290356292181,0.02923076923076923,1300
validation,2,random_forest,smotenc_half_no_weight,True,3873,719,0.26165315983689186,0.8459838185002919,0.375,0.23684210526315788,0.2903225806451613,0.2556818181818182,0.040680518872955436,0.02923076923076923,1300
validation,2,random_forest,smotenc_half_plus_weight,True,3873,719,0.2721514121775226,0.8545333222120277,0.21739130434782608,0.39473684210526316,0.28037383177570097,0.3393665158371041,0.0575237903226932,0.02923076923076923,1300
validation,2,xgboost,baseline_class_weight,False,3873,719,0.29577959059670395,0.8898573692551505,0.2087912087912088,0.5,0.29457364341085274,0.39094650205761317,0.06578234912571229,0.02923076923076923,1300
validation,2,xgboost,smotenc_full_no_weight,True,3873,719,0.2634087312721285,0.8604971223621652,0.234375,0.39473684210526316,0.29411764705882354,0.3472222222222222,0.05483179611743202,0.02923076923076923,1300
validation,2,xgboost,smotenc_half_no_weight,True,3873,719,0.2624129659073367,0.8755525898740513,0.42857142857142855,0.23684210526315788,0.30508474576271183,0.26011560693641617,0.03713928373271922,0.02923076923076923,1300
validation,2,xgboost,smotenc_half_plus_weight,True,3873,719,0.26725271817999197,0.8739886562682458,0.21428571428571427,0.47368421052631576,0.29508196721311475,0.3813559322033898,0.05980178039890337,0.02923076923076923,1300
validation,3,random_forest,baseline_class_weight,False,5173,757,0.1885646049122125,0.8387522461814915,0.2564102564102564,0.35714285714285715,0.29850746268656714,0.3311258278145695,0.04397951916983719,0.021538461538461538,1300
validation,3,random_forest,smotenc_full_no_weight,True,5173,757,0.19606180959652053,0.8156727313566936,0.2765957446808511,0.4642857142857143,0.34666666666666673,0.4088050314465409,0.04751703924339086,0.021538461538461538,1300
validation,3,random_forest,smotenc_half_no_weight,True,5173,757,0.2076845258927232,0.8041891284815813,0.375,0.32142857142857145,0.3461538461538462,0.3308823529411765,0.03132253942507949,0.021538461538461538,1300
validation,3,random_forest,smotenc_half_plus_weight,True,5173,757,0.17938878889419343,0.8089061096136568,0.24390243902439024,0.35714285714285715,0.2898550724637681,0.326797385620915,0.04566808021055283,0.021538461538461538,1300
validation,3,xgboost,baseline_class_weight,False,5173,757,0.28250378290563455,0.8883928571428571,0.23943661971830985,0.6071428571428571,0.3434343434343434,0.46448087431693985,0.056312588809690804,0.021538461538461538,1300
validation,3,xgboost,smotenc_full_no_weight,True,5173,757,0.23500531160963015,0.8603717430368374,0.24615384615384617,0.5714285714285714,0.34408602150537637,0.45197740112994356,0.04648465299964545,0.021538461538461538,1300
validation,3,xgboost,smotenc_half_no_weight,True,5173,757,0.2524634825631631,0.861522911051213,0.3888888888888889,0.5,0.43750000000000006,0.472972972972973,0.030264456333993505,0.021538461538461538,1300
validation,3,xgboost,smotenc_half_plus_weight,True,5173,757,0.24686734206409722,0.8586309523809523,0.24242424242424243,0.5714285714285714,0.3404255319148936,0.449438202247191,0.050638895384725824,0.021538461538461538,1300
validation,4,random_forest,baseline_class_weight,False,6473,785,0.5476486111492535,0.9206353161009032,0.3904761904761905,0.6307692307692307,0.4823529411764706,0.5616438356164383,0.06046436010170202,0.05,1300
validation,4,random_forest,smotenc_full_no_weight,True,6473,785,0.5181523888976487,0.9117035191529118,0.3157894736842105,0.6461538461538462,0.4242424242424242,0.534351145038168,0.06808831138800027,0.05,1300
validation,4,random_forest,smotenc_half_no_weight,True,6473,785,0.5443879162882751,0.9147430706944878,0.5161290322580645,0.49230769230769234,0.5039370078740157,0.4968944099378882,0.04578792888690925,0.05,1300
validation,4,random_forest,smotenc_half_plus_weight,True,6473,785,0.5287917205161082,0.9178822796636562,0.3418803418803419,0.6153846153846154,0.43956043956043955,0.5305039787798409,0.06479779234439927,0.05,1300
validation,4,xgboost,baseline_class_weight,False,6473,785,0.5544407405170312,0.9207848022422921,0.30128205128205127,0.7230769230769231,0.42533936651583715,0.5649038461538461,0.07833510128640513,0.05,1300
validation,4,xgboost,smotenc_full_no_weight,True,6473,785,0.5365185634585585,0.9085892245406415,0.328125,0.6461538461538462,0.4352331606217617,0.5412371134020619,0.070817322268304,0.05,1300
validation,4,xgboost,smotenc_half_no_weight,True,6473,785,0.5378611910571286,0.9144254126440362,0.4647887323943662,0.5076923076923077,0.48529411764705876,0.498489425981873,0.04773911262061767,0.05,1300
validation,4,xgboost,smotenc_half_plus_weight,True,6473,785,0.5403606017487711,0.9139022111491747,0.3028169014084507,0.6615384615384615,0.4154589371980676,0.5348258706467662,0.07303875820930773,0.05,1300
validation,5,random_forest,baseline_class_weight,False,7773,850,0.44231824912716283,0.937246963562753,0.36666666666666664,0.55,0.43999999999999995,0.5,0.04702646275521279,0.03137254901960784,1275
