bin,n,mean_p0,mean_point,mean_p1,observed_rate,observed_within_band,split
"(6.999999999999997e-05, 0.00338]",1938,0.0009454897441064884,0.0025476281343794938,0.0025516340000651836,0.0041279669762641896,False,validation
"(0.00338, 0.00438]",2255,0.002747851393647566,0.0038892516802100058,0.0038937180063827164,0.004878048780487805,False,validation
"(0.00438, 0.00524]",1670,0.003738563592676701,0.004738578812119448,0.00474335214709323,0.0023952095808383233,False,validation
"(0.00524, 0.00784]",1887,0.00437538494686534,0.006113445157351561,0.006124677452544566,0.001589825119236884,False,validation
"(0.00784, 0.0122]",1938,0.007197208864352619,0.00965919311127244,0.009683082915596174,0.007739938080495356,True,validation
"(0.0122, 0.0178]",1953,0.012657354822950214,0.015251436278181337,0.015291550132446204,0.012800819252432157,True,validation
"(0.0178, 0.136]",1921,0.04965979557420135,0.05792630010125953,0.05851673917554913,0.05674128058302967,True,validation
"(0.136, 0.981]",1938,0.42930929852466454,0.4471830272731711,0.46723824249544066,0.5098039215686274,False,validation
