architecture,pr_auc,roc_auc,brier_skill_score,alert_recall_at_0.14,alert_precision_at_0.14,n_obs_scored
isotonic,0.4116575828696608,0.8822900390625,0.2315237751704754,0.6,0.3380281690140845,2600
stacked_xgboost,0.4652375646692367,0.916025390625,-0.06735347612360898,0.775,0.19375,2600
logit_residual,0.35200719821131354,0.7065527343750001,0.07258781885685806,0.175,0.6363636363636364,2600
