rule,tau,tau_ramp,rho,precision,recall,f1,f2,n_alerts,n_obs_scored
ramp,0.14,0.05,1.2,0.4648598989435002,0.8701633705932932,0.6059880239520958,0.7409576804803045,2177,15500
ramp,0.14,0.05,1.5,0.4767552182163188,0.8641444539982803,0.6144909813512687,0.7433431952662722,2108,15500
ramp,0.14,0.05,2.0,0.4899657366617719,0.8607050730868444,0.6244541484716157,0.7475728155339807,2043,15500
ramp,0.14,0.05,2.5,0.4975,0.8555460017196904,0.6291495415744547,0.74789536981359,2000,15500
ramp,0.14,0.05,3.0,0.5015151515151515,0.8538263112639725,0.6318803690741329,0.7486429433051869,1980,15500
ramp,0.14,0.05,4.0,0.5077081192189106,0.8495270851246776,0.6355741395947251,0.7487117308275234,1946,15500
ramp,0.14,0.060000000000000005,1.2,0.46982358402971214,0.8701633705932932,0.6101899306602352,0.7434616514839847,2154,15500
ramp,0.14,0.060000000000000005,1.5,0.4806312769010043,0.8641444539982803,0.617701290719115,0.7452172623461367,2091,15500
ramp,0.14,0.060000000000000005,2.0,0.49286065977351057,0.8607050730868444,0.6268002504696306,0.7489151578632351,2031,15500
ramp,0.14,0.060000000000000005,2.5,0.4989969909729188,0.8555460017196904,0.630345264491606,0.7485705687631657,1994,15500
ramp,0.14,0.060000000000000005,3.0,0.5027848101265823,0.8538263112639725,0.632887189292543,0.7492077863286555,1975,15500
ramp,0.14,0.060000000000000005,4.0,0.5087538619979403,0.8495270851246776,0.6363929146537842,0.7491659084015772,1942,15500
ramp,0.14,0.07,1.2,0.482560917343526,0.8684436801375752,0.6203931203931204,0.748702742772424,2093,15500
ramp,0.14,0.07,1.5,0.49070450097847357,0.8624247635425624,0.6255067040848145,0.7489545997610513,2044,15500
ramp,0.14,0.07,2.0,0.49925112331502747,0.8598452278589854,0.631711939355654,0.7513148009015778,2003,15500
ramp,0.14,0.07,2.5,0.5048198883815322,0.8555460017196904,0.6349712827058073,0.7511701645779858,1971,15500
ramp,0.14,0.07,3.0,0.5066326530612245,0.8538263112639725,0.6359269932756965,0.7509074410163339,1960,15500
ramp,0.14,0.07,4.0,0.5111226073460942,0.8495270851246776,0.6382428940568475,0.7501898253606682,1933,15500
ramp,0.14,0.08000000000000002,1.2,0.48596321393998065,0.8632846087704213,0.6218643542892537,0.7472462042274487,2066,15500
ramp,0.14,0.08000000000000002,1.5,0.49333333333333335,0.8589853826311264,0.6267252195734002,0.7480904597873296,2025,15500
ramp,0.14,0.08000000000000002,2.0,0.5005020080321285,0.8572656921754084,0.6320126782884311,0.7503010234798314,1992,15500
ramp,0.14,0.08000000000000002,2.5,0.5058583800305655,0.8538263112639725,0.63531669865643,0.7505668934240363,1963,15500
ramp,0.14,0.08000000000000002,3.0,0.5076765609007164,0.8529664660361135,0.6365094642284247,0.7508325764456555,1954,15500
ramp,0.14,0.08000000000000002,4.0,0.5124481327800829,0.8495270851246776,0.639275315431899,0.7507598784194528,1928,15500
ramp,0.14,0.09000000000000001,1.2,0.4936086529006883,0.8632846087704213,0.6280888332812011,0.7508226144181872,2034,15500
ramp,0.14,0.09000000000000001,1.5,0.499000999000999,0.8589853826311264,0.6312796208530806,0.7506762849413887,2002,15500
ramp,0.14,0.09000000000000001,2.0,0.5050658561296859,0.8572656921754084,0.6356391456805865,0.7523392695442197,1974,15500
ramp,0.14,0.09000000000000001,2.5,0.507928388746803,0.8538263112639725,0.6369467607440666,0.7514757075828665,1955,15500
ramp,0.14,0.09000000000000001,3.0,0.5095017976373909,0.8529664660361135,0.6379421221864953,0.7516290347022276,1947,15500
ramp,0.14,0.09000000000000001,4.0,0.5135135135135135,0.8495270851246776,0.6401036605118238,0.7512165450121654,1924,15500
ramp,0.14,0.1,1.2,0.5007526342197692,0.8581255374032674,0.632446134347275,0.7509405568096313,1993,15500
ramp,0.14,0.1,1.5,0.5060913705583756,0.8572656921754084,0.6364506862432173,0.7527937179099968,1970,15500
ramp,0.14,0.1,2.0,0.5094726062467998,0.8555460017196904,0.6386392811296535,0.753217259651779,1953,15500
ramp,0.14,0.1,2.5,0.511340206185567,0.8529664660361135,0.6393812439574604,0.7524271844660194,1940,15500
ramp,0.14,0.1,3.0,0.5121447028423772,0.8521066208082545,0.6397675919948353,0.7522392591468043,1935,15500
ramp,0.14,0.1,4.0,0.5151356993736952,0.8486672398968186,0.6411172458590452,0.7513702801461632,1916,15500
ramp,0.14,0.11000000000000001,1.2,0.5063873275421563,0.8521066208082545,0.6352564102564102,0.7497352095627174,1957,15500
ramp,0.14,0.11000000000000001,1.5,0.5092497430626927,0.8521066208082545,0.6375040205853972,0.7509851470142467,1946,15500
ramp,0.14,0.11000000000000001,2.0,0.512157268494568,0.8512467755803955,0.6395348837209303,0.7517084282460136,1933,15500
ramp,0.14,0.11000000000000001,2.5,0.5137805512220489,0.8495270851246776,0.6403110823071938,0.7513307984790875,1923,15500
ramp,0.14,0.11000000000000001,3.0,0.5145833333333333,0.8495270851246776,0.6409341550437885,0.7516737674984784,1920,15500
ramp,0.14,0.11000000000000001,4.0,0.5170424750917672,0.8478073946689596,0.6423452768729642,0.7516389693550846,1907,15500
ramp,0.14,0.12000000000000001,1.2,0.5100567302733368,0.8503869303525365,0.6376531270148292,0.750265513579123,1939,15500
ramp,0.14,0.12000000000000001,1.5,0.5116399379203311,0.8503869303525365,0.638888888888889,0.750949126803341,1933,15500
ramp,0.14,0.12000000000000001,2.0,0.5135135135135135,0.8495270851246776,0.6401036605118238,0.7512165450121654,1924,15500
ramp,0.14,0.12000000000000001,2.5,0.5151199165797706,0.8495270851246776,0.6413502109704641,0.7519025875190259,1918,15500
ramp,0.14,0.12000000000000001,3.0,0.5156576200417536,0.8495270851246776,0.6417668074050016,0.7521315468940315,1916,15500
ramp,0.14,0.12000000000000001,4.0,0.5173137460650578,0.8478073946689596,0.6425545780384491,0.7517535834095762,1906,15500
ramp,0.14,0.13,1.2,0.517875920084122,0.8469475494411006,0.6427406199021207,0.7514494964906926,1902,15500
ramp,0.14,0.13,1.5,0.517875920084122,0.8469475494411006,0.6427406199021207,0.7514494964906926,1902,15500
ramp,0.14,0.13,2.0,0.517875920084122,0.8469475494411006,0.6427406199021207,0.7514494964906926,1902,15500
ramp,0.14,0.13,2.5,0.517875920084122,0.8469475494411006,0.6427406199021207,0.7514494964906926,1902,15500
ramp,0.14,0.13,3.0,0.517875920084122,0.8469475494411006,0.6427406199021207,0.7514494964906926,1902,15500
ramp,0.14,0.13,4.0,0.517875920084122,0.8469475494411006,0.6427406199021207,0.7514494964906926,1902,15500
