fold_id,pooled_brier_skill_score,per_district_median_brier_skill_score,per_district_mean_brier_skill_score,n_districts_scored
2,0.050670708693673516,-1.4401616820509875,-1.3319012710835894,9
3,-0.32632612138192685,-0.539844570740968,-0.774830627278602,3
4,0.08860112357264782,-0.15120615934753834,-0.19986767212056594,10
5,-0.08196828024337788,-0.4687925923712317,-0.5651635176925865,11
6,-0.2801004686916051,-0.22438426650192778,-0.33575560685166245,13
7,0.017009124195179193,-0.18865745233763154,-0.3713718725143187,22
8,-0.134372013712712,-1.38029632258276,-1.7302086689474858,15
9,0.37878851732926366,0.18503722344779966,-0.09744249771725219,16
10,0.25753085720498536,0.15968804621658367,0.1495827893434931,12
11,-0.3951501508361219,-0.45685087949571734,-0.6096224345019088,17
12,-2.0028917889572373,-1.1178222444006192,-1.1178222444006192,2
13,-2.617810374725338,-0.8469471396567834,-1.6615666392852095,4
aggregate,-0.10817014697804495,-0.46282173593347453,-0.7204975219208589,134
