District,n_rows,n_defined,pct_undefined,outbreak_pct,candidate
Ampara,1018,909,10.707269155206287,11.331133113311331,global_k_3.0
Anuradhapura,1018,909,10.707269155206287,6.050605060506051,global_k_3.0
Badulla,1018,909,10.707269155206287,8.690869086908691,global_k_3.0
Batticaloa,1018,909,10.707269155206287,12.651265126512651,global_k_3.0
Colombo,1018,909,10.707269155206287,10.45104510451045,global_k_3.0
Galle,1018,909,10.707269155206287,12.871287128712872,global_k_3.0
Gampaha,1018,909,10.707269155206287,8.030803080308031,global_k_3.0
Hambantota,1018,909,10.707269155206287,9.570957095709572,global_k_3.0
Jaffna,1018,909,10.707269155206287,10.231023102310232,global_k_3.0
Kalutara,1018,909,10.707269155206287,10.231023102310232,global_k_3.0
Kandy,1018,909,10.707269155206287,11.11111111111111,global_k_3.0
Kegalle,1018,909,10.707269155206287,6.820682068206821,global_k_3.0
Kilinochchi,1018,908,10.805500982318271,10.682819383259911,global_k_3.0
Kurunegala,1018,909,10.707269155206287,6.16061606160616,global_k_3.0
Mannar,1018,909,10.707269155206287,5.83058305830583,global_k_3.0
Matale,1018,909,10.707269155206287,8.14081408140814,global_k_3.0
Matara,1018,909,10.707269155206287,9.460946094609461,global_k_3.0
Monaragala,1018,909,10.707269155206287,9.13091309130913,global_k_3.0
Mullaitivu,1018,908,10.805500982318271,9.911894273127754,global_k_3.0
Nuwara Eliya,1018,909,10.707269155206287,6.6006600660066,global_k_3.0
Polonnaruwa,1018,909,10.707269155206287,7.700770077007702,global_k_3.0
Puttalam,1018,909,10.707269155206287,6.820682068206821,global_k_3.0
Ratnapura,1018,909,10.707269155206287,5.9405940594059405,global_k_3.0
Trincomalee,1018,909,10.707269155206287,7.04070407040704,global_k_3.0
Vavuniya,1018,909,10.707269155206287,2.8602860286028604,global_k_3.0
Ampara,1018,909,10.707269155206287,9.24092409240924,adaptive_k
Anuradhapura,1018,909,10.707269155206287,7.81078107810781,adaptive_k
Badulla,1018,909,10.707269155206287,8.690869086908691,adaptive_k
Batticaloa,1018,909,10.707269155206287,9.350935093509351,adaptive_k
Colombo,1018,909,10.707269155206287,7.700770077007702,adaptive_k
Galle,1018,909,10.707269155206287,8.91089108910891,adaptive_k
Gampaha,1018,909,10.707269155206287,9.350935093509351,adaptive_k
Hambantota,1018,909,10.707269155206287,9.570957095709572,adaptive_k
Jaffna,1018,909,10.707269155206287,8.14081408140814,adaptive_k
Kalutara,1018,909,10.707269155206287,8.25082508250825,adaptive_k
Kandy,1018,909,10.707269155206287,9.79097909790979,adaptive_k
Kegalle,1018,909,10.707269155206287,8.14081408140814,adaptive_k
Kilinochchi,1018,908,10.805500982318271,9.251101321585903,adaptive_k
Kurunegala,1018,909,10.707269155206287,9.900990099009901,adaptive_k
Mannar,1018,909,10.707269155206287,7.37073707370737,adaptive_k
Matale,1018,909,10.707269155206287,9.24092409240924,adaptive_k
Matara,1018,909,10.707269155206287,9.460946094609461,adaptive_k
Monaragala,1018,909,10.707269155206287,9.13091309130913,adaptive_k
Mullaitivu,1018,908,10.805500982318271,9.911894273127754,adaptive_k
Nuwara Eliya,1018,909,10.707269155206287,8.14081408140814,adaptive_k
Polonnaruwa,1018,909,10.707269155206287,9.570957095709572,adaptive_k
Puttalam,1018,909,10.707269155206287,9.350935093509351,adaptive_k
Ratnapura,1018,909,10.707269155206287,9.350935093509351,adaptive_k
Trincomalee,1018,909,10.707269155206287,8.14081408140814,adaptive_k
Vavuniya,1018,909,10.707269155206287,3.6303630363036308,adaptive_k
