architecture,pr_auc,roc_auc,brier_skill_score,alert_recall_at_0.14,alert_precision_at_0.14,n_obs_scored,pipeline
isotonic,0.4116575828696608,0.8822900390625,0.2315237751704754,0.6,0.3380281690140845,2600,production
isotonic,0.4275728570164014,0.8963525390624999,0.28411119605191726,0.55,0.4,2600,symmetric_m2_008
platt,0.4622950224370251,0.9048535156249999,0.2782838144002826,0.575,0.38333333333333336,2600,symmetric_m2_008
stacked_xgboost,0.42429534905103816,0.89818359375,-0.22109915433188654,0.8,0.17486338797814208,2600,symmetric_m2_008
symmetric_stage1_raw,0.4622950224370251,0.9048535156249999,-0.5117758999601425,0.825,0.08661417322834646,2600,symmetric_m2_008
