candidate,parameter,k,Number_of_Cases,historical_mean,historical_sd,threshold,label
exact_week,-,1.5,277.0,80.94444444444444,87.7298475080793,212.53921570656343,1.0
exact_week,-,2.0,277.0,80.94444444444444,87.7298475080793,256.40413946060306,1.0
exact_week,-,2.5,277.0,80.94444444444444,87.7298475080793,300.2690632146427,0.0
windowed,1,1.5,277.0,98.57407407407408,146.09387029511444,317.7148795167457,0.0
windowed,1,2.0,277.0,98.57407407407408,146.09387029511444,390.76181466430296,0.0
windowed,1,2.5,277.0,98.57407407407408,146.09387029511444,463.8087498118602,0.0
windowed,2,1.5,277.0,105.03333333333333,144.30456633512514,321.49018283602106,0.0
windowed,2,2.0,277.0,105.03333333333333,144.30456633512514,393.64246600358365,0.0
windowed,2,2.5,277.0,105.03333333333333,144.30456633512514,465.79474917114624,0.0
windowed,3,1.5,277.0,111.34920634920636,145.44042450214823,329.5098431024287,0.0
windowed,3,2.0,277.0,111.34920634920636,145.44042450214823,402.23005535350285,0.0
windowed,3,2.5,277.0,111.34920634920636,145.44042450214823,474.950267604577,0.0
harmonic,1,1.5,277.0,165.915113147745,208.96782697115995,479.3668536044849,0.0
harmonic,1,2.0,277.0,165.915113147745,208.96782697115995,583.8507670900649,0.0
harmonic,1,2.5,277.0,165.915113147745,208.96782697115995,688.3346805756448,0.0
harmonic,2,1.5,277.0,90.75839953943583,202.08711001368624,393.88906455996516,0.0
harmonic,2,2.0,277.0,90.75839953943583,202.08711001368624,494.9326195668083,0.0
harmonic,2,2.5,277.0,90.75839953943583,202.08711001368624,595.9761745736514,0.0
