threshold,precision,recall,f1,f2,f0_5,accuracy
0.01,0.1932367149758454,0.9630266552020637,0.3218853283517747,0.5359877488514547,0.23000780383620156,0.6955483870967742
0.02,0.3330266789328427,0.9337919174548581,0.4909584086799277,0.6862125616074815,0.3822059548110087,0.8547096774193549
0.03,0.3513776337115073,0.9320722269991402,0.5103578154425612,0.7005299211580717,0.40139228319632675,0.8658064516129033
0.04,0.36287061994609165,0.9260533104041273,0.5214233841684822,0.7066929133858267,0.4131185270425777,0.8724516129032258
0.05,0.3892149669845928,0.9122957867583835,0.5456415530984828,0.719029547302792,0.43962873953758175,0.886
0.060000000000000005,0.3975225225225225,0.9105760963026656,0.553436111836948,0.7237561509021323,0.4480074456383789,0.8897419354838709
0.06999999999999999,0.42209631728045327,0.8968185726569218,0.5740231150247661,0.7321353362347326,0.4720738662080203,0.9001290322580645
0.08,0.4360613810741688,0.8796216680997421,0.5830721003134797,0.7309231208916834,0.4849720299611264,0.9056129032258065
0.09,0.45085940943146763,0.8796216680997421,0.5961538461538461,0.739055049848288,0.4995605039554645,0.9105806451612903
0.09999999999999999,0.47149532710280373,0.8675838349097162,0.6109597335755373,0.7427856301531212,0.5188727758922143,0.9170967741935484
0.11,0.48685491723466406,0.8598452278589854,0.6216972334473111,0.7456009543692216,0.5331058748267405,0.921483870967742
0.12,0.49429846306395636,0.8572656921754084,0.6270440251572327,0.7474883790673263,0.5400281659625176,0.923483870967742
0.13,0.5170603674540682,0.8469475494411006,0.6421121251629727,0.7511056885770931,0.5607423431629284,0.9291612903225807
0.14,0.517875920084122,0.8469475494411006,0.6427406199021207,0.7514494964906926,0.5615095200091209,0.9293548387096774
0.15000000000000002,0.547093023255814,0.8091143594153053,0.6527922303156435,0.7383866917765223,0.5849807285838617,0.9354193548387096
0.16,0.547093023255814,0.8091143594153053,0.6527922303156435,0.7383866917765223,0.5849807285838617,0.9354193548387096
0.17,0.5634395670475045,0.8056749785038693,0.6631280962491154,0.7418844022169437,0.599488163787588,0.9385806451612904
