fold_id,baseline_pr_auc,carryforward_pr_auc,baseline_median,carryforward_median
1,0.31624070455082876,0.32151457958599466,0.39172864012625086,0.38654691548214515
2,0.28826386738774623,0.28051461049862064,0.39172864012625086,0.38654691548214515
3,0.21429125775366537,0.2205127230052,0.39172864012625086,0.38654691548214515
4,0.5859751018001076,0.5851461961648807,0.39172864012625086,0.38654691548214515
5,0.4579126397421498,0.45248708670907356,0.39172864012625086,0.38654691548214515
6,0.39172864012625086,0.38654691548214515,0.39172864012625086,0.38654691548214515
7,0.9108628380139586,0.9103107717745867,0.39172864012625086,0.38654691548214515
8,0.7499926725027981,0.7462890832174427,0.39172864012625086,0.38654691548214515
9,0.8267576825517895,0.8262373914676783,0.39172864012625086,0.38654691548214515
10,0.7064466816926399,0.7147591687625912,0.39172864012625086,0.38654691548214515
11,0.35766521701735776,0.35674129367441765,0.39172864012625086,0.38654691548214515
12,0.23059500285807963,0.22428096625979738,0.39172864012625086,0.38654691548214515
13,0.13030998124139315,0.14525067833973304,0.39172864012625086,0.38654691548214515
