District,Year,Week,Week_Start_Date,horizon_step,sarima_prediction,predicted_residual,final_prediction,feature_completeness_pct,residual_lag_1_is_recursive,residual_lag_2_is_recursive,n_sarima_vintages,evidence_tier
Galle,2026,33,2026-08-10,8,295.02993723402324,129.35780334472656,424.4,48.6,True,True,1,operational_forecast
Gampaha,2026,26,2026-06-22,1,982.5691379367245,169.06138610839844,1151.6,77.1,False,False,1,operational_nowcast
Gampaha,2026,27,2026-06-29,2,1226.908844510018,290.7095031738281,1517.6,74.3,True,False,1,operational_forecast
Gampaha,2026,28,2026-07-06,3,1135.0134421696523,246.5117645263672,1381.5,65.7,True,True,1,operational_forecast
Gampaha,2026,29,2026-07-13,4,1188.1107960322418,247.10963439941406,1435.2,65.7,True,True,1,operational_forecast
Gampaha,2026,30,2026-07-20,5,1164.6122096627619,237.59303283691406,1402.2,57.1,True,True,1,operational_forecast
Gampaha,2026,31,2026-07-27,6,1176.8225913160732,222.3689422607422,1399.2,54.3,True,True,1,operational_forecast
Gampaha,2026,32,2026-08-03,7,1171.0740421803166,206.06741333007812,1377.1,51.4,True,True,1,operational_forecast
Gampaha,2026,33,2026-08-10,8,1173.9476038227365,157.08230590820312,1331.0,48.6,True,True,1,operational_forecast
Hambantota,2026,26,2026-06-22,1,144.93092427385088,147.50326538085938,292.4,85.7,False,False,1,operational_nowcast
Hambantota,2026,27,2026-06-29,2,144.93092427385088,143.4167938232422,288.3,80.0,True,False,1,operational_forecast
Hambantota,2026,28,2026-07-06,3,144.93092427385088,133.73289489746094,278.7,71.4,True,True,1,operational_forecast
Hambantota,2026,29,2026-07-13,4,144.93092427385088,128.86431884765625,273.8,62.9,True,True,1,operational_forecast
Hambantota,2026,30,2026-07-20,5,144.93092427385088,122.78587341308594,267.7,54.3,True,True,1,operational_forecast
Hambantota,2026,31,2026-07-27,6,144.93092427385088,117.24877166748047,262.2,51.4,True,True,1,operational_forecast
Hambantota,2026,32,2026-08-03,7,144.93092427385088,116.76810455322266,261.7,48.6,True,True,1,operational_forecast
Hambantota,2026,33,2026-08-10,8,144.93092427385088,109.43699645996094,254.4,45.7,True,True,1,operational_forecast
Jaffna,2026,26,2026-06-22,1,22.239389375400265,3.8134238719940186,26.1,88.6,False,False,1,operational_nowcast
Jaffna,2026,27,2026-06-29,2,22.81562032102433,0.9678903222084045,23.8,82.9,True,False,1,operational_forecast
Jaffna,2026,28,2026-07-06,3,23.026525905351193,-0.10954949259757996,22.9,74.3,True,True,1,operational_forecast
Jaffna,2026,29,2026-07-13,4,22.98260890505517,0.46690258383750916,23.4,65.7,True,True,1,operational_forecast
Jaffna,2026,30,2026-07-20,5,25.162537188193077,-0.3435767889022827,24.8,57.1,True,True,1,operational_forecast
Jaffna,2026,31,2026-07-27,6,25.756302417320953,-3.6903960704803467,22.1,54.3,True,True,1,operational_forecast
Jaffna,2026,32,2026-08-03,7,26.691348711950628,-4.803379058837891,21.9,51.4,True,True,1,operational_forecast
Jaffna,2026,33,2026-08-10,8,24.78381909446574,-9.138318061828613,15.6,48.6,True,True,1,operational_forecast
Kalutara,2026,26,2026-06-22,1,190.6573616516256,194.83531188964844,385.5,77.1,False,False,1,operational_nowcast
Kalutara,2026,27,2026-06-29,2,213.05442643405075,278.22747802734375,491.3,74.3,True,False,1,operational_forecast
Kalutara,2026,28,2026-07-06,3,168.7186190128193,226.64511108398438,395.4,65.7,True,True,1,operational_forecast
Kalutara,2026,29,2026-07-13,4,155.0668724363879,214.13674926757812,369.2,65.7,True,True,1,operational_forecast
Kalutara,2026,30,2026-07-20,5,139.66389193184733,181.482421875,321.1,57.1,True,True,1,operational_forecast
Kalutara,2026,31,2026-07-27,6,129.6791434668274,163.94224548339844,293.6,54.3,True,True,1,operational_forecast
Kalutara,2026,32,2026-08-03,7,121.5518388069305,149.09478759765625,270.6,51.4,True,True,1,operational_forecast
Kalutara,2026,33,2026-08-10,8,115.41185342231039,131.93455505371094,247.3,48.6,True,True,1,operational_forecast
Kandy,2026,26,2026-06-22,1,222.40840961435046,153.7781219482422,376.2,77.1,False,False,1,operational_nowcast
Kandy,2026,27,2026-06-29,2,222.40840961435046,184.07284545898438,406.5,74.3,True,False,1,operational_forecast
Kandy,2026,28,2026-07-06,3,222.40840961435046,163.08843994140625,385.5,65.7,True,True,1,operational_forecast
Kandy,2026,29,2026-07-13,4,222.40840961435046,164.6251983642578,387.0,65.7,True,True,1,operational_forecast
Kandy,2026,30,2026-07-20,5,222.40840961435046,157.12330627441406,379.5,57.1,True,True,1,operational_forecast
Kandy,2026,31,2026-07-27,6,222.40840961435046,150.83181762695312,373.2,54.3,True,True,1,operational_forecast
Kandy,2026,32,2026-08-03,7,222.40840961435046,150.36984252929688,372.8,51.4,True,True,1,operational_forecast
Kandy,2026,33,2026-08-10,8,222.40840961435046,148.68478393554688,371.1,48.6,True,True,1,operational_forecast
Kegalle,2026,26,2026-06-22,1,104.77810198044156,74.58391571044922,179.4,85.7,False,False,1,operational_nowcast
Kegalle,2026,27,2026-06-29,2,114.63316162161783,90.44182586669922,205.1,80.0,True,False,1,operational_forecast
Kegalle,2026,28,2026-07-06,3,114.63316162161783,75.01079559326172,189.6,71.4,True,True,1,operational_forecast
Kegalle,2026,29,2026-07-13,4,114.63316162161783,69.7384262084961,184.4,62.9,True,True,1,operational_forecast
Kegalle,2026,30,2026-07-20,5,114.63316162161783,54.7396354675293,169.4,54.3,True,True,1,operational_forecast
Kegalle,2026,31,2026-07-27,6,114.63316162161783,37.779266357421875,152.4,51.4,True,True,1,operational_forecast
Kegalle,2026,32,2026-08-03,7,114.63316162161783,24.904216766357422,139.5,48.6,True,True,1,operational_forecast
Kegalle,2026,33,2026-08-10,8,114.63316162161783,7.1371636390686035,121.8,45.7,True,True,1,operational_forecast
Kilinochchi,2026,26,2026-06-22,1,11.226891173878924,5.781344413757324,17.0,85.7,False,False,1,operational_nowcast
Kilinochchi,2026,27,2026-06-29,2,11.633390206852617,-0.04786229878664017,11.6,80.0,True,False,1,operational_forecast
Kilinochchi,2026,28,2026-07-06,3,10.562037710546235,-4.320480823516846,6.2,71.4,True,True,1,operational_forecast
Kilinochchi,2026,29,2026-07-13,4,11.929975798428309,-3.509918212890625,8.4,62.9,True,True,1,operational_forecast
Kilinochchi,2026,30,2026-07-20,5,11.226891173878924,-4.543550491333008,6.7,54.3,True,True,1,operational_forecast
Kilinochchi,2026,31,2026-07-27,6,10.56203771054624,-6.621667861938477,3.9,51.4,True,True,1,operational_forecast
Kilinochchi,2026,32,2026-08-03,7,10.56203771054624,-8.115126609802246,2.4,48.6,True,True,1,operational_forecast
Kilinochchi,2026,33,2026-08-10,8,11.633390206852622,-13.008487701416016,0.0,45.7,True,True,1,operational_forecast
Kurunegala,2026,26,2026-06-22,1,231.9323348356142,213.9888458251953,445.9,85.7,False,False,1,operational_nowcast
Kurunegala,2026,27,2026-06-29,2,229.4786670217622,182.74639892578125,412.2,80.0,True,False,1,operational_forecast
Kurunegala,2026,28,2026-07-06,3,229.89811147344525,176.26156616210938,406.2,71.4,True,True,1,operational_forecast
Kurunegala,2026,29,2026-07-13,4,229.826039438229,178.79177856445312,408.6,62.9,True,True,1,operational_forecast
Kurunegala,2026,30,2026-07-20,5,229.83841246607744,169.9886932373047,399.8,54.3,True,True,1,operational_forecast
Kurunegala,2026,31,2026-07-27,6,229.83628799419108,163.36337280273438,393.2,51.4,True,True,1,operational_forecast
Kurunegala,2026,32,2026-08-03,7,229.8366527604759,148.50112915039062,378.3,48.6,True,True,1,operational_forecast
Kurunegala,2026,33,2026-08-10,8,229.836590130776,131.3616485595703,361.2,45.7,True,True,1,operational_forecast
Mannar,2026,26,2026-06-22,1,0.0,6.712965488433838,6.7,85.7,False,False,1,operational_nowcast
Mannar,2026,27,2026-06-29,2,0.21194894934581912,1.700255036354065,1.9,80.0,True,False,1,operational_forecast
Mannar,2026,28,2026-07-06,3,0.10597447467290956,-1.6823147535324097,0.0,71.4,True,True,1,operational_forecast
Mannar,2026,29,2026-07-13,4,0.2119489493458191,-1.027862787246704,0.0,62.9,True,True,1,operational_forecast
Mannar,2026,30,2026-07-20,5,0.42389789869163824,-1.9960253238677979,0.0,54.3,True,True,1,operational_forecast
Mannar,2026,31,2026-07-27,6,0.21194894934581912,-3.8484549522399902,0.0,51.4,True,True,1,operational_forecast
Mannar,2026,32,2026-08-03,7,0.3179234240187287,-4.277639389038086,0.0,48.6,True,True,1,operational_forecast
Mannar,2026,33,2026-08-10,8,0.10597447467290956,-7.801608085632324,0.0,45.7,True,True,1,operational_forecast
Matale,2026,26,2026-06-22,1,64.45716072463908,173.94737243652344,238.4,88.6,False,False,1,operational_nowcast
Matale,2026,27,2026-06-29,2,83.41578001747355,142.3834686279297,225.8,82.9,True,False,1,operational_forecast
Matale,2026,28,2026-07-06,3,66.10217152177557,136.8235626220703,202.9,74.3,True,True,1,operational_forecast
Matale,2026,29,2026-07-13,4,81.5460108852198,126.6931381225586,208.2,65.7,True,True,1,operational_forecast
Matale,2026,30,2026-07-20,5,67.47229743805569,116.06070709228516,183.5,57.1,True,True,1,operational_forecast
Matale,2026,31,2026-07-27,6,80.0539831205241,107.65658569335938,187.7,54.3,True,True,1,operational_forecast
Matale,2026,32,2026-08-03,7,68.60871550206247,90.79287719726562,159.4,51.4,True,True,1,operational_forecast
Matale,2026,33,2026-08-10,8,78.85888089085805,66.48454284667969,145.3,48.6,True,True,1,operational_forecast
Matara,2026,26,2026-06-22,1,127.5897294183022,214.56219482421875,342.2,77.1,False,False,1,operational_nowcast
Matara,2026,27,2026-06-29,2,177.3823074280353,197.95745849609375,375.3,74.3,True,False,1,operational_forecast
Matara,2026,28,2026-07-06,3,144.79586007484724,161.0206298828125,305.8,65.7,True,True,1,operational_forecast
Matara,2026,29,2026-07-13,4,173.66309575074908,159.7178955078125,333.4,65.7,True,True,1,operational_forecast
Matara,2026,30,2026-07-20,5,145.8630830957766,153.92750549316406,299.8,57.1,True,True,1,operational_forecast
Matara,2026,31,2026-07-27,6,172.72912167089348,147.511962890625,320.2,54.3,True,True,1,operational_forecast
Matara,2026,32,2026-08-03,7,146.5962431525958,131.98159790039062,278.6,51.4,True,True,1,operational_forecast
Matara,2026,33,2026-08-10,8,171.89655241216232,114.82921600341797,286.7,48.6,True,True,1,operational_forecast
Monaragala,2026,26,2026-06-22,1,46.321124518015345,54.35105514526367,100.7,85.7,False,False,1,operational_nowcast
Monaragala,2026,27,2026-06-29,2,39.362602004008,46.11368942260742,85.5,80.0,True,False,1,operational_forecast
Monaragala,2026,28,2026-07-06,3,41.77717857344109,38.565616607666016,80.3,71.4,True,True,1,operational_forecast
Monaragala,2026,29,2026-07-13,4,42.0696455016113,35.08376693725586,77.2,62.9,True,True,1,operational_forecast
Monaragala,2026,30,2026-07-20,5,42.76710968011182,25.100561141967773,67.9,54.3,True,True,1,operational_forecast
Monaragala,2026,31,2026-07-27,6,41.78800808858996,15.38443660736084,57.2,51.4,True,True,1,operational_forecast
Monaragala,2026,32,2026-08-03,7,40.39096787718042,6.442959308624268,46.8,48.6,True,True,1,operational_forecast
Monaragala,2026,33,2026-08-10,8,41.95779668313953,-3.3276753425598145,38.6,45.7,True,True,1,operational_forecast
Mullaitivu,2026,26,2026-06-22,1,2.4845136203562372,0.8368341326713562,3.3,85.7,False,False,1,operational_nowcast
Mullaitivu,2026,27,2026-06-29,2,2.4845136203562372,-1.2299602031707764,1.3,80.0,True,False,1,operational_forecast
Mullaitivu,2026,28,2026-07-06,3,2.4845136203562372,-2.8728954792022705,0.0,71.4,True,True,1,operational_forecast
Mullaitivu,2026,29,2026-07-13,4,2.4845136203562372,-3.0437960624694824,0.0,62.9,True,True,1,operational_forecast
Mullaitivu,2026,30,2026-07-20,5,2.4845136203562372,-3.8795526027679443,0.0,54.3,True,True,1,operational_forecast
Mullaitivu,2026,31,2026-07-27,6,2.4845136203562372,-5.386654376983643,0.0,51.4,True,True,1,operational_forecast
Mullaitivu,2026,32,2026-08-03,7,2.4845136203562372,-6.299954891204834,0.0,48.6,True,True,1,operational_forecast
Mullaitivu,2026,33,2026-08-10,8,2.4845136203562372,-8.212445259094238,0.0,45.7,True,True,1,operational_forecast
Nuwara Eliya,2026,26,2026-06-22,1,36.94849415879897,62.45582580566406,99.4,85.7,False,False,1,operational_nowcast
Nuwara Eliya,2026,27,2026-06-29,2,38.10178369564156,52.07678985595703,90.2,80.0,True,False,1,operational_forecast
Nuwara Eliya,2026,28,2026-07-06,3,38.10178369564156,49.844276428222656,87.9,71.4,True,True,1,operational_forecast
Nuwara Eliya,2026,29,2026-07-13,4,38.10178369564156,45.12803649902344,83.2,62.9,True,True,1,operational_forecast
Nuwara Eliya,2026,30,2026-07-20,5,38.10178369564156,34.35696029663086,72.5,54.3,True,True,1,operational_forecast
Nuwara Eliya,2026,31,2026-07-27,6,38.10178369564156,25.11794090270996,63.2,51.4,True,True,1,operational_forecast
Nuwara Eliya,2026,32,2026-08-03,7,38.10178369564156,12.18892765045166,50.3,48.6,True,True,1,operational_forecast
Nuwara Eliya,2026,33,2026-08-10,8,38.10178369564156,3.3767383098602295,41.5,45.7,True,True,1,operational_forecast
Polonnaruwa,2026,26,2026-06-22,1,25.81677486521295,34.3363151550293,60.2,85.7,False,False,1,operational_nowcast
Polonnaruwa,2026,27,2026-06-29,2,25.853058298041343,29.112545013427734,55.0,80.0,True,False,1,operational_forecast
Polonnaruwa,2026,28,2026-07-06,3,25.573406314278138,22.023784637451172,47.6,71.4,True,True,1,operational_forecast
Polonnaruwa,2026,29,2026-07-13,4,25.923692703031318,17.940109252929688,43.9,62.9,True,True,1,operational_forecast
Polonnaruwa,2026,30,2026-07-20,5,26.033292704630828,13.78429126739502,39.8,54.3,True,True,1,operational_forecast
Polonnaruwa,2026,31,2026-07-27,6,25.095903786031144,5.048133373260498,30.1,51.4,True,True,1,operational_forecast
Polonnaruwa,2026,32,2026-08-03,7,23.396353725151855,0.8705331683158875,24.3,48.6,True,True,1,operational_forecast
Polonnaruwa,2026,33,2026-08-10,8,23.8304024566794,-4.380190372467041,19.5,45.7,True,True,1,operational_forecast
Puttalam,2026,26,2026-06-22,1,61.72437392490872,91.14105224609375,152.9,88.6,False,False,1,operational_nowcast
Puttalam,2026,27,2026-06-29,2,61.72437392490872,83.42543029785156,145.1,82.9,True,False,1,operational_forecast
Puttalam,2026,28,2026-07-06,3,61.72437392490872,70.12014770507812,131.8,74.3,True,True,1,operational_forecast
Puttalam,2026,29,2026-07-13,4,61.72437392490872,61.632720947265625,123.4,65.7,True,True,1,operational_forecast
Puttalam,2026,30,2026-07-20,5,61.72437392490872,50.15031051635742,111.9,57.1,True,True,1,operational_forecast
Puttalam,2026,31,2026-07-27,6,61.72437392490872,36.71236038208008,98.4,54.3,True,True,1,operational_forecast
Puttalam,2026,32,2026-08-03,7,61.72437392490872,26.60099983215332,88.3,51.4,True,True,1,operational_forecast
Puttalam,2026,33,2026-08-10,8,61.72437392490872,12.985386848449707,74.7,48.6,True,True,1,operational_forecast
Ratnapura,2026,26,2026-06-22,1,249.26375826876563,183.29139709472656,432.6,88.6,False,False,1,operational_nowcast
Ratnapura,2026,27,2026-06-29,2,253.14313477130466,186.0133514404297,439.2,82.9,True,False,1,operational_forecast
Ratnapura,2026,28,2026-07-06,3,252.3563696564545,181.427978515625,433.8,74.3,True,True,1,operational_forecast
Ratnapura,2026,29,2026-07-13,4,252.47621318172975,178.68946838378906,431.2,65.7,True,True,1,operational_forecast
