District,origin_Year,origin_Week,feat__cases_lag_1,feat__cases_lag_2,feat__cases_lag_3,feat__cases_lag_4,feat__rolling_mean_cases_4w,feat__rolling_std_cases_4w,feat__rate_of_change,feat__rainfall_lag_2,feat__rainfall_lag_3,feat__rainfall_lag_4,feat__rainfall_lag_5,feat__rainfall_lag_6,feat__rainfall_lag_7,feat__rainfall_lag_8,feat__temperature_lag_1,feat__temperature_lag_2,feat__temperature_lag_3,feat__temperature_lag_4,feat__humidity_lag_1,feat__humidity_lag_2,feat__humidity_lag_3,feat__humidity_lag_4,feat__sin_week,feat__cos_week,feat__monsoon_indicator_SW,feat__monsoon_indicator_NE,feat__weeks_since_reporting_anomaly,feat__reporting_rebound_ratio_lag1,feat__suspected_backfill_week,feat__rainfall_anomaly,feat__temperature_anomaly,feat__humidity_anomaly,feat__residual_lag_1,feat__residual_lag_2,sarima_h2,actual_h2,target_Year_h2,target_Week_h2,is_imputed_h2,stage2_target_h2,final_prediction_recursive_h2,sarima_h3,actual_h3,target_Year_h3,target_Week_h3,is_imputed_h3,stage2_target_h3,final_prediction_recursive_h3,sarima_h4,actual_h4,target_Year_h4,target_Week_h4,is_imputed_h4,stage2_target_h4,final_prediction_recursive_h4
Ampara,2009,52,9.0,18.0,12.0,14.0,13.25,3.774917217635375,-9.0,120.5,23.2,16.1,77.4,50.7,149.6,13.9,25.357142857142858,24.65714285714285,25.61428571428572,25.65714285714285,89.0,90.85714285714286,86.28571428571429,84.42857142857143,6.432490598706546e-16,1.0,0,1,,,0,35.45,0.5142857142857125,4.5,,,11.394443622911062,38.0,2010,1,False,26.605556377088938,21.2,11.394443622911062,36.0,2010,2,False,24.605556377088938,19.7,11.394443622911062,11.0,2010,3,False,-0.39444362291106216,19.9
Ampara,2010,1,38.0,9.0,18.0,12.0,19.25,13.047988350699889,29.0,65.1,120.5,23.2,16.1,77.4,50.7,149.6,25.02142857142857,25.357142857142858,24.65714285714285,25.61428571428572,87.35714285714286,89.0,90.85714285714286,86.28571428571429,0.12053668025532305,0.992708874098054,0,1,,,0,-0.5,0.56666666666667,2.6761904761904844,26.605556377088938,,18.912792438167926,36.0,2010,2,False,17.087207561832074,36.3,18.912792438167926,11.0,2010,3,False,-7.912792438167926,36.3,18.912792438167926,14.0,2010,4,False,-4.912792438167926,36.6
Ampara,2010,2,38.0,38.0,9.0,18.0,25.75,14.614490525958589,0.0,58.55,65.1,120.5,23.2,16.1,77.4,50.7,24.985714285714288,25.02142857142857,25.357142857142858,24.65714285714285,77.28571428571429,87.35714285714286,89.0,90.85714285714286,0.23931566428755774,0.970941817426052,0,1,,,0,-63.866666666666674,1.447619047619046,-3.666666666666657,19.087207561832074,26.605556377088938,25.76756799353319,11.0,2010,3,False,-14.767567993533191,45.8,25.76756799353319,14.0,2010,4,False,-11.767567993533191,43.5,25.76756799353319,61.0,2010,5,False,35.23243200646681,42.4
Ampara,2010,3,36.0,38.0,38.0,9.0,30.25,14.198004554631378,-2.0,5.8,58.55,65.1,120.5,23.2,16.1,77.4,25.785714285714285,24.985714285714288,25.02142857142857,25.357142857142858,83.71428571428571,77.28571428571429,87.35714285714286,89.0,0.3546048870425356,0.9350162426854148,0,1,,,0,8.2,0.22380952380952124,1.8571428571428612,10.232432006466809,19.087207561832074,29.954931028010343,14.0,2010,4,False,-15.954931028010343,43.6,29.954931028010343,61.0,2010,5,False,31.045068971989657,41.9,29.954931028010343,20.0,2010,6,False,-9.954931028010343,37.5
Ampara,2010,4,11.0,36.0,38.0,38.0,30.75,13.200378782444085,-25.0,18.5,5.8,58.55,65.1,120.5,23.2,16.1,24.957142857142856,25.785714285714285,24.985714285714288,25.02142857142857,82.71428571428571,83.71428571428571,77.28571428571429,87.35714285714286,0.4647231720437685,0.8854560256532099,0,1,,,0,-6.966666666666667,0.6428571428571388,4.571428571428569,-18.954931028010343,10.232432006466809,19.634341153767267,61.0,2010,5,False,41.36565884623273,12.1,19.634341153767267,20.0,2010,6,False,0.3656588462327335,12.4,19.634341153767267,38.0,2010,7,False,18.365658846232733,11.9
Ampara,2010,5,14.0,11.0,36.0,38.0,24.75,14.221462653327892,3.0,26.3,18.5,5.8,58.55,65.1,120.5,23.2,25.27142857142857,24.957142857142856,25.785714285714285,24.985714285714288,82.0,82.71428571428571,83.71428571428571,77.28571428571429,0.5680647467311558,0.8229838658936564,0,1,,,0,25.4,-0.03809523809524151,-0.0952380952380878,-5.6343411537672665,-18.954931028010343,17.05346861735583,20.0,2010,6,False,2.946531382644171,10.1,17.05346861735583,38.0,2010,7,False,20.94653138264417,12.7,17.05346861735583,18.0,2010,8,False,0.9465313826441708,10.7
Ampara,2010,6,61.0,14.0,11.0,36.0,30.5,23.18764038591824,47.0,11.4,26.3,18.5,5.8,58.55,65.1,120.5,24.9,25.27142857142857,24.957142857142856,25.785714285714285,84.42857142857143,82.0,82.71428571428571,83.71428571428571,0.6631226582407952,0.7485107481711011,0,1,,,0,-15.133333333333333,1.0095238095238166,-0.1428571428571388,43.94653138264417,-5.6343411537672665,28.994849175754446,38.0,2010,7,False,9.005150824245554,40.6,28.994849175754446,18.0,2010,8,False,-10.994849175754446,36.7,28.994849175754446,17.0,2010,9,False,-11.994849175754446,35.2
Ampara,2010,7,20.0,61.0,14.0,11.0,26.5,23.302360395462088,-41.0,69.6,11.4,26.3,18.5,5.8,58.55,65.1,25.61428571428572,24.9,25.27142857142857,24.957142857142856,79.28571428571429,84.42857142857143,82.0,82.71428571428571,0.7485107481711011,0.6631226582407953,0,1,,,0,6.033333333333333,0.45714285714285907,0.6666666666666714,-8.994849175754446,43.94653138264417,24.892050423038146,18.0,2010,8,False,-6.892050423038146,24.9,24.892050423038146,17.0,2010,9,False,-7.892050423038146,25.7,24.892050423038146,14.0,2010,10,False,-10.892050423038146,25.4
Ampara,2010,8,38.0,20.0,61.0,14.0,33.25,21.124630174277605,18.0,3.0,69.6,11.4,26.3,18.5,5.8,58.55,25.82857142857143,25.61428571428572,24.9,25.27142857142857,81.28571428571429,79.28571428571429,84.42857142857143,82.0,0.8229838658936564,0.5680647467311559,0,1,,,0,-5.766666666666666,0.9999999999999964,1.0476190476190368,13.107949576961854,-8.994849175754446,29.579724157987854,17.0,2010,9,False,-12.579724157987854,34.8,29.579724157987854,14.0,2010,10,False,-15.579724157987854,32.1,29.579724157987854,23.0,2010,11,False,-6.5797241579878545,28.1
Ampara,2010,9,18.0,38.0,20.0,61.0,34.25,19.972898304118672,-20.0,17.2,3.0,69.6,11.4,26.3,18.5,5.8,26.285714285714285,25.82857142857143,25.61428571428572,24.9,77.71428571428571,81.28571428571429,79.28571428571429,84.42857142857143,0.8854560256532099,0.4647231720437686,0,0,,,0,-20.033333333333335,0.7571428571428562,-7.000000000000014,-11.579724157987854,13.107949576961854,24.22338657152277,14.0,2010,10,False,-10.22338657152277,20.8,24.22338657152277,23.0,2010,11,False,-1.22338657152277,18.9,24.22338657152277,13.0,2010,12,False,-11.22338657152277,18.6
