District,Year,Week,Week_Start_Date,Week_End_Date,Number_of_Cases,rain_sum (mm),precipitation_sum (mm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),temperature_2m_mean (°C),weather_code (wmo code),Estimated_Population,Source_Type,elevation_m
Vavuniya,2013,27,2013-06-29,2013-07-05,1,4.199999999999999,4.199999999999999,69.57142857142857,83.85714285714286,48.71428571428572,32.457142857142856,25.52857142857143,30.057142857142857,34.300000000000004,27.914285714285715,28.1,51.0,172131,interpolated,104.0
Vavuniya,2013,28,2013-07-06,2013-07-12,2,33.7,33.7,75.0,88.14285714285714,55.142857142857146,31.942857142857143,25.25714285714286,30.61428571428572,35.65714285714286,28.37142857142857,27.61428571428572,61.0,172131,interpolated,104.0
Vavuniya,2013,29,2013-07-13,2013-07-19,0,4.0,4.0,71.71428571428571,84.57142857142857,51.57142857142857,32.18571428571429,25.385714285714283,29.842857142857145,34.31428571428571,27.87142857142857,27.814285714285717,51.0,172131,interpolated,104.0
Vavuniya,2013,30,2013-07-20,2013-07-26,2,4.0,4.0,71.14285714285714,84.57142857142857,48.57142857142857,31.957142857142856,25.25714285714286,29.214285714285715,32.785714285714285,27.428571428571427,27.7,51.0,172131,interpolated,104.0
Vavuniya,2013,31,2013-07-27,2013-08-02,1,2.0,2.0,66.28571428571429,83.42857142857143,43.0,33.642857142857146,25.585714285714285,30.67142857142857,35.614285714285714,28.071428571428573,28.7,3.0,172131,interpolated,104.0
Vavuniya,2013,32,2013-08-03,2013-08-09,1,38.4,38.4,73.28571428571429,85.85714285714286,53.285714285714285,31.885714285714283,24.985714285714288,30.2,35.31428571428571,27.6,27.428571428571427,63.0,172131,interpolated,104.0
Vavuniya,2013,33,2013-08-10,2013-08-16,0,42.3,42.3,78.42857142857143,89.14285714285714,61.85714285714285,30.6,24.6,30.0,34.65714285714286,27.728571428571428,26.75714285714286,63.0,172131,interpolated,104.0
Vavuniya,2013,34,2013-08-17,2013-08-23,0,0.8,0.8,70.85714285714286,86.0,49.85714285714285,32.17142857142857,24.714285714285715,29.67142857142857,34.7,27.17142857142857,27.61428571428572,51.0,172131,interpolated,104.0
Vavuniya,2013,35,2013-08-24,2013-08-30,0,20.3,20.3,71.57142857142857,90.57142857142856,48.0,33.72857142857143,24.728571428571428,32.27142857142857,38.6,28.728571428571428,28.4,51.0,172131,interpolated,104.0
Vavuniya,2013,36,2013-08-31,2013-09-06,0,13.7,13.7,75.85714285714286,88.71428571428571,56.42857142857143,31.228571428571428,24.75714285714286,30.357142857142858,34.32857142857143,28.27142857142857,27.2,3.0,172131,interpolated,104.0
