District,Year,Week,Number_of_Cases,KDE_baseline
Ampara,2007,1,0,7.761719609540435e-11
Ampara,2007,2,0,9.891024503905004e-11
Ampara,2007,3,0,1.0563384289403057e-10
Ampara,2007,4,0,1.6322875848673872e-10
Ampara,2007,5,0,9.544773609895469e-11
Ampara,2007,6,0,3.1982325094179954e-11
Ampara,2007,7,0,4.4009156445641076e-11
Ampara,2007,8,0,7.026454345599689e-11
Ampara,2007,9,1,1.6090985402939993e-10
Ampara,2007,10,0,4.367876935983328e-11
Ampara,2007,11,0,8.658537599805916e-11
Ampara,2007,12,0,1.0679525335255026e-10
Ampara,2007,13,0,5.6265307823647345e-11
Ampara,2007,14,0,3.625892890252582e-11
Ampara,2007,15,0,2.639161443224319e-10
Ampara,2007,16,0,3.2556836219140594e-10
Ampara,2007,17,0,7.918590515556946e-11
Ampara,2007,18,0,3.489603623658344e-10
Ampara,2007,19,0,2.9750915968625243e-10
Ampara,2007,20,0,1.214967153444093e-10
Ampara,2007,21,0,4.268321915240686e-10
Ampara,2007,22,0,3.5982089369327814e-10
Ampara,2007,23,1,4.037008201134214e-10
Ampara,2007,24,1,1.0923391056808189e-10
Ampara,2007,25,1,2.8993923191299074e-10
Ampara,2007,26,0,4.210446130922034e-11
Ampara,2007,27,0,3.4323261677227126e-11
Ampara,2007,28,0,5.042222093306638e-11
Ampara,2007,29,0,2.535859601170747e-10
Ampara,2007,30,0,2.2641790175359737e-10
Ampara,2007,31,0,9.973633999869992e-11
Ampara,2007,32,0,1.6301505580091984e-10
Ampara,2007,33,0,3.057556745463367e-10
Ampara,2007,34,0,1.3192522075706947e-10
Ampara,2007,35,0,1.750401923703243e-10
Ampara,2007,36,0,1.5641486595874096e-10
Ampara,2007,37,0,1.572174177313796e-10
Ampara,2007,38,0,1.5083878199201784e-10
Ampara,2007,39,0,5.349241399176349e-11
Ampara,2007,40,0,1.792894335393279e-10
Ampara,2007,41,0,1.2495623769167317e-10
Ampara,2007,42,0,5.419784961879889e-11
Ampara,2007,43,0,3.061185163784446e-11
Ampara,2007,44,0,1.6808137581724886e-10
Ampara,2007,45,1,2.1502313956941356e-10
Ampara,2007,46,1,1.638821149886918e-10
Ampara,2007,47,0,5.343029453419299e-11
Ampara,2007,48,0,1.1231574123517411e-10
Ampara,2007,49,0,1.1456127244219901e-10
Ampara,2007,50,2,3.1974025604612314e-10
Ampara,2007,51,0,2.2758112841919612e-10
Ampara,2007,52,0,2.0244439928183898e-10
Ampara,2008,1,0,6.192661188786428e-11
Ampara,2008,2,0,1.2141940063453337e-10
Ampara,2008,3,0,5.94815014045317e-11
Ampara,2008,4,0,5.622111840726533e-10
Ampara,2008,5,2,7.396051974563507e-10
Ampara,2008,6,3,5.970900229031646e-10
Ampara,2008,7,2,5.949124967259322e-10
Ampara,2008,8,0,2.487324447429303e-10
Ampara,2008,9,0,1.9791832661114162e-10
Ampara,2008,10,1,4.5961214257962245e-10
Ampara,2008,11,1,3.2776954409088103e-10
Ampara,2008,12,0,8.783911969063599e-11
Ampara,2008,13,4,6.082740859680554e-10
Ampara,2008,14,1,5.630372299244773e-10
Ampara,2008,15,1,1.5732064422915707e-10
Ampara,2008,16,4,5.034265400869069e-10
Ampara,2008,17,1,6.781452421621571e-10
Ampara,2008,18,1,2.66743004712078e-10
Ampara,2008,19,1,3.46815131244211e-10
Ampara,2008,20,1,1.7300912603124034e-10
Ampara,2008,21,0,7.708132603027876e-11
Ampara,2008,22,0,1.4632832089073234e-10
Ampara,2008,23,2,3.8472988447145674e-10
Ampara,2008,24,3,3.849948283613829e-10
Ampara,2008,25,5,4.3124305659243426e-10
Ampara,2008,26,0,5.2317318635938396e-11
Ampara,2008,27,2,2.514950549089067e-10
Ampara,2008,28,2,2.966833995594279e-10
Ampara,2008,29,0,5.818622846971404e-11
Ampara,2008,30,0,2.0194834856283717e-10
Ampara,2008,31,1,1.0207102124248164e-10
Ampara,2008,32,1,1.309269911771452e-10
Ampara,2008,33,1,1.2206510898881108e-10
Ampara,2008,34,0,5.792099554849001e-11
Ampara,2008,35,0,1.0628872782702226e-10
Ampara,2008,36,1,1.429363739900034e-10
Ampara,2008,37,0,4.5138088191697194e-11
Ampara,2008,38,1,1.77292324944204e-10
Ampara,2008,39,0,4.4793867084115535e-11
Ampara,2008,40,0,8.746997624944354e-12
Ampara,2008,41,0,4.7148873340298655e-11
Ampara,2008,42,0,1.0587933644520124e-10
Ampara,2008,43,1,1.7426822083084297e-10
Ampara,2008,44,2,1.965302478651924e-10
Ampara,2008,45,0,4.997578749431693e-11
Ampara,2008,46,0,1.278969212583467e-10
Ampara,2008,47,1,1.4287609641902214e-10
Ampara,2008,48,0,1.166940054147876e-10
Ampara,2008,49,0,1.0448595024476356e-10
Ampara,2008,50,0,6.056580164994523e-11
Ampara,2008,51,0,2.1866670830338205e-10
Ampara,2008,52,0,1.315377958938823e-10
Ampara,2009,1,1,1.4480448390420575e-10
Ampara,2009,2,0,6.256787221047537e-11
Ampara,2009,3,3,4.888270593638958e-10
Ampara,2009,4,11,1.1028041338540427e-09
Ampara,2009,5,14,1.4376945500286037e-09
Ampara,2009,6,9,1.6645044005265407e-09
Ampara,2009,7,13,2.09278573879348e-09
Ampara,2009,8,2,7.370554758335797e-10
Ampara,2009,9,3,5.818187850686382e-10
Ampara,2009,10,14,2.346178143846427e-09
Ampara,2009,11,2,1.6681191059769213e-09
Ampara,2009,12,0,1.4997615643331225e-09
Ampara,2009,13,1,2.0313746525994556e-09
Ampara,2009,14,2,9.500678560580054e-10
Ampara,2009,15,0,1.0681106681432585e-11
Ampara,2009,16,3,1.7248991541343168e-09
Ampara,2009,17,9,1.103668772499264e-09
Ampara,2009,18,0,1.0966755205229083e-09
Ampara,2009,19,2,7.939226730493979e-10
Ampara,2009,20,2,1.4503661712164952e-09
Ampara,2009,21,9,1.5812399541557874e-09
Ampara,2009,22,17,2.2772775463999233e-09
Ampara,2009,23,9,2.127482221191395e-09
Ampara,2009,24,5,2.3402462406651776e-09
Ampara,2009,25,18,3.660959856925842e-09
Ampara,2009,26,28,4.262910091845422e-09
Ampara,2009,27,15,2.65465412016928e-09
Ampara,2009,28,12,2.0637909720699276e-09
Ampara,2009,29,17,3.328896882680521e-09
Ampara,2009,30,4,1.909798679152389e-09
Ampara,2009,31,8,1.7905569801400666e-09
Ampara,2009,32,2,1.5459062727775666e-09
Ampara,2009,33,5,1.7056145709134065e-09
Ampara,2009,34,4,9.915638162592375e-10
Ampara,2009,35,7,8.018493281932114e-10
Ampara,2009,36,7,1.2293296173323306e-09
Ampara,2009,37,9,1.1820930064362557e-09
Ampara,2009,38,2,7.258037300354025e-10
Ampara,2009,39,14,1.7925595408256266e-09
Ampara,2009,40,2,6.67672872428152e-10
Ampara,2009,41,3,1.0743908195684154e-09
Ampara,2009,42,12,1.6560686246214644e-09
Ampara,2009,43,6,8.382288872221017e-10
Ampara,2009,44,5,8.016154703956857e-10
Ampara,2009,45,4,6.2262662435834e-10
Ampara,2009,46,8,1.1354094341762966e-09
Ampara,2009,47,12,1.2716768555841606e-09
Ampara,2009,48,14,1.518142941087395e-09
Ampara,2009,49,12,1.4874965205123086e-09
Ampara,2009,50,18,1.973890212301976e-09
Ampara,2009,51,9,1.4413877437353878e-09
Ampara,2009,52,1,1.5109028661619798e-09
Ampara,2009,53,37,5.837389413783144e-09
Ampara,2010,1,38,6.601398529150924e-09
Ampara,2010,2,36,6.237171424786351e-09
Ampara,2010,3,11,2.30695081623689e-09
Ampara,2010,4,14,4.126328683196143e-09
Ampara,2010,5,61,9.509549512661947e-09
Ampara,2010,6,20,5.313344576400113e-09
Ampara,2010,7,38,6.731760466547164e-09
Ampara,2010,8,18,6.134951652304103e-09
Ampara,2010,9,17,2.9515671898330357e-09
Ampara,2010,10,14,3.6289633901755933e-09
Ampara,2010,11,23,5.956853641189481e-09
Ampara,2010,12,13,2.6897129499615596e-09
Ampara,2010,13,15,2.427002643435875e-09
Ampara,2010,14,7,1.1230266613997739e-09
Ampara,2010,15,5,3.022255414422306e-09
Ampara,2010,16,8,3.5551855325019853e-09
Ampara,2010,17,13,2.864603665495497e-09
Ampara,2010,18,6,2.13082151120691e-09
Ampara,2010,19,3,1.4361991306354324e-09
Ampara,2010,20,0,6.937052358813657e-10
Ampara,2010,21,3,1.485221861129268e-09
Ampara,2010,22,4,2.16488091066164e-09
Ampara,2010,23,0,2.243508466353493e-09
Ampara,2010,24,2,4.4960498114012825e-10
Ampara,2010,25,4,2.6830100122957716e-09
Ampara,2010,26,1,3.1430139909094297e-09
Ampara,2010,27,3,3.14484369817094e-09
Ampara,2010,28,5,3.815025919587032e-09
Ampara,2010,29,9,3.0557551640084694e-09
Ampara,2010,30,13,4.410713776988658e-09
Ampara,2010,31,8,5.695125125639459e-09
Ampara,2010,32,1,3.4689902807288003e-09
Ampara,2010,33,5,1.6785520347402128e-09
Ampara,2010,34,5,2.396323886065151e-09
Ampara,2010,35,5,1.6614338601918738e-09
Ampara,2010,36,3,1.085344012891605e-09
Ampara,2010,37,4,7.436927494771822e-10
Ampara,2010,38,1,3.571484971228463e-10
Ampara,2010,39,1,7.181242500272071e-10
Ampara,2010,40,3,9.4977058943413e-10
Ampara,2010,41,2,5.540277139915665e-10
Ampara,2010,42,2,5.51166911028414e-10
Ampara,2010,43,4,6.23206402283887e-10
Ampara,2010,44,0,5.158412604810802e-10
Ampara,2010,45,6,1.110305416869067e-09
Ampara,2010,46,15,1.6786427339034726e-09
Ampara,2010,47,2,6.72948153837571e-10
Ampara,2010,48,0,7.753606700597383e-10
Ampara,2010,49,6,9.678996838477394e-10
Ampara,2010,50,4,8.197739834072754e-10
Ampara,2010,51,1,2.9274477710772577e-10
Ampara,2010,52,2,5.543613882982134e-10
Ampara,2011,1,4,7.502420983341191e-10
Ampara,2011,2,1,2.2278935410421575e-10
Ampara,2011,3,1,3.4222205917124465e-10
Ampara,2011,4,1,8.717596244105205e-10
Ampara,2011,5,0,4.672451367992863e-10
Ampara,2011,6,2,6.718261185731893e-10
Ampara,2011,7,2,9.390481013414175e-10
Ampara,2011,8,2,8.74691554417509e-10
Ampara,2011,9,2,1.3640314403991059e-09
Ampara,2011,10,2,2.1893995427147004e-09
Ampara,2011,11,3,1.3677736496066196e-09
Ampara,2011,12,0,1.3722802454529388e-09
Ampara,2011,13,1,3.5737607455504533e-10
Ampara,2011,14,3,1.142322241219254e-09
Ampara,2011,15,0,1.2649421698878582e-09
Ampara,2011,16,0,2.1580643733196624e-09
Ampara,2011,17,6,3.178205557099517e-09
Ampara,2011,18,3,2.5494378195218078e-09
Ampara,2011,19,0,2.2195376336679037e-09
Ampara,2011,20,1,1.4308672206702478e-09
Ampara,2011,21,3,2.2137370289206836e-09
Ampara,2011,22,11,3.376128989766808e-09
Ampara,2011,23,5,1.7955573761459445e-09
Ampara,2011,24,5,1.7882534445430922e-09
Ampara,2011,25,1,1.576121984729645e-09
Ampara,2011,26,5,1.919458067642534e-09
Ampara,2011,27,2,1.743548817299876e-09
Ampara,2011,28,3,1.350565664581151e-09
Ampara,2011,29,4,1.547783147392431e-09
Ampara,2011,30,6,1.5818226295045823e-09
Ampara,2011,31,0,5.626388452276202e-10
Ampara,2011,32,2,6.040326233945204e-10
Ampara,2011,33,2,6.132152982256211e-10
Ampara,2011,34,2,8.348086585203409e-10
Ampara,2011,35,1,6.850786872287323e-10
Ampara,2011,36,18,1.5795409053331355e-09
Ampara,2011,37,1,1.006613832860417e-09
Ampara,2011,38,1,1.1621183483000163e-09
Ampara,2011,39,3,8.995203118634148e-10
Ampara,2011,40,4,1.4707555034278923e-09
Ampara,2011,41,4,1.6157725990851993e-09
Ampara,2011,42,6,2.8728158715528666e-09
Ampara,2011,43,2,3.5493442070802845e-09
Ampara,2011,44,4,1.0762696834754031e-09
Ampara,2011,45,0,2.1003317737089846e-09
Ampara,2011,46,9,5.268835960898345e-09
Ampara,2011,47,6,3.903666318055804e-09
Ampara,2011,48,8,6.311402816348349e-09
Ampara,2011,49,5,4.065143282880511e-09
Ampara,2011,50,5,7.737900526256229e-09
Ampara,2011,51,13,6.761705310719812e-09
Ampara,2011,52,24,8.66863235753386e-09
Ampara,2012,1,5,2.8367429572717878e-09
Ampara,2012,2,12,3.312496767400913e-09
Ampara,2012,3,9,4.346327458179762e-09
Ampara,2012,4,9,4.346327458179762e-09
Ampara,2012,5,9,2.1478821674165245e-09
Ampara,2012,6,17,3.3371392061547665e-09
Ampara,2012,7,5,1.7657152494342967e-09
Ampara,2012,8,9,1.901317800006854e-09
Ampara,2012,9,7,2.0026488684858525e-09
Ampara,2012,10,3,1.2276338125542835e-09
Ampara,2012,11,8,2.0332521949999484e-09
Ampara,2012,12,0,5.323450365692572e-10
Ampara,2012,13,1,1.0817451693132005e-09
Ampara,2012,14,1,4.539825003072852e-10
Ampara,2012,15,4,9.044178755819058e-10
Ampara,2012,16,1,8.852668302660662e-10
Ampara,2012,17,4,5.227423546635234e-10
Ampara,2012,18,1,5.597780732666823e-10
Ampara,2012,19,5,8.197528778612685e-10
Ampara,2012,20,0,3.641713013499491e-10
Ampara,2012,21,0,5.6085054651982154e-11
Ampara,2012,22,0,2.6231211359574527e-10
Ampara,2012,23,1,5.823526808301352e-10
Ampara,2012,24,1,3.94170440330288e-10
Ampara,2012,25,0,1.91040745741707e-10
Ampara,2012,26,1,2.2822294651105655e-10
Ampara,2012,27,0,7.088259932004103e-11
Ampara,2012,28,2,2.8011374923910993e-10
Ampara,2012,29,1,3.8683607396212844e-10
Ampara,2012,30,1,2.859957123574435e-10
Ampara,2012,31,1,3.6041236570118585e-10
Ampara,2012,32,2,7.811687448881027e-10
Ampara,2012,33,1,6.006595763148361e-10
Ampara,2012,34,0,4.0553196257938395e-10
Ampara,2012,35,2,6.099182421030088e-10
Ampara,2012,36,0,3.787426447287525e-10
Ampara,2012,37,3,4.1984774100354903e-10
Ampara,2012,38,0,4.56146306931923e-10
Ampara,2012,39,1,6.373192136849542e-10
Ampara,2012,40,3,7.416901747225132e-10
Ampara,2012,41,0,5.738349723548864e-10
Ampara,2012,42,5,1.3745012081715513e-09
Ampara,2012,43,0,4.467336554246231e-10
Ampara,2012,44,2,7.074253361266807e-10
Ampara,2012,45,2,5.67908908640602e-10
Ampara,2012,46,2,8.894652396338312e-10
Ampara,2012,47,6,1.4280200444417957e-09
Ampara,2012,48,0,6.215067210154223e-10
Ampara,2012,49,15,2.1416000889510596e-09
Ampara,2012,50,7,1.4817498305786698e-09
Ampara,2012,51,0,4.911995415622655e-10
Ampara,2012,52,7,1.1790437051283674e-09
Ampara,2013,1,8,1.4571529320599226e-09
Ampara,2013,2,17,2.204425324026779e-09
Ampara,2013,3,16,1.931584093522407e-09
Ampara,2013,4,10,2.002828596087846e-09
Ampara,2013,5,3,1.3616228306028934e-09
Ampara,2013,6,12,1.3218482253837e-09
Ampara,2013,7,6,1.0556798836310657e-09
Ampara,2013,8,47,5.268384157432013e-09
Ampara,2013,9,26,3.7650623868535e-09
Ampara,2013,10,42,3.816546157865469e-09
Ampara,2013,11,12,1.848681749335799e-09
Ampara,2013,12,1,9.730473974897067e-10
Ampara,2013,13,15,1.874078901549465e-09
Ampara,2013,14,11,2.2369177439866537e-09
Ampara,2013,15,1,6.652259930092724e-10
Ampara,2013,16,5,1.1087756720456976e-09
Ampara,2013,17,2,7.437268258884418e-10
Ampara,2013,18,2,1.1246245639549205e-09
Ampara,2013,19,5,1.3698432580567395e-09
Ampara,2013,20,2,5.024290285528408e-10
Ampara,2013,21,6,1.2650954266291733e-09
Ampara,2013,22,11,2.048043864812975e-09
Ampara,2013,23,4,1.018734261580803e-09
Ampara,2013,24,3,9.744891461559913e-10
Ampara,2013,25,4,1.4319725932375129e-09
Ampara,2013,26,2,9.213557168674974e-10
Ampara,2013,27,5,1.3906427338312752e-09
Ampara,2013,28,7,1.4698430367909448e-09
Ampara,2013,29,4,1.1017030576294333e-09
Ampara,2013,30,6,1.2461430805324134e-09
Ampara,2013,31,5,1.1491029157507877e-09
Ampara,2013,32,4,8.429855155923473e-10
Ampara,2013,33,1,6.636952348528696e-10
Ampara,2013,34,5,7.68862328807297e-10
Ampara,2013,35,4,9.59559860048851e-10
Ampara,2013,36,0,7.650079509196271e-10
Ampara,2013,37,10,1.0551510839573138e-09
Ampara,2013,38,5,9.261453477868739e-10
Ampara,2013,39,9,1.2093926476342596e-09
Ampara,2013,40,9,1.3471506501179833e-09
Ampara,2013,41,3,7.260642552043515e-10
Ampara,2013,42,0,4.2457871987558736e-10
Ampara,2013,43,3,7.065265641642847e-10
Ampara,2013,44,8,8.963772779572883e-10
Ampara,2013,45,7,1.0113068850282701e-09
Ampara,2013,46,3,4.940792192149196e-10
Ampara,2013,47,5,9.833805808829597e-10
Ampara,2013,48,4,6.164468567361181e-10
Ampara,2013,49,4,9.684233552946411e-10
Ampara,2013,50,2,5.728532562073518e-10
Ampara,2013,51,5,1.0583410962372071e-09
Ampara,2013,52,13,1.4675964294750962e-09
Ampara,2014,1,5,1.1212138537521079e-09
Ampara,2014,2,0,6.624266699204275e-10
Ampara,2014,3,3,8.557783655497398e-10
Ampara,2014,4,12,1.7678325746260654e-09
Ampara,2014,5,1,9.208165576183052e-10
Ampara,2014,6,2,1.2235505970297487e-09
Ampara,2014,7,4,1.1121115796942794e-09
Ampara,2014,8,8,1.9312709200429055e-09
Ampara,2014,9,6,1.2933571895865268e-09
Ampara,2014,10,2,1.72850342572912e-09
Ampara,2014,11,8,2.2231570407632735e-09
Ampara,2014,12,3,3.04522787163473e-09
Ampara,2014,13,5,2.6283394797651822e-09
Ampara,2014,14,3,1.6414022240994088e-09
Ampara,2014,15,0,2.3173928119190783e-10
Ampara,2014,16,2,1.1855495129528135e-09
Ampara,2014,17,6,1.8793377320708966e-09
Ampara,2014,18,8,2.0515028666511427e-09
Ampara,2014,19,6,1.4070214207762706e-09
Ampara,2014,20,2,1.5357232926557539e-09
Ampara,2014,21,1,1.2682923673094765e-09
Ampara,2014,22,6,2.169927779749408e-09
Ampara,2014,23,10,2.193298982634252e-09
Ampara,2014,24,5,2.1643373191759524e-09
Ampara,2014,25,4,2.44816374209506e-09
Ampara,2014,26,10,1.9237442860759645e-09
Ampara,2014,27,4,1.6064951725179566e-09
Ampara,2014,28,2,2.0381674260704844e-09
Ampara,2014,29,1,1.5196621151143347e-09
Ampara,2014,30,5,1.6125437066972263e-09
Ampara,2014,31,8,1.4159281240818706e-09
Ampara,2014,32,1,5.993595428073683e-10
Ampara,2014,33,4,1.254376836692072e-09
Ampara,2014,34,11,1.8888845659915767e-09
Ampara,2014,35,2,7.050071066081295e-10
Ampara,2014,36,4,1.0007421397129324e-09
Ampara,2014,37,0,5.814048594294253e-10
Ampara,2014,38,6,1.1052375378271816e-09
Ampara,2014,39,3,1.0565538080729335e-09
Ampara,2014,40,2,9.719031927043765e-10
Ampara,2014,41,4,1.1138611563461136e-09
Ampara,2014,42,6,1.3766949508629163e-09
Ampara,2014,43,2,9.045576298423096e-10
Ampara,2014,44,2,1.400345945374059e-09
Ampara,2014,45,5,1.781882451212159e-09
Ampara,2014,46,44,6.057256970938595e-09
Ampara,2014,47,83,9.557460107583195e-09
Ampara,2014,48,39,5.9669076957337566e-09
Ampara,2014,49,37,6.004152819896726e-09
Ampara,2014,50,29,5.089963527668531e-09
Ampara,2014,51,1,2.5860444051291646e-09
Ampara,2014,52,64,8.616399456251128e-09
Ampara,2015,1,42,5.85713885617256e-09
Ampara,2015,2,36,4.138822568139694e-09
Ampara,2015,3,57,8.236585190717304e-09
Ampara,2015,4,45,8.227712089082497e-09
Ampara,2015,5,18,4.652687584026819e-09
Ampara,2015,6,29,6.518673175239669e-09
Ampara,2015,7,19,6.6099719813887384e-09
Ampara,2015,8,17,5.534755770439033e-09
Ampara,2015,9,12,4.578911320633192e-09
Ampara,2015,10,11,2.6429589930198834e-09
Ampara,2015,11,7,3.578429091473752e-09
Ampara,2015,12,3,2.130607938846863e-09
Ampara,2015,13,2,1.492251958091791e-09
Ampara,2015,14,2,1.3227103005175751e-09
Ampara,2015,15,5,7.016773067694093e-10
Ampara,2015,16,1,1.1248871097937305e-09
Ampara,2015,17,4,1.9315111111211303e-09
Ampara,2015,18,1,9.267144411448579e-10
Ampara,2015,19,5,2.0359299803916216e-09
Ampara,2015,20,5,1.4279904038285598e-09
Ampara,2015,21,3,1.5993412648537244e-09
Ampara,2015,22,3,9.077598307239087e-10
Ampara,2015,23,1,1.459003337816768e-09
Ampara,2015,24,4,1.684757675850035e-09
Ampara,2015,25,5,9.329066111877284e-10
Ampara,2015,26,6,8.960118152354366e-10
Ampara,2015,27,4,8.042720876801071e-10
Ampara,2015,28,3,1.7660496128163563e-09
Ampara,2015,29,2,9.733900587557207e-10
Ampara,2015,31,1,5.258437047350558e-10
Ampara,2015,32,4,8.469382401326124e-10
Ampara,2015,33,2,5.659464918626369e-10
Ampara,2015,34,1,2.339622043306015e-10
Ampara,2015,35,1,2.944003061380793e-10
Ampara,2015,36,0,1.1848141963213728e-10
Ampara,2015,37,2,3.965001557496559e-10
Ampara,2015,38,4,4.2657417072083525e-10
Ampara,2015,39,2,3.371568792946001e-10
Ampara,2015,40,0,3.348792866915326e-10
Ampara,2015,41,4,6.44099844093278e-10
Ampara,2015,42,1,5.234563235390413e-10
Ampara,2015,43,0,4.734365151138313e-10
Ampara,2015,44,0,8.921455178104062e-10
Ampara,2015,45,0,2.4183827035960453e-10
Ampara,2015,46,3,7.005371295055833e-10
Ampara,2015,47,5,1.1075837342647988e-09
Ampara,2015,48,5,1.4072947554437948e-09
Ampara,2015,49,5,1.924694462800267e-09
Ampara,2015,50,8,1.9099980155434665e-09
Ampara,2015,51,15,1.8743898271325234e-09
Ampara,2015,52,11,2.2474232429066337e-09
Ampara,2016,1,22,3.5195253917568043e-09
Ampara,2016,2,19,3.108709546970613e-09
Ampara,2016,3,2,2.0804618985426346e-09
Ampara,2016,4,5,2.6420739376756456e-09
Ampara,2016,5,14,2.175627999599589e-09
Ampara,2016,6,27,3.585639592747665e-09
Ampara,2016,7,24,3.217298499305293e-09
Ampara,2016,8,15,2.4369758737203982e-09
Ampara,2016,9,23,2.7052289401583005e-09
Ampara,2016,10,13,1.599154860077946e-09
Ampara,2016,11,0,1.0185208693912355e-09
Ampara,2016,12,2,8.223077833518766e-10
Ampara,2016,13,6,9.110092927548332e-10
Ampara,2016,14,5,1.1322645395018883e-09
Ampara,2016,15,5,1.1217240660695637e-09
Ampara,2016,16,5,6.440652839966182e-10
Ampara,2016,17,5,9.55842809198133e-10
Ampara,2016,18,10,1.383324192398946e-09
Ampara,2016,19,8,1.202209364763029e-09
Ampara,2016,20,5,7.875856314396329e-10
Ampara,2016,21,3,6.156432090741378e-10
Ampara,2016,22,3,7.170521767935839e-10
Ampara,2016,23,4,1.7896681312704339e-09
Ampara,2016,24,0,2.0239949761912588e-10
Ampara,2016,25,5,1.0683518110216315e-09
Ampara,2016,26,1,1.5139395458464225e-09
Ampara,2016,27,2,1.4601026051097405e-09
Ampara,2016,28,2,1.5236900217508368e-09
Ampara,2016,29,0,1.3852660441071468e-09
Ampara,2016,30,14,2.8403460911149255e-09
Ampara,2016,31,7,2.47682549112655e-09
Ampara,2016,32,3,1.2583876844675895e-09
Ampara,2016,33,1,1.6859406186582873e-09
Ampara,2016,34,3,1.1939721213709219e-09
Ampara,2016,35,2,1.160769035962115e-09
Ampara,2016,36,0,5.940723711163336e-10
Ampara,2016,37,2,9.217862202263522e-10
Ampara,2016,38,0,9.647491962671067e-10
Ampara,2016,39,5,1.0606505808733463e-09
Ampara,2016,40,1,8.539492083483409e-10
Ampara,2016,41,13,1.8487050468958408e-09
Ampara,2016,42,2,1.3213877539293005e-09
Ampara,2016,43,2,8.120033569362422e-10
Ampara,2016,44,16,2.0721210395556553e-09
Ampara,2016,45,9,1.7776761078305942e-09
Ampara,2016,46,7,9.614504389077964e-10
Ampara,2016,47,14,1.665095310137995e-09
Ampara,2016,48,12,2.083304265126267e-09
Ampara,2016,49,9,1.767852791020558e-09
Ampara,2016,50,11,1.9207022290497457e-09
Ampara,2016,51,4,1.4702299948281614e-09
Ampara,2016,52,21,3.763320012223929e-09
Ampara,2016,53,95,1.129854739351259e-08
Ampara,2017,1,37,5.745790688757402e-09
Ampara,2017,2,37,4.947763105407719e-09
Ampara,2017,3,44,7.18492428682725e-09
Ampara,2017,4,32,6.7272845607306925e-09
Ampara,2017,5,14,4.289776742369139e-09
Ampara,2017,6,23,7.133480122983504e-09
Ampara,2017,7,11,4.62650576229871e-09
Ampara,2017,8,5,5.071950221397126e-09
Ampara,2017,9,43,7.618644695149958e-09
Ampara,2017,10,24,6.8396862156818336e-09
Ampara,2017,11,94,1.8127208332582045e-08
Ampara,2017,12,88,2.0378701200450093e-08
Ampara,2017,13,81,2.1848326787073896e-08
Ampara,2017,14,100,2.1669985867108217e-08
Ampara,2017,15,52,2.0076929259080782e-08
Ampara,2017,16,117,3.336432341324115e-08
Ampara,2017,17,135,3.19303992567595e-08
Ampara,2017,18,152,2.757077877559378e-08
Ampara,2017,19,116,2.1766877021396624e-08
Ampara,2017,20,259,3.512540323989973e-08
Ampara,2017,21,248,3.3565419126178555e-08
Ampara,2017,22,361,3.87254411495666e-08
Ampara,2017,23,417,4.1263756542618617e-08
Ampara,2017,24,459,4.463682971855664e-08
Ampara,2017,25,480,4.812461169856105e-08
Ampara,2017,26,333,3.372119091027138e-08
Ampara,2017,27,107,2.4818929077211036e-08
Ampara,2017,28,74,1.8700474940895296e-08
Ampara,2017,29,105,2.382363060880076e-08
Ampara,2017,30,136,2.3400902272691746e-08
Ampara,2017,31,81,1.5150727284469835e-08
Ampara,2017,32,65,1.4528227436299502e-08
Ampara,2017,33,47,1.2621229359676101e-08
Ampara,2017,34,51,9.486215011210333e-09
Ampara,2017,35,40,7.83260419736787e-09
Ampara,2017,36,37,8.477623950867502e-09
Ampara,2017,37,39,8.241398521465245e-09
Ampara,2017,38,39,7.762139897797112e-09
Ampara,2017,39,34,6.262026693749157e-09
Ampara,2017,40,39,7.333514243047039e-09
Ampara,2017,41,51,9.281726601787104e-09
Ampara,2017,42,47,1.00992461837566e-08
Ampara,2017,43,63,1.283740906472626e-08
Ampara,2017,44,46,9.268277691359726e-09
Ampara,2017,45,69,1.4245585716519777e-08
Ampara,2017,46,56,1.2694858002063195e-08
Ampara,2017,47,58,1.23575008952673e-08
Ampara,2017,48,74,1.356005112433413e-08
Ampara,2017,49,122,1.8728215254680433e-08
Ampara,2017,50,150,2.0825459061864848e-08
Ampara,2017,51,132,1.9616785887579376e-08
Ampara,2017,52,165,2.163904528429937e-08
Ampara,2018,1,173,2.4921507559780614e-08
Ampara,2018,2,142,2.0823637904878414e-08
Ampara,2018,3,158,2.2229395547327746e-08
Ampara,2018,4,124,1.8925398543607187e-08
Ampara,2018,5,84,1.502136480093829e-08
Ampara,2018,6,76,1.3773886306699726e-08
Ampara,2018,7,54,1.1874899377741407e-08
Ampara,2018,8,30,9.929408299453967e-09
Ampara,2018,9,32,9.353326517439278e-09
Ampara,2018,10,31,9.038697356711096e-09
Ampara,2018,11,30,8.948341588118075e-09
Ampara,2018,12,44,9.460620385550438e-09
Ampara,2018,13,17,7.698951859281452e-09
Ampara,2018,14,39,9.900561906599748e-09
Ampara,2018,15,40,1.0328221280861301e-08
Ampara,2018,16,30,1.1770550441474977e-08
Ampara,2018,17,47,1.2873032900140248e-08
Ampara,2018,18,47,1.2496917986125592e-08
Ampara,2018,19,27,1.5004270034216935e-08
Ampara,2018,20,60,1.7380983097161296e-08
Ampara,2018,21,20,1.1969905212702396e-08
Ampara,2018,22,20,1.1244293008379807e-08
Ampara,2018,23,43,1.1829191607728912e-08
