District,Year,Week,Number_of_Cases,Risk,Residual_final,n_iterations,converged
Ampara,2007,9,1,0.35066526306992996,0.64933473693007,1,False
Ampara,2007,10,0,0.25395427083814204,-0.25395427083814204,1,False
Ampara,2007,11,0,0.3480569778029311,-0.3480569778029311,1,False
Ampara,2007,12,0,0.2935829817475827,-0.2935829817475827,1,False
Ampara,2007,13,0,0.1581072022097142,-0.1581072022097142,1,False
Ampara,2007,14,0,0.033693969706881155,-0.033693969706881155,1,False
Ampara,2007,15,0,0.6862445140706246,-0.6862445140706246,1,False
Ampara,2007,16,0,0.8519713241016165,-0.8519713241016165,1,False
Ampara,2007,17,0,0.03199203317641544,-0.03199203317641544,1,False
Ampara,2007,18,0,0.5120969199572253,-0.5120969199572253,1,False
Ampara,2007,19,0,0.4109532483522591,-0.4109532483522591,1,False
Ampara,2007,20,0,0.0,0.0,1,False
Ampara,2007,21,0,0.6734309442648909,-0.6734309442648909,1,False
Ampara,2007,22,0,0.35182194794761834,-0.35182194794761834,1,False
Ampara,2007,23,1,0.5516713248397427,0.4483286751602573,1,False
Ampara,2007,24,1,0.0,1.0,1,False
Ampara,2007,25,1,0.9236137867846577,0.07638621321534234,1,False
Ampara,2007,26,0,0.21803016440879341,-0.21803016440879341,1,False
Ampara,2007,27,0,0.19733817006432797,-0.19733817006432797,1,False
Ampara,2007,28,0,0.2632272585940468,-0.2632272585940468,1,False
Ampara,2007,29,0,0.7952420378584879,-0.7952420378584879,1,False
Ampara,2007,30,0,0.5658531996359486,-0.5658531996359486,1,False
Ampara,2007,31,0,0.0,0.0,1,False
Ampara,2007,32,0,0.1543698831069017,-0.1543698831069017,1,False
Ampara,2007,33,0,0.5321313700007826,-0.5321313700007826,1,False
Ampara,2007,34,0,0.0,0.0,1,False
Ampara,2007,35,0,0.11944159557510065,-0.11944159557510065,1,False
Ampara,2007,36,0,0.1256452160523106,-0.1256452160523106,1,False
Ampara,2007,37,0,0.11634042111310844,-0.11634042111310844,1,False
Ampara,2007,38,0,0.10754180928244284,-0.10754180928244284,1,False
Ampara,2007,39,0,0.0,0.0,1,False
Ampara,2007,40,0,0.40274050404795547,-0.40274050404795547,1,False
Ampara,2007,41,0,0.10309892430843742,-0.10309892430843742,1,False
Ampara,2007,42,0,0.0,0.0,1,False
Ampara,2007,43,0,0.0,0.0,1,False
Ampara,2007,44,0,0.32483398032418065,-0.32483398032418065,1,False
Ampara,2007,45,1,0.5109172813630638,0.4890827186369362,1,False
Ampara,2007,46,1,0.49293779273825955,0.5070622072617404,1,False
Ampara,2007,47,0,0.2252223212822878,-0.2252223212822878,1,False
Ampara,2007,48,0,0.4877315726121754,-0.4877315726121754,1,False
Ampara,2007,49,0,0.1815989558254044,-0.1815989558254044,1,False
Ampara,2007,50,2,0.8664979431605022,1.1335020568394978,1,False
Ampara,2007,51,0,0.9611717376964878,-0.9611717376964878,1,False
Ampara,2007,52,0,0.5517944221846991,-0.5517944221846991,1,False
Ampara,2008,1,0,0.0,0.0,1,False
Ampara,2008,2,0,0.08119522158800202,-0.08119522158800202,1,False
Ampara,2008,3,0,0.0,0.0,1,False
Ampara,2008,4,0,1.7519796705571675,-1.7519796705571675,1,False
Ampara,2008,5,2,1.5900225077055903,0.4099774922944097,1,False
Ampara,2008,6,3,1.281433098938926,1.718566901061074,1,False
