District,Year,Week,Week_Start_Date,Week_End_Date,Number_of_Cases,is_imputed,is_reporting_anomaly,rain_sum (mm),precipitation_sum (mm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),temperature_2m_mean (°C),climate_data_source,Estimated_Population,Source_Type,cases_per_100k,cases_lag_1,cases_lag_2,cases_lag_3,cases_lag_4,rolling_mean_cases_4w,rolling_std_cases_4w,rate_of_change,momentum_vs_rolling_mean,rainfall_lag_2,rainfall_lag_3,rainfall_lag_4,rainfall_lag_5,rainfall_lag_6,rainfall_lag_7,rainfall_lag_8,temperature_lag_1,temperature_lag_2,temperature_lag_3,temperature_lag_4,humidity_lag_1,humidity_lag_2,humidity_lag_3,humidity_lag_4,current_rainfall,current_temperature,current_humidity,sin_week,cos_week,monsoon_indicator_SW,monsoon_indicator_NE,case_anomaly_lag_1,case_anomaly_lag_2
Batticaloa,2007,11,2007-03-10,2007-03-16,1.0,False,False,11.1,11.1,82.28571428571429,93.71428571428572,67.57142857142857,28.985714285714288,23.75714285714286,30.75714285714286,34.45714285714286,28.27142857142857,26.15714285714285,observed,508331,interpolated,0.1967222144626237,0.0,1.0,1.0,0.0,0.5,0.5773502691896257,-1.0,-0.5,100.2,3.4,10.1,8.0,44.1,31.1,10.5,25.557142857142857,25.928571428571427,25.928571428571427,26.12857142857143,78.71428571428571,84.42857142857143,73.71428571428571,83.57142857142857,11.1,26.15714285714285,82.28571428571429,0.970941817426052,0.23931566428755804,0,0,,
Batticaloa,2007,12,2007-03-17,2007-03-23,1.0,False,False,0.9,0.9,76.57142857142857,96.28571428571428,52.85714285714285,30.01428571428572,22.285714285714285,29.75714285714286,35.18571428571429,25.914285714285715,25.842857142857145,observed,508331,interpolated,0.1967222144626237,1.0,0.0,1.0,1.0,0.75,0.5,1.0,0.25,0.0,100.2,3.4,10.1,8.0,44.1,31.1,26.15714285714285,25.557142857142857,25.928571428571427,25.928571428571427,82.28571428571429,78.71428571428571,84.42857142857143,73.71428571428571,0.9,25.842857142857145,76.57142857142857,0.992708874098054,0.120536680255323,0,0,,
Batticaloa,2007,13,2007-03-24,2007-03-30,1.0,False,False,0.0,0.0,75.14285714285714,95.0,50.0,31.185714285714287,22.65714285714285,30.77142857142857,36.642857142857146,26.571428571428573,26.61428571428572,observed,508331,interpolated,0.1967222144626237,1.0,1.0,0.0,1.0,0.75,0.5,0.0,0.25,11.1,0.0,100.2,3.4,10.1,8.0,44.1,25.842857142857145,26.15714285714285,25.557142857142857,25.928571428571427,76.57142857142857,82.28571428571429,78.71428571428571,84.42857142857143,0.0,26.61428571428572,75.14285714285714,1.0,-1.6081226496766366e-16,0,0,,
Batticaloa,2007,14,2007-03-31,2007-04-06,0.0,False,False,19.700000000000003,19.700000000000003,81.14285714285714,95.0,63.142857142857146,30.785714285714285,24.685714285714287,32.41428571428572,36.67142857142857,29.8,27.37142857142857,observed,508331,interpolated,0.0,1.0,1.0,1.0,0.0,0.75,0.5,0.0,0.25,0.9,11.1,0.0,100.2,3.4,10.1,8.0,26.61428571428572,25.842857142857145,26.15714285714285,25.557142857142857,75.14285714285714,76.57142857142857,82.28571428571429,78.71428571428571,19.700000000000003,27.37142857142857,81.14285714285714,0.992708874098054,-0.12053668025532288,0,0,,
Batticaloa,2007,15,2007-04-07,2007-04-13,5.0,False,False,129.4,129.4,91.57142857142856,96.85714285714286,80.71428571428571,28.071428571428573,24.24285714285714,30.9,33.728571428571435,29.02857142857143,25.67142857142857,observed,508331,interpolated,0.9836110723131188,0.0,1.0,1.0,1.0,0.75,0.5,-1.0,-0.75,0.0,0.9,11.1,0.0,100.2,3.4,10.1,27.37142857142857,26.61428571428572,25.842857142857145,26.15714285714285,81.14285714285714,75.14285714285714,76.57142857142857,82.28571428571429,129.4,25.67142857142857,91.57142857142856,0.9709418174260521,-0.2393156642875575,0,0,,
Batticaloa,2007,16,2007-04-14,2007-04-20,5.0,False,False,11.1,11.1,83.71428571428571,95.42857142857144,67.85714285714286,30.414285714285715,24.82857142857143,33.114285714285714,37.58571428571429,30.185714285714287,27.414285714285715,observed,508331,interpolated,0.9836110723131188,5.0,0.0,1.0,1.0,1.75,2.217355782608345,5.0,3.25,19.700000000000003,0.0,0.9,11.1,0.0,100.2,3.4,25.67142857142857,27.37142857142857,26.61428571428572,25.842857142857145,91.57142857142856,81.14285714285714,75.14285714285714,76.57142857142857,11.1,27.414285714285715,83.71428571428571,0.9350162426854148,-0.35460488704253545,0,0,,
Batticaloa,2007,17,2007-04-21,2007-04-27,1.0,False,False,17.7,17.7,83.14285714285714,94.57142857142856,66.14285714285714,31.057142857142857,25.485714285714288,33.94285714285714,38.8,31.214285714285715,27.87142857142857,observed,508331,interpolated,0.1967222144626237,5.0,5.0,0.0,1.0,2.75,2.6299556396765835,0.0,2.25,129.4,19.700000000000003,0.0,0.9,11.1,0.0,100.2,27.414285714285715,25.67142857142857,27.37142857142857,26.61428571428572,83.71428571428571,91.57142857142856,81.14285714285714,75.14285714285714,17.7,27.87142857142857,83.14285714285714,0.8854560256532099,-0.4647231720437685,0,0,,
Batticaloa,2007,18,2007-04-28,2007-05-04,6.0,False,False,16.1,16.1,81.0,94.71428571428572,60.85714285714285,32.228571428571435,25.785714285714285,34.614285714285714,39.51428571428572,31.728571428571428,28.442857142857143,observed,508331,interpolated,1.1803332867757426,1.0,5.0,5.0,0.0,2.75,2.6299556396765835,-4.0,-1.75,11.1,129.4,19.700000000000003,0.0,0.9,11.1,0.0,27.87142857142857,27.414285714285715,25.67142857142857,27.37142857142857,83.14285714285714,83.71428571428571,91.57142857142856,81.14285714285714,16.1,28.442857142857143,81.0,0.8229838658936565,-0.5680647467311557,0,0,,
Batticaloa,2007,19,2007-05-05,2007-05-11,5.0,False,False,14.7,14.7,78.57142857142857,92.57142857142856,61.57142857142857,32.857142857142854,26.25714285714286,34.91428571428572,39.371428571428574,31.971428571428568,29.142857142857142,observed,508331,interpolated,0.9836110723131188,6.0,1.0,5.0,5.0,4.25,2.217355782608345,5.0,1.75,17.7,11.1,129.4,19.700000000000003,0.0,0.9,11.1,28.442857142857143,27.87142857142857,27.414285714285715,25.67142857142857,81.0,83.14285714285714,83.71428571428571,91.57142857142856,14.7,29.142857142857142,78.57142857142857,0.7485107481711013,-0.663122658240795,0,0,,
Batticaloa,2007,20,2007-05-12,2007-05-18,2.0,False,False,0.5,0.5,67.42857142857143,90.28571428571428,45.71428571428572,34.5,25.24285714285714,34.18571428571429,39.51428571428572,29.885714285714283,29.67142857142857,observed,508331,interpolated,0.3934444289252475,5.0,6.0,1.0,5.0,4.25,2.217355782608345,-1.0,0.75,16.1,17.7,11.1,129.4,19.700000000000003,0.0,0.9,29.142857142857142,28.442857142857143,27.87142857142857,27.414285714285715,78.57142857142857,81.0,83.14285714285714,83.71428571428571,0.5,29.67142857142857,67.42857142857143,0.6631226582407952,-0.7485107481711012,1,0,,
Batticaloa,2007,21,2007-05-19,2007-05-25,7.0,False,False,24.0,24.0,81.42857142857143,94.57142857142856,64.28571428571429,32.385714285714286,26.442857142857143,35.74285714285714,40.21428571428572,32.9,28.97142857142857,observed,508331,interpolated,1.3770555012383665,2.0,5.0,6.0,1.0,3.5,2.3804761428476167,-3.0,-1.5,14.7,16.1,17.7,11.1,129.4,19.700000000000003,0.0,29.67142857142857,29.142857142857142,28.442857142857143,27.87142857142857,67.42857142857143,78.57142857142857,81.0,83.14285714285714,24.0,28.97142857142857,81.42857142857143,0.5680647467311558,-0.8229838658936564,1,0,,
Batticaloa,2007,22,2007-05-26,2007-06-01,6.0,False,False,6.4,6.4,73.0,89.42857142857143,53.71428571428572,33.34285714285714,26.414285714285715,34.24285714285715,39.12857142857143,30.82857142857143,29.285714285714285,observed,508331,interpolated,1.1803332867757426,7.0,2.0,5.0,6.0,5.0,2.160246899469287,5.0,2.0,0.5,14.7,16.1,17.7,11.1,129.4,19.700000000000003,28.97142857142857,29.67142857142857,29.142857142857142,28.442857142857143,81.42857142857143,67.42857142857143,78.57142857142857,81.0,6.4,29.285714285714285,73.0,0.46472317204376906,-0.8854560256532096,1,0,,
Batticaloa,2007,23,2007-06-02,2007-06-08,6.0,False,False,24.5,24.5,77.85714285714286,93.42857142857144,54.142857142857146,33.55714285714286,26.37142857142857,35.15714285714286,40.62857142857143,31.97142857142857,29.1,observed,508331,interpolated,1.1803332867757426,6.0,7.0,2.0,5.0,5.0,2.160246899469287,-1.0,1.0,24.0,0.5,14.7,16.1,17.7,11.1,129.4,29.285714285714285,28.97142857142857,29.67142857142857,29.142857142857142,73.0,81.42857142857143,67.42857142857143,78.57142857142857,24.5,29.1,77.85714285714286,0.35460488704253584,-0.9350162426854147,1,0,,
Batticaloa,2007,24,2007-06-09,2007-06-15,0.0,False,False,19.9,19.9,76.14285714285714,92.57142857142856,56.85714285714285,32.42857142857143,26.2,33.6,37.67142857142857,30.5,28.67142857142857,observed,508331,interpolated,0.0,6.0,6.0,7.0,2.0,5.25,2.217355782608345,0.0,0.75,6.4,24.0,0.5,14.7,16.1,17.7,11.1,29.1,29.285714285714285,28.97142857142857,29.67142857142857,77.85714285714286,73.0,81.42857142857143,67.42857142857143,19.9,28.67142857142857,76.14285714285714,0.23931566428755768,-0.970941817426052,1,0,,
Batticaloa,2007,25,2007-06-16,2007-06-22,3.0,False,False,11.6,11.6,70.0,81.14285714285714,56.285714285714285,31.27142857142857,26.4,30.885714285714283,33.300000000000004,28.857142857142858,28.3,observed,508331,interpolated,0.5901666433878713,0.0,6.0,6.0,7.0,4.75,3.2015621187164243,-6.0,-4.75,24.5,6.4,24.0,0.5,14.7,16.1,17.7,28.67142857142857,29.1,29.285714285714285,28.97142857142857,76.14285714285714,77.85714285714286,73.0,81.42857142857143,11.6,28.3,70.0,0.12053668025532308,-0.992708874098054,1,0,,
Batticaloa,2007,26,2007-06-23,2007-06-29,0.0,False,False,34.800000000000004,34.800000000000004,79.57142857142857,95.14285714285714,57.57142857142857,32.51428571428571,25.442857142857143,33.68571428571429,38.7,30.557142857142857,28.285714285714285,observed,508331,interpolated,0.0,3.0,0.0,6.0,6.0,3.75,2.8722813232690143,3.0,-0.75,19.9,24.5,6.4,24.0,0.5,14.7,16.1,28.3,28.67142857142857,29.1,29.285714285714285,70.0,76.14285714285714,77.85714285714286,73.0,34.800000000000004,28.285714285714285,79.57142857142857,-3.216245299353273e-16,-1.0,1,0,,
Batticaloa,2007,27,2007-06-30,2007-07-06,0.0,False,False,9.0,9.0,70.71428571428571,86.57142857142857,50.0,33.77142857142857,26.3,33.55714285714286,37.885714285714286,30.62857142857143,29.32857142857143,observed,508331,interpolated,0.0,0.0,3.0,0.0,6.0,2.25,2.8722813232690143,-3.0,-2.25,11.6,19.9,24.5,6.4,24.0,0.5,14.7,28.285714285714285,28.3,28.67142857142857,29.1,79.57142857142857,70.0,76.14285714285714,77.85714285714286,9.0,29.32857142857143,70.71428571428571,-0.12053668025532283,-0.992708874098054,1,0,,
Batticaloa,2007,28,2007-07-07,2007-07-13,0.0,False,False,0.3,0.3,58.57142857142857,77.14285714285714,42.142857142857146,34.82857142857143,26.357142857142858,32.48571428571429,37.41428571428571,29.485714285714288,30.142857142857142,observed,508331,interpolated,0.0,0.0,0.0,3.0,0.0,0.75,1.5,0.0,-0.75,34.800000000000004,11.6,19.9,24.5,6.4,24.0,0.5,29.32857142857143,28.285714285714285,28.3,28.67142857142857,70.71428571428571,79.57142857142857,70.0,76.14285714285714,0.3,30.142857142857142,58.57142857142857,-0.23931566428755743,-0.9709418174260521,1,0,,
Batticaloa,2007,29,2007-07-14,2007-07-20,1.0,False,False,8.9,8.9,64.57142857142857,81.71428571428571,47.0,33.77142857142857,26.47142857142857,32.57142857142857,37.1,29.67142857142857,29.457142857142856,observed,508331,interpolated,0.1967222144626237,0.0,0.0,0.0,3.0,0.75,1.5,0.0,-0.75,9.0,34.800000000000004,11.6,19.9,24.5,6.4,24.0,30.142857142857142,29.32857142857143,28.285714285714285,28.3,58.57142857142857,70.71428571428571,79.57142857142857,70.0,8.9,29.457142857142856,64.57142857142857,-0.3546048870425356,-0.9350162426854148,1,0,,
Batticaloa,2007,30,2007-07-21,2007-07-27,3.0,False,False,22.3,22.3,76.0,91.42857142857144,57.85714285714285,31.25714285714286,25.071428571428573,32.18571428571429,36.04285714285714,29.785714285714285,27.714285714285715,observed,508331,interpolated,0.5901666433878713,1.0,0.0,0.0,0.0,0.25,0.5,1.0,0.75,0.3,9.0,34.800000000000004,11.6,19.9,24.5,6.4,29.457142857142856,30.142857142857142,29.32857142857143,28.285714285714285,64.57142857142857,58.57142857142857,70.71428571428571,79.57142857142857,22.3,27.714285714285715,76.0,-0.46472317204376806,-0.8854560256532101,1,0,,
Batticaloa,2007,31,2007-07-28,2007-08-03,0.0,False,False,2.9,2.9,69.71428571428571,89.57142857142857,48.142857142857146,33.08571428571428,25.285714285714285,33.228571428571435,37.44285714285714,29.75714285714286,28.785714285714285,observed,508331,interpolated,0.0,3.0,1.0,0.0,0.0,1.0,1.4142135623730951,2.0,2.0,8.9,0.3,9.0,34.800000000000004,11.6,19.9,24.5,27.714285714285715,29.457142857142856,30.142857142857142,29.32857142857143,76.0,64.57142857142857,58.57142857142857,70.71428571428571,2.9,28.785714285714285,69.71428571428571,-0.5680647467311556,-0.8229838658936566,1,0,,
Batticaloa,2007,32,2007-08-04,2007-08-10,2.0,False,False,5.4,5.4,58.142857142857146,80.28571428571429,38.71428571428572,35.27142857142857,26.071428571428573,32.67142857142857,37.7,29.585714285714285,30.214285714285715,observed,508331,interpolated,0.3934444289252475,0.0,3.0,1.0,0.0,1.0,1.4142135623730951,-3.0,-1.0,22.3,8.9,0.3,9.0,34.800000000000004,11.6,19.9,28.785714285714285,27.714285714285715,29.457142857142856,30.142857142857142,69.71428571428571,76.0,64.57142857142857,58.57142857142857,5.4,30.214285714285715,58.142857142857146,-0.663122658240795,-0.7485107481711013,1,0,,
Batticaloa,2007,33,2007-08-11,2007-08-17,2.0,False,False,0.8,0.8,61.71428571428572,79.28571428571429,41.142857142857146,34.75714285714286,26.31428571428572,33.457142857142856,39.02857142857143,29.8,29.928571428571427,observed,508331,interpolated,0.3934444289252475,2.0,0.0,3.0,1.0,1.5,1.2909944487358056,2.0,0.5,2.9,22.3,8.9,0.3,9.0,34.800000000000004,11.6,30.214285714285715,28.785714285714285,27.714285714285715,29.457142857142856,58.142857142857146,69.71428571428571,76.0,64.57142857142857,0.8,29.928571428571427,61.71428571428572,-0.7485107481711011,-0.6631226582407952,1,0,,
Batticaloa,2007,34,2007-08-18,2007-08-24,0.0,False,False,10.0,10.0,61.42857142857143,79.28571428571429,40.85714285714285,34.857142857142854,26.571428571428573,33.27142857142857,38.74285714285714,29.87142857142857,29.914285714285715,observed,508331,interpolated,0.0,2.0,2.0,0.0,3.0,1.75,1.2583057392117916,0.0,0.25,5.4,2.9,22.3,8.9,0.3,9.0,34.800000000000004,29.928571428571427,30.214285714285715,28.785714285714285,27.714285714285715,61.71428571428572,58.142857142857146,69.71428571428571,76.0,10.0,29.914285714285715,61.42857142857143,-0.8229838658936564,-0.5680647467311559,1,0,,
Batticaloa,2007,35,2007-08-25,2007-08-31,0.0,False,False,41.6,41.6,80.28571428571429,92.71428571428572,58.285714285714285,31.928571428571427,25.642857142857142,33.628571428571426,38.285714285714285,31.02857142857143,27.97142857142857,observed,508331,interpolated,0.0,0.0,2.0,2.0,0.0,1.0,1.1547005383792515,-2.0,-1.0,0.8,5.4,2.9,22.3,8.9,0.3,9.0,29.914285714285715,29.928571428571427,30.214285714285715,28.785714285714285,61.42857142857143,61.71428571428572,58.142857142857146,69.71428571428571,41.6,27.97142857142857,80.28571428571429,-0.8854560256532096,-0.4647231720437691,1,0,,
Batticaloa,2007,36,2007-09-01,2007-09-07,1.0,False,False,15.9,15.9,73.85714285714286,90.71428571428572,51.142857142857146,33.07142857142857,25.842857142857145,33.51428571428571,38.41428571428571,30.285714285714285,28.65714285714285,observed,508331,interpolated,0.1967222144626237,0.0,0.0,2.0,2.0,1.0,1.1547005383792515,0.0,-1.0,10.0,0.8,5.4,2.9,22.3,8.9,0.3,27.97142857142857,29.914285714285715,29.928571428571427,30.214285714285715,80.28571428571429,61.42857142857143,61.71428571428572,58.142857142857146,15.9,28.65714285714285,73.85714285714286,-0.9350162426854147,-0.3546048870425359,1,0,,
Batticaloa,2007,37,2007-09-08,2007-09-14,0.0,False,False,38.7,38.7,80.14285714285714,92.85714285714286,63.71428571428572,31.085714285714285,25.385714285714283,33.042857142857144,37.22857142857144,30.685714285714287,27.77142857142857,observed,508331,interpolated,0.0,1.0,0.0,0.0,2.0,0.75,0.9574271077563382,1.0,0.25,41.6,10.0,0.8,5.4,2.9,22.3,8.9,28.65714285714285,27.97142857142857,29.914285714285715,29.928571428571427,73.85714285714286,80.28571428571429,61.42857142857143,61.71428571428572,38.7,27.77142857142857,80.14285714285714,-0.970941817426052,-0.23931566428755774,1,0,,
Batticaloa,2007,38,2007-09-15,2007-09-21,1.0,False,False,2.5,2.5,65.71428571428571,82.85714285714286,47.57142857142857,33.528571428571425,25.842857142857145,32.142857142857146,36.35714285714285,29.728571428571428,29.15714285714285,observed,508331,interpolated,0.1967222144626237,0.0,1.0,0.0,0.0,0.25,0.5000000000000001,-1.0,-0.25,15.9,41.6,10.0,0.8,5.4,2.9,22.3,27.77142857142857,28.65714285714285,27.97142857142857,29.914285714285715,80.14285714285714,73.85714285714286,80.28571428571429,61.42857142857143,2.5,29.15714285714285,65.71428571428571,-0.992708874098054,-0.12053668025532357,1,0,,
Batticaloa,2007,39,2007-09-22,2007-09-28,0.0,False,False,17.7,17.7,68.85714285714286,84.71428571428571,47.85714285714285,33.857142857142854,26.057142857142857,33.31428571428571,38.57142857142857,30.457142857142856,29.15714285714285,observed,508331,interpolated,0.0,1.0,0.0,1.0,0.0,0.5,0.5773502691896258,1.0,0.5,38.7,15.9,41.6,10.0,0.8,5.4,2.9,29.15714285714285,27.77142857142857,28.65714285714285,27.97142857142857,65.71428571428571,80.14285714285714,73.85714285714286,80.28571428571429,17.7,29.15714285714285,68.85714285714286,-1.0,-1.8369701987210297e-16,0,0,,
